parentEventID,materialSampleID,eventID,eventDate,samplingProtocol,locationID,waterBody,locality,minimumDepthInMeters,decimalLatitude,decimalLongitude,# ASVs
GOMECC4_27N_Sta1_DCM_A,SAMN37516094,GOMECC4_27N_Sta1_DCM_A_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",49,26.997,-79.618,309
GOMECC4_27N_Sta1_DCM_B,SAMN37516095,GOMECC4_27N_Sta1_DCM_B_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",49,26.997,-79.618,407
GOMECC4_27N_Sta1_DCM_C,SAMN37516096,GOMECC4_27N_Sta1_DCM_C_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",49,26.997,-79.618,353
GOMECC4_27N_Sta1_Deep_A,SAMN37516091,GOMECC4_27N_Sta1_Deep_A_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",618,26.997,-79.618,402
GOMECC4_27N_Sta1_Deep_B,SAMN37516092,GOMECC4_27N_Sta1_Deep_B_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",618,26.997,-79.618,522
GOMECC4_27N_Sta1_Deep_C,SAMN37516093,GOMECC4_27N_Sta1_Deep_C_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",618,26.997,-79.618,547
GOMECC4_27N_Sta1_Surface_A,SAMN37516097,GOMECC4_27N_Sta1_Surface_A_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",6,26.997,-79.618,377
GOMECC4_27N_Sta1_Surface_B,SAMN37516098,GOMECC4_27N_Sta1_Surface_B_16S,2021-09-14T11:00-04:00,CTD rosette,27N_Sta1,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",6,26.997,-79.618,262
GOMECC4_27N_Sta4_DCM_A,SAMN37516102,GOMECC4_27N_Sta4_DCM_A_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",73,26.994,-79.859,460
GOMECC4_27N_Sta4_DCM_B,SAMN37516103,GOMECC4_27N_Sta4_DCM_B_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",73,26.994,-79.859,338
GOMECC4_27N_Sta4_DCM_C,SAMN37516104,GOMECC4_27N_Sta4_DCM_C_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",73,26.994,-79.859,495
GOMECC4_27N_Sta4_Deep_A,SAMN37516099,GOMECC4_27N_Sta4_Deep_A_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",267,26.994,-79.859,551
GOMECC4_27N_Sta4_Deep_B,SAMN37516100,GOMECC4_27N_Sta4_Deep_B_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",267,26.994,-79.859,489
GOMECC4_27N_Sta4_Deep_C,SAMN37516101,GOMECC4_27N_Sta4_Deep_C_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",267,26.994,-79.859,574
GOMECC4_27N_Sta4_Surface_A,SAMN37516105,GOMECC4_27N_Sta4_Surface_A_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",2,26.994,-79.859,299
GOMECC4_27N_Sta4_Surface_B,SAMN37516106,GOMECC4_27N_Sta4_Surface_B_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",2,26.994,-79.859,405
GOMECC4_27N_Sta4_Surface_C,SAMN37516107,GOMECC4_27N_Sta4_Surface_C_16S,2021-09-14T19:47-04:00,CTD rosette,27N_Sta4,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",2,26.994,-79.859,369
GOMECC4_27N_Sta6_DCM_A,SAMN37516111,GOMECC4_27N_Sta6_DCM_A_16S,2021-09-14T23:45-04:00,CTD rosette,27N_Sta6,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",29,26.991,-79.987,406
GOMECC4_27N_Sta6_DCM_B,SAMN37516112,GOMECC4_27N_Sta6_DCM_B_16S,2021-09-14T23:45-04:00,CTD rosette,27N_Sta6,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",29,26.991,-79.987,428
GOMECC4_27N_Sta6_DCM_C,SAMN37516113,GOMECC4_27N_Sta6_DCM_C_16S,2021-09-14T23:45-04:00,CTD rosette,27N_Sta6,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",29,26.991,-79.987,163
GOMECC4_27N_Sta6_Deep_A,SAMN37516108,GOMECC4_27N_Sta6_Deep_A_16S,2021-09-14T23:45-04:00,CTD rosette,27N_Sta6,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",52,26.991,-79.987,536
GOMECC4_27N_Sta6_Deep_B,SAMN37516109,GOMECC4_27N_Sta6_Deep_B_16S,2021-09-14T23:45-04:00,CTD rosette,27N_Sta6,Atlantic Ocean,"USA: Atlantic Ocean, east of Florida (27 N)",52,26.991,-79.987,538
