sample_name,Dataset,project_name,vessel,ESP_sample_match,year,season,collection_date_Flyer,sampling_platform,sampling_device,filtration_device,control_status,station,bottom_depth_m,bottom_depth_group_m,CTD_cast,depth_m,temp_C,salinity_PSU,O2_mL_L,O2_group,density_kG_m3,chlA_ug_L,fluor_volt,latitude,lat_group,longitude,PO4,SiO4,NO3,NO2,NH4,volume_filtered_ml,filter_type,filter_pore_size_um,target_subfragment,F_primer,R_primer,primers_FR,seq_platform,seq_model,seq_chemistry,run_center,run_date,Description,cruise
Lasker18Sc129_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc129_5_D0117,2018,Spring,20180606,Lasker,CTD,peristaltic,Exp,414,98,,129,50,10.2495003,33.7899017,2.88499999,,25.96570015,0.01512646,,33.40777778,32.5-33.5,-119.8102778,,,,,,500,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc127_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc127_17_D0100,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,412,1889,500-2000,127,10,15.5179005,33.7014999,6.011000156,,24.85740089,2.64777994,,33.5845,33.6-34.5,-119.453,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc127_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc127_19_D0101,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,412,1889,500-2000,127,10,15.5179005,33.7014999,6.011000156,,24.85740089,2.64777994,,33.5845,33.6-34.5,-119.453,0.46,2.031,1.459,0.134,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc127_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc127_3_D0095,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,412,1889,500-2000,127,100,9.0802002,34.0167007,1.942000031,,26.33709908,0,,33.5845,33.6-34.5,-119.453,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc127_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc127_5_D0096,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,412,1889,500-2000,127,100,9.0802002,34.0167007,1.942000031,,26.33709908,0,,33.5845,33.6-34.5,-119.453,2.03,33.075,28.716,0.122,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc128_16,Merged2018,eCruises_2018,Lasker,Lasker18Sc128_16_D0110,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,411,904,500-2000,128,10,16.4647999,33.6920013,5.860000134,,24.63570023,2.51001263,,33.69083333,33.6-34.5,-119.2833333,0.342,0.715,0.563,0.086,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc128_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc128_19_D0111,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,411,904,500-2000,128,10,16.4647999,33.6920013,5.860000134,,24.63570023,2.51001263,,33.69083333,33.6-34.5,-119.2833333,0.297,0.865,0.319,0.042,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc128_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc128_3_D0105,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,411,904,500-2000,128,100,9.35050011,34.0087013,2.167000055,,26.28739929,0,,33.69083333,33.6-34.5,-119.2833333,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc128_7,Merged2018,eCruises_2018,Lasker,Lasker18Sc128_7_D0107,2018,Spring,20180605,Lasker,CTD,peristaltic,Exp,411,904,500-2000,128,100,9.35050011,34.0087013,2.167000055,,26.28739929,0,,33.69083333,33.6-34.5,-119.2833333,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc122_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc122_17_D0057,2018,Spring,20180603,Lasker,CTD,peristaltic,Exp,425,1868,500-2000,122,18,14.1998997,33.4934006,5.755000114,,24.98180008,0.60075474,,33.91416667,33.6-34.5,-120.71,0.4,2.532,3.003,0.109,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
