sample_name,Dataset,project_name,vessel,ESP_sample_match,year,season,collection_date_Flyer,sampling_platform,sampling_device,filtration_device,control_status,station,bottom_depth_m,bottom_depth_group_m,CTD_cast,depth_m,temp_C,salinity_PSU,O2_mL_L,O2_group,density_kG_m3,chlA_ug_L,fluor_volt,latitude,lat_group,longitude,PO4,SiO4,NO3,NO2,NH4,volume_filtered_ml,filter_type,filter_pore_size_um,target_subfragment,F_primer,R_primer,primers_FR,seq_platform,seq_model,seq_chemistry,run_center,run_date,Description,cruise
CN18Fc47_6_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC29,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,140,100-300,47,25,11.9996,33.6597,3.73847,3-3.9,25.5489,0.6294,0.0452,36.9267,36.5-37,-122.2925,1.02,7.1,14.05,0.14,0.116,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC26,Merged2018,eCruises_2018,Tethys,CN18Fc49_6_eDNA,2018,Fall,20180911,Tethys,AUV,ESP,Exp,,120,100-300,49,27,12.7123,33.6352,4.49015,4-4.9,25.393,2.0529,0.1021,36.927,36.5-37,-122.284,0.82,10.18,9.69,0.27,0.029,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc49_6_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC26,2018,Fall,20180911,Flyer,CTD,peristaltic,Exp,ESP,120,100-300,49,25,12.7123,33.6352,4.49015,4-4.9,25.393,2.0529,0.1021,36.927,36.5-37,-122.284,0.82,10.18,9.69,0.27,0.029,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc46_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC30,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,110,100-300,46,10,13.0871,33.6144,4.43183,4-4.9,25.3025,1.6411,0.0856,36.9405,36.5-37,-122.2938,0.91,6.03,10.59,0.39,0.082,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC30,Merged2018,eCruises_2018,Tethys,CN18Fc46_8_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,110,100-300,46,13,13.0871,33.6144,4.43183,4-4.9,25.3025,1.6411,0.0856,36.9405,36.5-37,-122.2938,0.91,6.03,10.59,0.39,0.082,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC31,Merged2018,eCruises_2018,Tethys,CN18Fc44_8_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,125,100-300,44,19,12.0207,33.658,3.79052,3-3.9,25.5434,0.6076,0.0443,36.9543,36.5-37,-122.3333,1.6,7.17,14.42,0.15,0.01,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc44_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC31,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,125,100-300,44,20,12.0207,33.658,3.79052,3-3.9,25.5434,0.6076,0.0443,36.9543,36.5-37,-122.3333,1.6,7.17,14.42,0.15,0.01,900,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc43_5_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC32,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,125,100-300,43,30,12.2441,33.6459,3.87245,3-3.9,25.4918,0.6269,0.0451,36.9545,36.5-37,-122.337,1.53,5.62,14.91,0.17,0,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC32,Merged2018,eCruises_2018,Tethys,CN18Fc43_5_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,125,100-300,43,35,12.2441,33.6459,3.87245,3-3.9,25.4918,0.6269,0.0451,36.9545,36.5-37,-122.337,1.53,5.62,14.91,0.17,0,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC34,Merged2018,eCruises_2018,Tethys,CN18Fc41_6_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,125,100-300,41,25,11.9131,33.6601,3.79566,3-3.9,25.5654,0.5684,0.0427,36.9607,36.5-37,-122.3422,1.61,13.73,15.74,0.19,0.012,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc41_6_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC34,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,125,100-300,41,25,11.9131,33.6601,3.79566,3-3.9,25.5654,0.5684,0.0427,36.9607,36.5-37,-122.3422,1.61,13.73,15.74,0.19,0.012,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc40_6_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC35,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,120,100-300,40,25,11.9661,33.6585,3.80235,3-3.9,25.5542,0.5535,0.0421,36.9662,36.5-37,-122.3437,1.08,13.68,15.3,0.16,0.076,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC37,Merged2018,eCruises_2018,Tethys,CN18Fc38_5_eDNA,2018,Fall,20180910,Tethys,AUV,ESP,Exp,,125,100-300,38,31,12.0575,33.6557,3.84982,3-3.9,25.5349,0.5684,0.0427,36.9742,36.5-37,-122.3533,1.03,12.35,14.63,0.33,0.006,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc38_5_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC37,2018,Fall,20180910,Flyer,CTD,peristaltic,Exp,ESP,125,100-300,38,30,12.0575,33.6557,3.84982,3-3.9,25.5349,0.5684,0.0427,36.9742,36.5-37,-122.3533,1.03,12.35,14.63,0.33,0.006,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Sc10_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC47,2018,Spring,20180606,Flyer,CTD,peristaltic,Exp,TS,290,100-300,10,200,8.4878,34.0568,1.71053,1-1.9,26.4628,0.042508571,0.036,36.9783,36.5-37,-122.5182,2.304,0.153,30.207,41.488,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC47,Merged2018,eCruises_2018,Makai,CN18Sc10_2_eDNA,2018,Spring,20180606,Makai,AUV,ESP,Exp,,290,100-300,10,200,8.405669543,34.0578001,2.144559356,2-2.9,26.4628,0.079528255,0.036,36.9783,36.5-37,-122.5182,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc15_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC41,2018,Spring,20180607,Flyer,CTD,peristaltic,Exp,TS,310,300-500,15,30,10.9701,33.7886,5.02883,5-5.9,26.4471,4.942857143,0.0359,36.98,36.5-37,-122.5313,2.242,0.113,30.198,38.65,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc15_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC42,2018,Spring,20180607,Flyer,CTD,peristaltic,Exp,TS,310,300-500,15,195,8.5451,34.0481,1.74591,1-1.9,25.8382,0.05536,0.1351,36.98,36.5-37,-122.5313,1.306,0.302,16.23,12.635,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC41,Merged2018,eCruises_2018,Makai,CN18Sc15_8_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,310,300-500,15,30,11.03750838,33.80190099,6.052118077,6-6.9,26.4471,1.700372405,0.0359,36.98,36.5-37,-122.5313,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC42,Merged2018,eCruises_2018,Makai,CN18Sc15_2_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,310,300-500,15,200,8.57032722,34.02819963,2.323526505,2-2.9,25.8382,0.080470672,0.1351,36.98,36.5-37,-122.5313,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
Lasker18Sc130_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc130_17_D0132,2018,Spring,20180607,Lasker,CTD,peristaltic,Exp,126,430,300-500,130,10,12.4856997,33.6235008,6.119999886,,25.42760086,5.77321815,,36.98388889,36.5-37,-122.6005556,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc130_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc130_19_D0133,2018,Spring,20180607,Lasker,CTD,peristaltic,Exp,126,430,300-500,130,10,12.4856997,33.6235008,6.119999886,,25.42760086,5.77321815,,36.98388889,36.5-37,-122.6005556,0.725,1.522,5.872,0.261,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc130_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc130_3_D0127,2018,Spring,20180607,Lasker,CTD,peristaltic,Exp,126,430,300-500,130,100,8.97579956,33.9494019,2.375,,26.3010006,0,,36.98388889,36.5-37,-122.6005556,1.458,31.483,27.691,0.25,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc130_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc130_5_D0128,2018,Spring,20180607,Lasker,CTD,peristaltic,Exp,126,430,300-500,130,100,8.97579956,33.9494019,2.375,,26.3010006,0,,36.98388889,36.5-37,-122.6005556,2.169,29.385,25.932,0.205,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
CN18FESPkoa_SC58,Merged2018,eCruises_2018,Tethys,CN18Fc12_8_eDNA,2018,Fall,20180907,Tethys,AUV,ESP,Exp,,230,100-300,12,29,13.0777,33.6197,4.21222,4-4.9,25.3091,0.5466,0.0418,36.9848,36.5-37,-122.519,1.25,12.23,14.92,0.31,0.002,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc12_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC58,2018,Fall,20180907,Flyer,CTD,peristaltic,Exp,TS,230,100-300,12,30,13.0777,33.6197,4.21222,4-4.9,25.3091,0.5466,0.0418,36.9848,36.5-37,-122.519,1.25,12.23,14.92,0.31,0.002,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
Lasker18Sc145_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc145_17_D0224,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,MB8,227,100-300,145,10,12.7968998,33.5499001,6.729000092,,25.30990028,9.84753799,,36.98694444,36.5-37,-122.5236111,1.188,3.955,3.185,0.154,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc145_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc145_19_D0225,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,MB8,227,100-300,145,10,12.7968998,33.5499001,6.729000092,,25.30990028,9.84753799,,36.98694444,36.5-37,-122.5236111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc145_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc145_3_D0219,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,MB8,227,100-300,145,100,8.91580009,33.9580002,2.101999998,,26.31719971,0,,36.98694444,36.5-37,-122.5236111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc145_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc145_5_D0220,2018,Spring,20180609,Lasker,CTD,peristaltic,Exp,MB8,227,100-300,145,100,8.91580009,33.9580002,2.101999998,,26.31719971,0,,36.98694444,36.5-37,-122.5236111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
CN18Sc09_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC49,2018,Spring,20180606,Flyer,CTD,peristaltic,Exp,TS,190,100-300,9,200,8.4613,34.0447,1.79102,1-1.9,26.4573,0.044485714,0.0362,36.9875,36.5-37,-122.517,2.545,0.101,29.831,41.235,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC49,Merged2018,eCruises_2018,Makai,CN18Sc09_2_eDNA,2018,Spring,20180606,Makai,AUV,ESP,Exp,,190,100-300,9,200,8.391116438,34.06403946,2.093012776,2-2.9,26.4573,0.08075001,0.0362,36.9875,36.5-37,-122.517,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc27_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC36,2018,Spring,20180608,Flyer,CTD,peristaltic,Exp,TS,200,100-300,27,30,10.5551,33.7606,4.07827,4-4.9,26.5982,1.423542857,0.036,36.9882,36.5-37,-122.5202,2.29,0.093,30.236,46.112,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc18_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC39,2018,Spring,20180608,Flyer,CTD,peristaltic,Exp,TS,200,100-300,18,30,10.5804,33.7643,3.92993,4-4.9,26.401,0.632685714,0.0366,36.9882,36.5-37,-122.5198,2.141,0.174,26.182,33.56,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc18_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC40,2018,Spring,20180608,Flyer,CTD,peristaltic,Exp,TS,200,100-300,18,200,8.5901,33.9981,2.05723,2-2.9,25.8881,0.070188571,0.0583,36.9882,36.5-37,-122.5198,1.137,0.291,20.201,21.612,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc14_8_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC44,2018,Spring,20180607,Flyer,CTD,peristaltic,Exp,TS,200,100-300,14,30,10.0097,33.7876,3.37559,3-3.9,26.4776,0.632685714,0.0366,36.9882,36.5-37,-122.5198,2.116,0.045,22.695,29.267,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc27_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC37,2018,Spring,20180608,Flyer,CTD,peristaltic,Exp,TS,200,100-300,27,200,7.8489,34.1077,1.43017,1-1.9,25.8896,0.033611429,0.0753,36.9882,36.5-37,-122.5202,1.443,0.332,14.487,16.572,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC37,Merged2018,eCruises_2018,Makai,CN18Sc27_2_eDNA,2018,Spring,20180608,Makai,AUV,ESP,Exp,,200,100-300,27,200,8.288688442,34.08066089,1.975259282,1-1.9,25.8896,0.080833281,0.0753,36.9882,36.5-37,-122.5202,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC36,Merged2018,eCruises_2018,Makai,CN18Sc27_8_eDNA,2018,Spring,20180608,Makai,AUV,ESP,Exp,,200,100-300,27,30,10.26982819,33.77007034,4.385419519,4-4.9,26.5982,0.474012862,0.036,36.9882,36.5-37,-122.5202,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC39,Merged2018,eCruises_2018,Makai,CN18Sc18_8_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,200,100-300,18,30,10.86568478,33.73652772,5.203633739,5-5.9,26.401,1.465760174,0.0366,36.9882,36.5-37,-122.5198,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18Sc14_2_eDNA,Merged2018,eCruises_2018,Flyer,CN18SESPkoa_SC45,2018,Spring,20180607,Flyer,CTD,peristaltic,Exp,TS,200,100-300,14,195,8.3564,34.0504,1.78734,1-1.9,26.0042,0.043793714,0.0501,36.9882,36.5-37,-122.5198,2.24,0.337,21.908,23.141,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC44,Merged2018,eCruises_2018,Makai,CN18Sc14_8_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,200,100-300,14,30,11.01622571,33.7998778,6.145907252,6-6.9,26.4776,1.747639134,0.0366,36.9882,36.5-37,-122.5198,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC45,Merged2018,eCruises_2018,Makai,CN18Sc14_2_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,200,100-300,14,200,8.418864762,34.06005362,2.122532881,2-2.9,26.0042,0.085174884,0.0501,36.9882,36.5-37,-122.5198,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18SESPkoa_SC40,Merged2018,eCruises_2018,Makai,CN18Sc18_2_eDNA,2018,Spring,20180607,Makai,AUV,ESP,Exp,,200,100-300,18,200,8.27519063,34.08876802,1.926070169,1-1.9,25.8881,0.105150356,0.0583,36.9882,36.5-37,-122.5198,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18S
CN18FESPkoa_SC43,Merged2018,eCruises_2018,Tethys,CN18Fc33_5_eDNA,2018,Fall,20180909,Tethys,AUV,ESP,Exp,,135,100-300,33,32,12.0147,33.6576,3.75316,3-3.9,25.5446,0.546,0.0418,36.9898,36.5-37,-122.4055,1.56,12.7,14.96,0.36,0.001,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc21_6_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC56,2018,Fall,20180908,Flyer,CTD,peristaltic,Exp,ESP,135,100-300,21,25,11.9639,33.6603,3.70764,3-3.9,25.5561,0.5054,0.0402,36.9898,36.5-37,-122.4682,1.49,10.8,11.98,0.24,0.017,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC56,Merged2018,eCruises_2018,Tethys,CN18Fc21_6_eDNA,2018,Fall,20180908,Tethys,AUV,ESP,Exp,,135,100-300,21,38,11.9639,33.6603,3.70764,3-3.9,25.5561,0.5054,0.0402,36.9898,36.5-37,-122.4682,1.49,10.8,11.98,0.24,0.017,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18Fc33_5_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC43,2018,Fall,20180909,Flyer,CTD,peristaltic,Exp,ESP,135,100-300,33,35,12.0147,33.6576,3.75316,3-3.9,25.5446,0.546,0.0418,36.9898,36.5-37,-122.4055,1.56,12.7,14.96,0.36,0.001,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
Lasker18Sc134_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc134_17_D0163,2018,Spring,20180608,Lasker,CTD,peristaltic,Exp,125,207,100-300,134,10,12.5542002,33.7291985,5.811999798,,25.49620056,4.17137003,,36.99055556,36.5-37,-122.4558333,1.283,8.692,10.455,0.187,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc134_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc134_19_D0164,2018,Spring,20180608,Lasker,CTD,peristaltic,Exp,125,207,100-300,134,10,12.5542002,33.7291985,5.811999798,,25.49620056,4.17137003,,36.99055556,36.5-37,-122.4558333,0.947,9.667,10.935,0.231,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc134_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc134_3_D0158,2018,Spring,20180608,Lasker,CTD,peristaltic,Exp,125,207,100-300,134,50,9.66079998,33.8661003,2.951999903,,26.12420082,0.14555688,,36.99055556,36.5-37,-122.4558333,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc134_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc134_5_D0159,2018,Spring,20180608,Lasker,CTD,peristaltic,Exp,125,207,100-300,134,50,9.66079998,33.8661003,2.951999903,,26.12420082,0.14555688,,36.99055556,36.5-37,-122.4558333,2.17,29.751,29.194,0.162,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
CN18Fc19_5_eDNA,Merged2018,eCruises_2018,Flyer,CN18FESPkoa_SC57,2018,Fall,20180908,Flyer,CTD,peristaltic,Exp,ESP,135,100-300,19,40,12.254,33.6436,4.21523,4-4.9,25.4884,0.5777,0.0431,36.9937,36.5-37,-122.468,1.38,12.28,15.24,0.27,0.023,1000,PVDF,0.2,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
CN18FESPkoa_SC57,Merged2018,eCruises_2018,Tethys,CN18Fc19_5_eDNA,2018,Fall,20180908,Tethys,AUV,ESP,Exp,,135,100-300,19,35,12.254,33.6436,4.21523,4-4.9,25.4884,0.5777,0.0431,36.9937,36.5-37,-122.468,1.38,12.28,15.24,0.27,0.026,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2x150bp PE,Laragen,July_2019,Spring and fall 2018 Flyer cruise and paired ESP samples,CN18F
Lasker18Sc133_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc133_17_D0152,2018,Spring,20180607,Lasker,CTD,peristaltic,Exp,123,83,,133,10,11.0431004,33.8157005,4.657999992,,25.8458004,4.04012442,,36.99527778,36.5-37,-122.5186111,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
