parentEventID,materialSampleID,eventID,eventDate,samplingProtocol,locationID,waterBody,locality,minimumDepthInMeters,decimalLatitude,decimalLongitude,# ASVs
GOMECC4_BROWNSVILLE_Sta63_Surface_A,SAMN37516300,GOMECC4_BROWNSVILLE_Sta63_Surface_A_18S,2021-10-02T14:27-04:00,CTD rosette,BROWNSVILLE_Sta63,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.061,-96.807,290
GOMECC4_BROWNSVILLE_Sta63_Surface_B,SAMN37516301,GOMECC4_BROWNSVILLE_Sta63_Surface_B_18S,2021-10-02T14:27-04:00,CTD rosette,BROWNSVILLE_Sta63,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.061,-96.807,253
GOMECC4_BROWNSVILLE_Sta63_Surface_C,SAMN37516302,GOMECC4_BROWNSVILLE_Sta63_Surface_C_18S,2021-10-02T14:27-04:00,CTD rosette,BROWNSVILLE_Sta63,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.061,-96.807,243
GOMECC4_BROWNSVILLE_Sta66_DCM_A,SAMN37516306,GOMECC4_BROWNSVILLE_Sta66_DCM_A_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,74,26.059,-96.082,476
GOMECC4_BROWNSVILLE_Sta66_DCM_B,SAMN37516307,GOMECC4_BROWNSVILLE_Sta66_DCM_B_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,74,26.059,-96.082,458
GOMECC4_BROWNSVILLE_Sta66_DCM_C,SAMN37516308,GOMECC4_BROWNSVILLE_Sta66_DCM_C_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,74,26.059,-96.082,507
GOMECC4_BROWNSVILLE_Sta66_Deep_A,SAMN37516303,GOMECC4_BROWNSVILLE_Sta66_Deep_A_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,851,26.059,-96.082,362
GOMECC4_BROWNSVILLE_Sta66_Deep_B,SAMN37516304,GOMECC4_BROWNSVILLE_Sta66_Deep_B_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,851,26.059,-96.082,312
GOMECC4_BROWNSVILLE_Sta66_Deep_C,SAMN37516305,GOMECC4_BROWNSVILLE_Sta66_Deep_C_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,851,26.059,-96.082,292
GOMECC4_BROWNSVILLE_Sta66_Surface_A,SAMN37516309,GOMECC4_BROWNSVILLE_Sta66_Surface_A_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.059,-96.082,228
GOMECC4_BROWNSVILLE_Sta66_Surface_B,SAMN37516310,GOMECC4_BROWNSVILLE_Sta66_Surface_B_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.059,-96.082,169
GOMECC4_BROWNSVILLE_Sta66_Surface_C,SAMN37516311,GOMECC4_BROWNSVILLE_Sta66_Surface_C_18S,2021-10-02T19:41-04:00,CTD rosette,BROWNSVILLE_Sta66,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.059,-96.082,272
GOMECC4_BROWNSVILLE_Sta71_DCM_A,SAMN37516315,GOMECC4_BROWNSVILLE_Sta71_DCM_A_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,79,26.058,-94.197,326
GOMECC4_BROWNSVILLE_Sta71_DCM_B,SAMN37516316,GOMECC4_BROWNSVILLE_Sta71_DCM_B_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,79,26.058,-94.197,348
GOMECC4_BROWNSVILLE_Sta71_DCM_C,SAMN37516317,GOMECC4_BROWNSVILLE_Sta71_DCM_C_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,79,26.058,-94.197,334
GOMECC4_BROWNSVILLE_Sta71_Deep_A,SAMN37516312,GOMECC4_BROWNSVILLE_Sta71_Deep_A_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,2993,26.058,-94.197,289
GOMECC4_BROWNSVILLE_Sta71_Deep_B,SAMN37516313,GOMECC4_BROWNSVILLE_Sta71_Deep_B_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,2993,26.058,-94.197,266
GOMECC4_BROWNSVILLE_Sta71_Deep_C,SAMN37516314,GOMECC4_BROWNSVILLE_Sta71_Deep_C_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,2993,26.058,-94.197,247
GOMECC4_BROWNSVILLE_Sta71_Surface_A,SAMN37516318,GOMECC4_BROWNSVILLE_Sta71_Surface_A_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.058,-94.197,280
GOMECC4_BROWNSVILLE_Sta71_Surface_B,SAMN37516319,GOMECC4_BROWNSVILLE_Sta71_Surface_B_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.058,-94.197,332
GOMECC4_BROWNSVILLE_Sta71_Surface_C,SAMN37516320,GOMECC4_BROWNSVILLE_Sta71_Surface_C_18S,2021-10-03T18:40-04:00,CTD rosette,BROWNSVILLE_Sta71,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.058,-94.197,394
GOMECC4_CAMPECHE_Sta90_DCM_A,SAMN37516377,GOMECC4_CAMPECHE_Sta90_DCM_A_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,67,22.0,-92.917,243
GOMECC4_CAMPECHE_Sta90_DCM_B,SAMN37516378,GOMECC4_CAMPECHE_Sta90_DCM_B_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,67,22.0,-92.917,332
GOMECC4_CAMPECHE_Sta90_DCM_C,SAMN37516379,GOMECC4_CAMPECHE_Sta90_DCM_C_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,67,22.0,-92.917,260
GOMECC4_CAMPECHE_Sta90_Deep_A,SAMN37516374,GOMECC4_CAMPECHE_Sta90_Deep_A_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,2862,22.0,-92.917,215
GOMECC4_CAMPECHE_Sta90_Deep_B,SAMN37516375,GOMECC4_CAMPECHE_Sta90_Deep_B_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,2862,22.0,-92.917,256
GOMECC4_CAMPECHE_Sta90_Deep_C,SAMN37516376,GOMECC4_CAMPECHE_Sta90_Deep_C_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,2862,22.0,-92.917,291
GOMECC4_CAMPECHE_Sta90_Surface_A,SAMN37516380,GOMECC4_CAMPECHE_Sta90_Surface_A_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,22.0,-92.917,352
