parentEventID,materialSampleID,eventID,eventDate,samplingProtocol,locationID,waterBody,locality,minimumDepthInMeters,decimalLatitude,decimalLongitude,# ASVs
GOMECC4_CAPECORAL_Sta131_Deep_C,SAMN37516532,GOMECC4_CAPECORAL_Sta131_Deep_C_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,33,26.729,-83.101,172
GOMECC4_CAPECORAL_Sta131_Surface_A,SAMN37516536,GOMECC4_CAPECORAL_Sta131_Surface_A_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.729,-83.101,226
GOMECC4_CAPECORAL_Sta131_Surface_B,SAMN37516537,GOMECC4_CAPECORAL_Sta131_Surface_B_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.729,-83.101,280
GOMECC4_CAPECORAL_Sta131_Surface_C,SAMN37516538,GOMECC4_CAPECORAL_Sta131_Surface_C_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.729,-83.101,259
GOMECC4_CAPECORAL_Sta132_DCM_A,SAMN37516542,GOMECC4_CAPECORAL_Sta132_DCM_A_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,20,26.62,-83.24,248
GOMECC4_CAPECORAL_Sta132_DCM_B,SAMN37516543,GOMECC4_CAPECORAL_Sta132_DCM_B_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,20,26.62,-83.24,278
GOMECC4_CAPECORAL_Sta132_DCM_C,SAMN37516544,GOMECC4_CAPECORAL_Sta132_DCM_C_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,20,26.62,-83.24,225
GOMECC4_CAPECORAL_Sta132_Deep_A,SAMN37516539,GOMECC4_CAPECORAL_Sta132_Deep_A_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,40,26.62,-83.24,163
GOMECC4_CAPECORAL_Sta132_Deep_B,SAMN37516540,GOMECC4_CAPECORAL_Sta132_Deep_B_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,40,26.62,-83.24,158
GOMECC4_CAPECORAL_Sta132_Deep_C,SAMN37516541,GOMECC4_CAPECORAL_Sta132_Deep_C_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,40,26.62,-83.24,157
GOMECC4_CAPECORAL_Sta132_Surface_A,SAMN37516545,GOMECC4_CAPECORAL_Sta132_Surface_A_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.62,-83.24,310
GOMECC4_CAPECORAL_Sta132_Surface_B,SAMN37516546,GOMECC4_CAPECORAL_Sta132_Surface_B_18S,2021-10-19T14:25-04:00,CTD rosette,CAPECORAL_Sta132,"Mexico, Gulf of",USA: Gulf of Mexico,3,26.62,-83.24,266
