Site_id,Site_id_R,Site_no,Season,River,Detritus,12up,read.count.COI,read.count.12S
2N-02,X2N.02,2,Summer,Necker,1,0,22300,51286
2N-03,X2N.03,3,Summer,Necker,1,1,9751,51360
2N-04,X2N.04,4,Summer,Necker,1,0,15470,32477
2N-05,X2N.05,5,Summer,Necker,1,0,17408,30940
2N-06,X2N.06,6,Summer,Necker,1,0,23247,48454
2N-07,X2N.07,7,Summer,Necker,1,0,15105,44399
2N-08,X2N.08,8,Summer,Necker,1,0,21215,55136
2N-09,X2N.09,9,Summer,Necker,1,0,17985,52408
2N-10,X2N.10,10,Summer,Necker,1,0,24309,54663
2N-11,X2N.11,11,Summer,Necker,1,0,11857,28220
2N-12,X2N.12,12,Summer,Necker,1,0,13155,35803
2N-13,X2N.13,13,Summer,Necker,1,0,14329,49188
2N-14,X2N.14,14,Summer,Necker,1,0,14838,45699
2T-01,X2T.01,1,Summer,Thur,1,0,18291,26115
2T-02,X2T.02,2,Summer,Thur,1,0,19968,51857
2T-03,X2T.03,3,Summer,Thur,1,0,18134,32120
2T-04,X2T.04,4,Summer,Thur,1,0,18063,26447
2T-05,X2T.05,5,Summer,Thur,1,0,14651,51531
2T-06,X2T.06,6,Summer,Thur,1,1,16089,60110
2T-07,X2T.07,7,Summer,Thur,1,0,16907,53514
2T-08,X2T.08,8,Summer,Thur,1,0,16331,74370
2T-09,X2T.09,9,Summer,Thur,1,0,13149,55765
2T-10,X2T.10,10,Summer,Thur,1,0,6348414,34836
2T-11,X2T.11,11,Summer,Thur,1,0,17844,42551
2T-12,X2T.12,12,Summer,Thur,1,0,21068,54511
2T-13,X2T.13,13,Summer,Thur,1,0,13206,52462
2T-14,X2T.14,14,Summer,Thur,1,0,16989,42752
2T-15,X2T.15,15,Summer,Thur,1,0,12846,58134
2T-16,X2T.16,16,Summer,Thur,1,0,21175,63161
2T-17,X2T.17,17,Summer,Thur,1,0,18472,54632
2T-18,X2T.18,18,Summer,Thur,1,0,12486,40127
2T-19,X2T.19,19,Summer,Thur,1,0,22103,29538
2T-20,X2T.20,20,Summer,Thur,1,0,13489,63680
2T-21,X2T.21,21,Summer,Thur,1,0,18227,51111
2T-22,X2T.22,22,Summer,Thur,1,0,22230,57762
2T-23,X2T.23,23,Summer,Thur,1,0,16187,49880
2T-24,X2T.24,24,Summer,Thur,1,0,7,44588
2T-25,X2T.25,25,Summer,Thur,1,0,12802,44829
