#FeatureID	taxonomy	confidence
ASV_40	Unassigned	0.969790761
ASV_41	d__Bacteria; p__Gemmatimonadota; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group	0.897931334
ASV_42	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.780869303
ASV_43	d__Eukaryota; p__Annelida; c__Polychaeta; o__Terebellida; f__Terebellida; g__Terebellida; s__Neosabellides_lizae	0.997136395
ASV_44	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.91298649
ASV_45	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.907604062
ASV_46	d__Eukaryota; p__Dinoflagellata	0.913534174
ASV_47	d__Bacteria	0.855140569
ASV_48	d__Eukaryota	0.713949756
ASV_49	d__Eukaryota	0.999208503
ASV_50	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I	0.896326111
ASV_51	d__Bacteria	0.832542397
ASV_52	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.899521015
ASV_53	d__Eukaryota	0.998107788
ASV_54	Unassigned	0.317766886
ASV_55	d__Eukaryota	0.999987561
ASV_56	Unassigned	0.898735608
ASV_57	d__Eukaryota	0.999835397
ASV_58	Unassigned	0.335318161
ASV_59	d__Eukaryota	0.999982053
ASV_60	d__Bacteria; p__Proteobacteria	0.776661201
ASV_61	Unassigned	0.893359249
ASV_62	d__Eukaryota	0.997590916
ASV_63	Unassigned	0.536193203
ASV_64	d__Eukaryota	0.888696543
ASV_65	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria	0.700014719
ASV_66	d__Eukaryota	0.998720527
ASV_67	d__Eukaryota	0.876404219
ASV_68	Unassigned	0.665996672
ASV_69	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Puniceicoccaceae; g__MB11C04_marine_group	0.822137173
ASV_70	d__Eukaryota; p__Rotifera; c__Bdelloidea	0.986504124
ASV_71	d__Eukaryota	0.999760716
ASV_72	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.944276514
ASV_73	d__Eukaryota	0.850330478
