#OTU ID,C3G-01,C3G-13,C3N-10,C3T-08,C3T-20,C3T-32,C3PCR-Blk10,C1G-02,C1G-14,C1N-11,C1T-09,C1T-21,C1T-33,C1T-44,C1G-01,C3G-02,C3G-14,C3N-11,C3T-09,C3T-21,C3T-33,C3T-44,C1G-03,C1G-15,C1N-12,C1T-10,C1T-22,C1T-34,C1Blk-1,C1G-13,C3G-03,C3G-15,C3N-12,C3T-10,C3T-22,C3T-34,C3Blk-14,C1G-04,C1N-01,C1N-13,C1T-11,C1T-23,C1T-35,C1Blk-2,C1N-10,C3G-04,C3N-01,C3N-13,C3T-11,C3T-23,C3T-35,C3Blk-15,C1G-05,C1N-02,C1N-14,C1T-12,C1T-24,C1T-36,C1Blk-3,C1T-08,C3G-05,C3N-02,C3N-14,C3T-12,C3T-24,C3T-36,C3Blk-16,C1G-06,C1N-03,C1T-01,C1T-13,C1T-25,C1T-37,C1Blk-4,C1T-20,C3G-06,C3N-03,C3T-01,C3T-13,C3T-25,C3T-37,C3Blk-17,C1G-07,C1N-04,C1T-02,C1T-14,C1T-26,C1T-38,C1Blk-5,C1T-32,C3G-07,C3N-04,C3T-02,C3T-14,C3T-26,C3T-38,C3Blk-18,C1G-08,C1N-05,C1T-03,C1T-15,C1T-27,C1T-39,C1Blk-6,C1PCR-Blk1,C3G-08,C3N-05,C3T-03,C3T-15,C3T-27,C3T-39,C3Blk-19,C1G-09,C1N-06,C1T-04,C1T-16,C1T-28,C1T-40,C1PCR-Blk2,C3G-09,C3N-06,C3T-04,C3T-16,C3T-28,C3T-40,C3Blk-20,C1G-10,C1N-07,C1T-05,C1T-17,C1T-29,C1T-41,C1PCR-Blk3,C3G-10,C3N-07,C3T-05,C3T-17,C3T-29,C3T-41,C3PCR-Blk11,C1G-11,C1N-08,C1T-06,C1T-18,C1T-30,C1T-42,C1dummy1,C3G-11,C3N-08,C3T-06,C3T-18,C3T-30,C3T-42,C3dummy5,C1G-12,C1N-09,C1T-07,C1T-19,C1T-31,C1T-43,C1dummy2,C3G-12,C3N-09,C3T-07,C3T-19,C3T-31,C3T-43,C3dummy6,C2G-01,C2G-13,C2N-10,C2T-08,C2T-20,C2T-32,C2PCR-Bk8,C2G-02,C2G-14,C2N-11,C2T-09,C2T-21,C2T-33,C2T-44,C2G-03,C2G-15,C2N-12,C2T-10,C2T-22,C2T-34,C2Blk-7,C2G-04,C2N-01,C2N-13,C2T-11,C2T-23,C2T-35,C2Blk-8,C2G-05,C2N-02,C2N-14,C2T-12,C2T-24,C2T-36,C2Blk-9,C2PCR-Blk4,C2N-03,C2T-01,C2T-13,C2T-25,C2T-37,C2Blk-10,C2G-07,C2N-04,C2T-02,C2T-14,C2T-26,C2T-38,C2Blk-11,C2G-08,C2N-05,C2T-03,C2T-15,C2T-27,C2T-39,C2Blk-12,C2G-09,C2N-06,C2T-04,C2T-16,C2T-28,C2PCR-Blk6,C2Blk-13,C2G-10,C2N-07,C2T-05,C2T-17,C2PCR-Blk5,C2T-41,CPCR-Blk9,C2G-11,C2N-08,C2T-06,C2T-18,C2T-30,C2T-42,C2dummy3,C2G-12,C2N-09,C2T-07,C2T-19,C2T-31,C2PCR-Blk7,C2dummy4,Consensus Lineage
ZOTU168,53,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,44,0,0,0,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,94,0,55,0,0,0,0,71,0,0,0,0,0,0,0,0,193,0,0,0,0,21,0,0,0,0,0,0,191,0,0,0,0,7,0,1,0,0,0,0,0,5,0,0,0,0,0,0,22,0,0,87,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,72,0,0,0,0,0,0,0,0,117,1,0,1,1,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,84,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Pan; s__Pan_troglodytes
ZOTU204,349,0,0,0,0,0,0,136,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,118,2,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,143,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,167,0,0,1,1,0,1,0,0,0,22,0,0,0,0,0,39,155,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,2,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,116,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,83,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Castoridae; g__Castor; s__Castor_fiber
ZOTU67,262,342,143,218,288,244,166,30,71,101,170,52,2,241,45,156,253,34,2,225,156,41,91,12,100,78,0,145,39,48,24,143,251,132,177,390,2,26,188,19,130,23,204,25,43,85,127,35,1,49,93,7,149,266,95,20,201,107,22,169,72,59,232,76,65,233,0,13,86,19,118,53,502,73,80,244,232,96,132,29,122,3,85,96,93,1,0,2,1,83,106,288,14,139,238,0,0,1,88,98,37,70,194,22,47,82,64,37,40,188,98,5,82,74,132,152,2,280,3,40,1,52,85,249,57,5,24,2,210,182,2,79,265,31,42,36,49,230,89,30,216,149,99,66,186,10,4,172,113,208,54,54,63,2,368,73,83,67,157,119,12,153,43,158,52,106,122,1,0,130,0,68,47,726,40,1,273,115,73,235,38,11,0,51,32,71,282,68,48,0,150,32,104,117,203,20,1,97,49,0,0,0,105,0,494,176,80,0,100,34,0,60,61,18,222,93,52,0,17,100,163,123,171,18,0,81,73,112,29,66,233,1,98,75,115,104,238,130,1,229,214,90,163,245,11,1,106,364,90,55,111,49, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__
ZOTU229,24,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,25,0,0,0,0,0,3,0,20,0,0,0,0,0,0,17,0,0,0,0,1,0,50,0,0,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,40,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU164,333,0,0,0,0,0,0,167,0,0,0,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,171,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,34,0,96,0,0,0,0,144,0,60,1,0,1,290,1,3,323,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,103,72,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__Homo_sapiens
ZOTU252,162,1,0,0,0,0,0,0,0,132,0,19,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,1,0,0,0,0,231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,76,0,209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,278,0,0,0,0,0,0,0,0,2,48,41,1,0,472,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__; f__; g__; s__
ZOTU246,386,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,91,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,0,0,115,0,0,0,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,65,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6,6,0,0,0,326,0,0,16,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,0,0,1,0,63,0,1,0,1,0,104,0,0,1,0,166,146,2,284,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,1,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__Homo_sapiens
ZOTU160,211,0,0,9,0,0,0,0,86,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,3,0,0,0,0,0,49,0,102,0,0,0,16,8,0,0,0,0,0,10,4,39,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,125,0,0,0,0,0,11,12,143,0,0,0,0,0,0,78,0,0,0,0,1,0,239,0,0,0,0,0,0,7,0,0,0,0,0,0,240,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,37,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,75,0,0,0,12,66,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,9,7,264,0,0,0,0,0,0,92,0,0,0,0,0,0,206,30,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU40,36,0,0,1086,0,0,0,1,6589,5,4,4,3,1,19,0,2088,2,1,1,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,5404,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,51,0,0,0,0,0,1,1,0,0,0,0,0,1,56,0,0,0,0,0,1,5,0,0,0,0,0,0,57,0,0,0,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0,0,917,1,1,0,0,1,0,0,0,0,0,0,0,0,51,0,0,1807,0,0,0,1,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,3,0,0,0,0,0,0,48,0,0,0,0,0,0,26,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Pelecus; s__
ZOTU138,25,323,330,241,20,72,0,207,0,141,4,81,72,0,14,168,0,1,129,16,104,0,95,224,194,83,405,95,0,91,253,177,103,141,119,42,0,210,9,80,30,65,169,0,140,209,4,65,7,14,156,0,47,45,79,273,221,112,1,187,39,53,59,284,79,44,0,82,1,13,227,108,4,0,51,5,0,3,107,27,34,0,56,210,53,0,0,0,0,150,120,81,20,86,37,53,0,43,59,6,144,205,55,0,0,15,52,0,54,116,180,0,96,29,7,59,109,14,0,26,133,0,49,20,2,0,227,139,157,58,0,191,0,111,120,1,40,0,211,0,99,94,250,118,29,25,0,167,34,84,190,41,105,0,258,106,10,60,98,22,1,194,36,1,41,82,2,0,0,16,191,348,212,99,272,0,176,0,105,219,42,97,0,201,96,28,188,93,200,0,162,1,69,5,48,80,0,14,49,36,458,102,111,0,0,0,1,171,74,31,0,100,159,85,48,89,135,0,36,56,0,63,156,120,0,140,55,2,33,105,0,0,198,139,6,4,0,106,0,163,138,123,227,168,156,0,209,219,1,34,44,0, k__Eukaryota; p__Chordata; c__; o__; f__; g__; s__
ZOTU214,169,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,135,0,13,0,0,0,0,0,57,0,165,0,0,0,8,23,0,0,0,0,0,0,6,76,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,119,0,0,0,0,0,7,13,104,0,0,0,0,0,0,120,0,0,0,0,1,0,201,0,0,0,0,0,0,1,0,0,0,0,0,0,151,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,63,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,107,0,0,0,7,96,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,10,12,272,0,0,0,0,0,0,31,0,0,0,0,0,0,60,61,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU245,126,0,0,0,0,0,0,0,1,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,46,0,102,0,0,0,0,0,221,0,191,0,0,0,0,0,0,120,0,0,0,0,71,0,235,0,0,0,0,0,0,32,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,136,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,9,0,0,0,0,57,0,88,0,0,0,0,0,0,186,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU208,96,0,0,0,0,0,0,0,0,0,0,2,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0,17,0,17,0,0,0,19,5,0,0,0,0,0,0,15,46,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,47,0,1,0,0,0,1,18,13,0,0,0,0,0,0,69,0,0,0,0,2,0,54,0,0,0,0,0,0,4,12,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,28,47,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,19,0,35,0,0,0,6,30,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,23,20,22,0,0,0,0,0,0,33,0,0,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0,8,37,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__
ZOTU151,94,0,0,1,0,2,0,0,0,0,0,8,0,0,20,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,63,1,21,0,0,0,0,0,17,0,25,0,0,0,15,20,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,21,46,0,1,0,0,0,5,34,18,0,0,0,0,0,0,32,0,0,0,0,0,0,38,0,0,0,0,0,0,12,9,0,0,0,0,0,36,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,22,65,0,2,0,0,70,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,61,0,39,0,0,0,10,45,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,4,23,55,0,0,1,0,0,0,34,0,0,0,0,0,0,55,62,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,0, k__Eukaryota; p__Chordata; c__; o__; f__; g__; s__
ZOTU23,97,201,138,100,2,200,60,4,10,58,143,81,24,12,19,5,186,24,45,46,1,61,1,2,1,108,3,17,39,30,88,6,218,105,176,5,0,61,3,0,5,3,6,26,44,55,7,139,30,261,1,4,66,29,0,0,68,59,1,9,8,122,96,59,5,57,2,4,8,31,0,40,414,30,38,222,41,3,124,80,169,19,179,5,78,1,0,1,0,134,9,44,43,96,3,34,4,1,69,108,137,145,109,4,68,50,8,3,27,4,137,8,82,15,11,2,161,134,9,64,1,28,260,267,53,5,71,51,64,70,211,121,3,5,160,13,87,96,48,0,161,81,114,154,144,8,27,80,9,35,4,122,57,3,8,32,83,5,12,211,2,4,110,111,1,248,119,15,0,2,66,125,119,74,208,1,2,7,71,157,5,23,0,202,122,1,2,1,46,0,133,2,51,117,170,7,0,112,88,213,80,110,48,0,95,1,34,105,48,208,0,22,81,1,83,81,113,0,15,27,61,80,7,82,0,80,56,29,20,53,208,0,1,2,3,1,5,12,0,8,217,73,3,124,5,0,101,200,10,13,6,57, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__
ZOTU133,82,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,40,0,0,0,0,0,0,135,0,177,0,0,0,16,0,0,0,0,0,0,0,0,20,0,0,114,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,98,0,0,0,0,0,0,33,0,0,0,0,0,0,39,0,0,0,0,0,0,239,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Terricola; s__Terricola_subterraneus
ZOTU24,74,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,162,3,2227,0,1,0,0,0,2,1,178,0,0,0,0,0,1,0,0,0,0,0,0,361,0,1,0,0,0,0,0,351,0,0,0,0,0,0,0,146,0,0,0,0,0,0,1,0,2,0,0,0,0,0,65,0,0,0,0,0,0,320,0,0,1,0,0,0,0,41,0,0,1,0,0,0,2,1,0,0,0,0,0,88,0,0,0,0,0,1,317,0,0,0,0,1,0,104,189,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,3,4542,1,0,1,2,0,1,200,0,1,0,0,0,93,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,1043,0,1,0,1,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,0,0,0,0,0,0,34,1,0,0,0,0,0,468,69,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Pseudochondrostoma; s__Pseudochondrostoma_polylepis
ZOTU131,74,0,0,2,0,0,0,0,0,3,0,11,0,0,53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,19,0,0,0,1,0,12,0,27,0,0,0,19,32,0,0,0,0,0,1,7,94,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,14,0,7,0,0,0,0,6,48,32,0,0,0,0,0,9,82,5,0,0,0,0,0,0,4,0,0,0,0,0,0,30,1,0,0,0,0,0,31,26,0,0,0,0,0,9,127,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,150,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,1,0,0,0,0,11,0,2,0,0,0,14,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,90,10,0,0,0,0,0,0,7,0,0,0,0,1,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,2,191,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU237,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,30,0,0,0,0,0,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,29,0,10,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU220,18,0,0,60,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU108,77,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,34,0,119,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,38,54,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,61,0,115,0,1,0,0,114,0,0,1,0,6,0,0,2,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,20,0,0,0,0,0,0,0,0,0,96,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__Homo_sapiens
