"","SampleID","PC1","PC2","PC3","seqID","year","Dataset","project"
"48","CN18SESPkoa_SC41",-0.0222211555623975,-0.0788067455768458,-0.0372030347126656,NA,2018,"Merged2018","CN18S"
"49","CN18SESPkoa_SC42",0.0405933791944275,0.126666423016892,0.0177096963293697,NA,2018,"Merged2018","CN18S"
"50","CN18SESPkoa_SC44",-0.0370363420039755,-0.0188673482120302,0.100057380243263,NA,2018,"Merged2018","CN18S"
"51","CN18SESPkoa_SC45",0.0348743595496323,0.140521920188767,0.0580549420071379,NA,2018,"Merged2018","CN18S"
"52","CN18SESPkoa_SC47",0.0378006388721303,0.148169513429502,0.0591261108278277,NA,2018,"Merged2018","CN18S"
"53","CN18SESPkoa_SC49",0.0347592089022686,0.145906659396554,0.0628160131775273,NA,2018,"Merged2018","CN18S"
"54","CN18S_koa3G_BN2post",-0.051337835800445,0.0135592688949638,0.282697744396994,NA,NA,"Merged2018","CN18S"
"55","CN18S_koa3G_BN3post",-0.0249851059415866,0.0123744126699769,0.238106078898307,NA,NA,"Merged2018","CN18S"
"56","CN18S_koa3G_SC29",-0.0443411220336797,0.015566714914661,0.273921993161063,NA,NA,"Merged2018","CN18S"
"57","CN18S_koa3G_SC30",-0.0395400191653247,0.0174292095028583,0.306244500594176,NA,NA,"Merged2018","CN18S"
"58","CN18S_koa3G_SC31",-0.0364600646972966,0.00748210458828874,0.222841974748388,NA,NA,"Merged2018","CN18S"
"59","CN18Sc09_2_eDNA",0.0395009875959644,0.137305917795322,0.0468751108413282,NA,2018,"Merged2018","CN18S"
"60","CN18Sc10_2_eDNA",0.0372781942665077,0.144227199632808,0.0506829001978926,NA,2018,"Merged2018","CN18S"
"61","CN18Sc14_2_eDNA",0.0339935814616426,0.147424878457749,0.0445033362304011,NA,2018,"Merged2018","CN18S"
"62","CN18Sc14_8_eDNA",0.0497013891891611,0.0809333689937685,-0.0308692127525534,NA,2018,"Merged2018","CN18S"
