,X1G-01,X1G-02,X1G-03,X1G-04,X1G-05,X1G-06,X1G-07,X1G-08,X1G-09,X1G-10,X1G-11,X1G-12,X1G-13,X1G-14,X1G-15,X1N-01,X1N-02,X1N-03,X1N-04,X1N-05,X1N-06,X1N-07,X1N-08,X1N-09,X1N-10,X1N-11,X1N-12,X1N-13,X1N-14,X1T-01,X1T-02,X1T-03,X1T-04,X1T-05,X1T-06,X1T-07,X1T-08,X1T-09,X1T-10,X1T-11,X1T-12,X1T-13,X1T-14,X1T-15,X1T-16,X1T-17,X1T-18,X1T-19,X1T-20,X1T-21,X1T-22,X1T-23,X1T-24,X1T-25,X1T-26,X1T-27,X1T-28,X1T-29,X1T-30,X1T-31,X1T-32,X1T-33,X1T-34,X1T-35,X1T-36,X1T-37,X1T-38,X1T-39,X1T-40,X1T-41,X1T-42,X1T-43,X1T-44,X2G-01,X2G-02,X2G-03,X2G-04,X2G-05,X2G-07,X2G-08,X2G-09,X2G-10,X2G-11,X2G-12,X2G-13,X2G-14,X2G-15,X2N-01,X2N-02,X2N-03,X2N-04,X2N-05,X2N-06,X2N-07,X2N-08,X2N-09,X2N-10,X2N-11,X2N-12,X2N-13,X2N-14,X2T-01,X2T-02,X2T-03,X2T-04,X2T-05,X2T-06,X2T-07,X2T-08,X2T-09,X2T-10,X2T-11,X2T-12,X2T-13,X2T-14,X2T-15,X2T-16,X2T-17,X2T-18,X2T-19,X2T-20,X2T-21,X2T-22,X2T-23,X2T-24,X2T-25,X2T-26,X2T-27,X2T-28,X2T-30,X2T-31,X2T-32,X2T-33,X2T-34,X2T-35,X2T-36,X2T-37,X2T-38,X2T-39,X2T-41,X2T-42,X2T-44,X3G-01,X3G-02,X3G-03,X3G-04,X3G-05,X3G-06,X3G-07,X3G-08,X3G-09,X3G-10,X3G-11,X3G-12,X3G-13,X3G-14,X3G-15,X3N-01,X3N-02,X3N-03,X3N-04,X3N-05,X3N-06,X3N-07,X3N-08,X3N-09,X3N-10,X3N-11,X3N-12,X3N-13,X3N-14,X3T-01,X3T-02,X3T-03,X3T-04,X3T-05,X3T-06,X3T-07,X3T-08,X3T-09,X3T-10,X3T-11,X3T-12,X3T-13,X3T-14,X3T-15,X3T-16,X3T-17,X3T-18,X3T-19,X3T-20,X3T-21,X3T-22,X3T-23,X3T-24,X3T-25,X3T-26,X3T-27,X3T-28,X3T-29,X3T-30,X3T-31,X3T-32,X3T-33,X3T-34,X3T-35,X3T-36,X3T-37,X3T-38,X3T-39,X3T-40,X3T-41,X3T-42,X3T-43,X3T-44
ZOTU4652,87,0,0,0,36,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,5,0,0,14,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,14,0,0,2,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU2834,0,1,187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU208,150,396,906,50,243,23,1,275,102,5,139,13,1,21,0,76,95,0,1,138,132,36,127,304,0,0,1,0,0,19,266,32,86,115,586,15,89,9,22,6,47,7,0,0,0,1,269,8,0,0,6,5,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,692,578,23,251,367,59,227,262,0,40,0,21,133,9,94,16,0,0,3,1,1,5,47,4,0,0,0,0,795,370,667,1016,64,243,501,130,12,4082,55,847,45,3,0,0,110,327,50,7,92,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,939,1239,1,156,1003,66,3040,689,654,24,1351,24,4,61,15,253,80,18,7,5,13,0,1,29,28,6,0,0,1,451,413,273,701,208,955,113,125,35,53,30,75,93,5,0,0,3,285,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0
ZOTU6299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,27,86,4,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,46,91,0,0,11,0,0,5,8,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,35,0,0
ZOTU1285,504,795,134,1183,530,353,436,803,474,1044,992,418,315,19,110,94,44,54,39,35,57,11,14,63,19,3,2,0,0,16,450,83,187,92,218,11,928,22,44,17,97,132,9,0,0,4,57,34,20,0,22,83,80,0,0,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,312,66,4,64,155,20,68,47,0,6,0,1,13,46,0,21,12,0,0,1,4,1,16,0,0,0,0,0,21,14,15,242,0,0,0,43,5,0,3,0,0,0,0,6,3,1,0,19,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,8,1,0,133,44,29,95,158,45,6469,11,133,1,111,0,3,49,2,0,36,0,0,0,62,1,0,2,0,0,0,5,0,0,29,9,62,9,0,0,4,0,0,0,12,2,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0
ZOTU137,5,1,0,41,139,2,1,90,1,63,1,33,0,0,45,15,25,187,268,28,40,18,8,54,66,56,27,23,55,3,32,8,4,95,72,77,3,0,11,128,8,41,33,33,0,10,13,43,17,3,76,210,192,53,31,342,61,11,0,0,9,0,1,6,0,0,3,5,0,5,0,5,37,0,0,0,8,0,0,2,15,0,0,0,0,6,0,43,16,46,15,0,0,0,1,0,0,19,0,0,140,0,43,0,2,0,0,0,6,40,16620,10,0,39,0,2,7,0,0,1,0,0,50,8,0,180,0,155,44,2,91,21,0,0,5,2,138,16,0,2,0,31,41,3,2,9,10,0,582,21,6,16,0,0,0,17,0,0,25,3,13,0,0,0,0,20,3,0,0,6,42,13,9,7,18,5,1,7,0,6,18,8,8,11,31,0,0,20,6,1,0,8,0,55,30,0,10,138,46,0,175,6,15,0,0,18,0,0,60,0,0,18,11,6,5
ZOTU2562,16,34,15,9,15,1,3,51,6,45,4,18,2,4,7,2,11,1,5,4,13,0,6,8,8,41,8,9,56,4,8,17,10,4,62,11,0,3,9,7,5,14,369,27,53,5,154,14,76,32,8,23,24,18,35,168,209,0,30,28,26,3,42,115,445,0,12,191,151,2,1,62,0,31,16,0,21,22,27,6,30,0,3,0,13,17,71,311,223,11,24,17,0,19,4,53,59,70,15,13,177,23,9,57,7,48,21,65,20,11,1184,10,93,9,66,87,275,45,128,50,53,45,19,17,0,16,10,3,2,61,62,206,46,3,74,0,0,49,14,78,1,23,70,134,2,39,59,0,72,6,53,10,39,68,29,5,34,151,65,15,46,13,29,0,18,15,10,42,23,43,11,29,38,56,53,35,26,57,9,9,63,39,13,48,162,8,75,48,71,24,399,9,16,113,249,11,14,0,0,0,0,8,21,17,2,35,42,10,49,5,31,7,4,0,0
ZOTU6436,291,1,69,1,217,17,1,29,137,4,98,0,18,9,1,236,151,0,0,78,66,52,3,32,0,0,2,0,0,30,93,318,478,0,116,147,44,0,2,4,22,0,28,0,0,0,44,96,1,17,0,118,80,0,3,0,0,0,0,11,73,0,2,0,0,0,0,0,1,0,0,1,0,140,178,0,0,228,644,12,132,0,59,0,18,57,2,2309,1032,0,0,554,13,104,9,283,127,0,0,113,0,151,330,74,30,458,18,43,248,667,830171,629,3,4,118,19,9,1147,2,2041,39,1096,4,1547,0,1,116,0,50,0,324,58,45,0,0,0,1,0,0,204,0,0,379,59,196,181,377,18,12,55,224,20,461,197,42,7,0,713,112,3,1,10,6,0,0,64,91,41,0,4,0,34,0,11,1314,360,162,130,62,35,55,27,0,0,0,12,0,80,0,9,0,1,75,0,0,0,84,1,0,0,0,17,0,76,0,0,0,0,0,0,0,19,0,0,0
ZOTU251,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,6,0,1,162,9,0,9159,0,0,0,0,0,0,1,0,0,5,0,5,15,0,0,0,0,1,67,0,19,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU91,23,1,62,100,71,22,6,41,24,458,21,16,68,40,193,20,54,39,66,39,19,46,12,45,99,162,96,102,110,29,6,41,11,39,62,25,0,23,2,35,4,4,15,12,102,11,91,71,1,92,81,319,354,196,115,882,352,386,207,18,424,2,375,150,228,28,10,220,255,12,0,42,665,0,0,11,8,17,0,0,8,0,0,0,0,21,0,5,0,7,0,1,0,4,0,1,4,52,6,0,0,9,72,0,13,0,3,0,8,9,15122,12,2,2,24,85,35,0,0,3,12,9,24,9,0,232,1,52,10,53,0,14,9,120,14,84,0,0,9,15,0,554,39,1,0,69,52,9,348,14,50,47,1,21,0,31,123,7,93,67,228,15,17,0,19,4,88,369,331,369,313,37,4,7,25,20,13,4,0,0,179,122,7,4,69,41,195,3,1,0,0,118,4,259,159,26,82,588,207,301,159,19,35,0,106,186,0,200,0,76,197,46,7,0,10
ZOTU1101,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,8,463,0,0,21,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,31,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,80,0,0,106,324,26,51,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
ZOTU3233,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,3,4,0,3,0,169,4,10,0,16,9,0,1,10,0,1,0,0,0,1,0,0,0,0,2,7,1,0,0,0,1,13,3,0,0,5,1,1,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
ZOTU24,122,268,236,266,168,224,179,313,100,385,65,361,180,19,70,341,221,63,293,136,258,276,151,158,160,60,113,150,162,60,49,293,112,351,181,408,64,971,82,766,182,158,599,838,1022,76,163,295,630,157,886,1498,2166,13,105,108,66,347,2,271,804,14,34,85,68,14,22,186,1073,41,26,85,0,15,0,40,253,1,171,0,52,0,4,0,19,127,28,13,24,56,95,13,2,32,5,35,342,21,86,43,191,0,5,4,2,0,73,5,63,58,4539,29,96,47,127,843,168,4,17,7,110,33,43,166,1,6,62,64,174,29,60,723,144,465,24,182,434,597,351,79,3,0,247,96,265,310,263,353,28345,165,151,96,39,707,138,342,565,2586,1076,562,1040,333,775,1,272,594,375,562,1205,840,526,472,93,486,306,620,78,245,89,64,504,345,375,704,1062,1013,735,151,119,48,286,21,216,810,1699,44,1002,491,0,765,1,88,747,848,226,1452,204,36,1089,885,616,654,209,501,0
ZOTU1387,151,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,160,0,0,61,371,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU3136,29,10,0,4,13,0,5,2,39,11,0,0,0,9,0,10,2,1,1,1,2,10,0,0,9,0,1,0,4,7,8,169,8,2,0,4,0,0,3,5,0,21,6,2,0,10,0,10,62,0,0,22,0,0,0,0,0,0,0,1,1,0,0,9,14,0,4,1,117,0,1,8,0,0,0,10,211,0,0,0,0,0,0,0,1,3,25,8,29,0,0,0,0,0,0,7,28,44,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,112,0,0,4,1,0,0,0,0,0,0,5,0,1,0,0,0,5,4,0,13,9,31,0,0,0,0,12,69,0,0,0,15,3,5,0,0,0,0,0,8,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,3,1,0,0,5,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,2,0,0,94,1,33,1,0,0,0
