,X1G-01,X1G-02,X1G-03,X1G-04,X1G-05,X1G-06,X1G-07,X1G-08,X1G-09,X1G-10,X1G-11,X1G-12,X1G-13,X1G-14,X1G-15,X1N-01,X1N-02,X1N-03,X1N-04,X1N-05,X1N-06,X1N-07,X1N-08,X1N-09,X1N-10,X1N-11,X1N-12,X1N-13,X1N-14,X1T-01,X1T-02,X1T-03,X1T-04,X1T-05,X1T-06,X1T-07,X1T-08,X1T-09,X1T-10,X1T-11,X1T-12,X1T-13,X1T-14,X1T-15,X1T-16,X1T-17,X1T-18,X1T-19,X1T-20,X1T-21,X1T-22,X1T-23,X1T-24,X1T-25,X1T-26,X1T-27,X1T-28,X1T-29,X1T-30,X1T-31,X1T-32,X1T-33,X1T-34,X1T-35,X1T-36,X1T-37,X1T-38,X1T-39,X1T-40,X1T-41,X1T-42,X1T-43,X1T-44,X2G-01,X2G-02,X2G-03,X2G-04,X2G-05,X2G-07,X2G-08,X2G-09,X2G-10,X2G-11,X2G-12,X2G-13,X2G-14,X2G-15,X2N-01,X2N-02,X2N-03,X2N-04,X2N-05,X2N-06,X2N-07,X2N-08,X2N-09,X2N-10,X2N-11,X2N-12,X2N-13,X2N-14,X2T-01,X2T-02,X2T-03,X2T-04,X2T-05,X2T-06,X2T-07,X2T-08,X2T-09,X2T-10,X2T-11,X2T-12,X2T-13,X2T-14,X2T-15,X2T-16,X2T-17,X2T-18,X2T-19,X2T-20,X2T-21,X2T-22,X2T-23,X2T-24,X2T-25,X2T-26,X2T-27,X2T-28,X2T-30,X2T-31,X2T-32,X2T-33,X2T-34,X2T-35,X2T-36,X2T-37,X2T-38,X2T-39,X2T-41,X2T-42,X2T-44,X3G-01,X3G-02,X3G-03,X3G-04,X3G-05,X3G-06,X3G-07,X3G-08,X3G-09,X3G-10,X3G-11,X3G-12,X3G-13,X3G-14,X3G-15,X3N-01,X3N-02,X3N-03,X3N-04,X3N-05,X3N-06,X3N-07,X3N-08,X3N-09,X3N-10,X3N-11,X3N-12,X3N-13,X3N-14,X3T-01,X3T-02,X3T-03,X3T-04,X3T-05,X3T-06,X3T-07,X3T-08,X3T-09,X3T-10,X3T-11,X3T-12,X3T-13,X3T-14,X3T-15,X3T-16,X3T-17,X3T-18,X3T-19,X3T-20,X3T-21,X3T-22,X3T-23,X3T-24,X3T-25,X3T-26,X3T-27,X3T-28,X3T-29,X3T-30,X3T-31,X3T-32,X3T-33,X3T-34,X3T-35,X3T-36,X3T-37,X3T-38,X3T-39,X3T-40,X3T-41,X3T-42,X3T-43,X3T-44
ZOTU65,0,1,0,0,3,8,1,0,8,11,0,5,0,0,0,1,0,0,0,0,2,0,0,2,0,0,5,13,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,5,0,0,0,1,0,0,13,0,0,0,0,0,1,226,0,29,0,22,3,0,33,273,0,0,258,25,13,38,0,501,0,108,260,0,13,2,26,50,8,0,10,2,2,7816,313,0,0,87,0,0,282,0,169,16,1379,4,0,0,0,1557,0,0,0,499,0,1316,4,360,0,0,179,0,0,29,0,44,1,70,0,65,14,3,45,128,5,37,35,9,1,1,59,17,9,5,34,53,0,26,170,147,79,0,0,26,208,8,362,84,1472,0,1757,38,31,6,1235,7,1,1,0,0,334,71,653,0,356,0,1,3,11,1000,2,0,0,0,198,252,62,0,8,0,0,0,0,0,0,392,0,0
ZOTU173,402,0,1,0,111,0,1,22,0,0,0,0,0,0,1,235,42,1,0,97,0,0,0,0,0,0,2,0,0,197,0,551,692,56,0,74,0,1,0,203,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,22,0,18,0,0,0,0,0,0,0,523,880,0,0,284,0,0,0,0,0,0,0,0,0,221,0,274,286,1711,0,407,0,1,2,459,0,0,0,0,0,396,0,729,1,501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,0,1,227,0,1,0,12,0,0,0,0,0,0,560,190,3,0,145,16,0,0,0,0,0,0,1,6,114,0,236,1519,2354,0,156,0,0,0,293,0,0,0,0,0,319,0,276,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU16,47,1042,19,2,1,1,1,9,0,350,0,0,8,1,9,120,0,0,1,1,0,0,0,2,0,0,2,0,0,4,24,0,30,1,0,1,0,0,8,0,0,1,0,1,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,0,0,0,4,0,1521,3460,5,0,212,0,860,2676,89,12305,0,5455,0,9,833,6813,0,0,10997,22573,4736,19975,409,1,0,26,307,1,260,3968,619,690,395,0,1279,453,2,306889,82,1,8616,866,2,2,2737,71,489,4792,783,4,0,0,2,5672,1,0,0,1072,0,645,1,118,0,2,0,17,0,0,0,166,857,0,12,1282,35,4676,636,613,1499,4890,0,2975,0,0,828,3831,36,305,1825,4731,48,9149,2518,0,0,0,0,64,70,961,322,219,574,111,2282,1518,156,330,2874,23,8977,449,0,1,7988,10,7234,5499,14059,1,15,3,160,10103,29,19,2,3,5977,6,107,0,24,0,1,0,0,0,0,0,1,0
ZOTU6518,0,4,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,2,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,1,7,0,0,0,0,0,2,0,0,0,0,1,6,1,5,0,1,0,15,0,0,1,0,2,0,17,0,0,0,0,1,0,0,1,0,0,0,10,1,0,0,3,1,0,0,4,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZOTU351,0,0,1,4,1879,0,3,0,1,5,1,23,0,0,8,1,3,0,24,0,6,1,7,0,0,0,1,1,0,0,0,1,12,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,9,2,0,0,0,0,0,0,1012,23,0,19,0,0,1,0,5,15,0,2,0,0,0,2,389,3,11,0,13,0,6,1,3,0,1,8,0,0,13,2,0,0,744,456,0,1,0,1,0,1,3,0,0,0,0,0,4,12,11,0,0,122,6,30,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,1,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,1,0,0,0
ZOTU276,8,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,148,1440,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,10,37,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,86,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU94,15,57,39,8,110,6,0,3,18,3,1,10,0,2,3,0,0,7,0,0,3,0,8,1,0,0,0,1,0,4,1,23,22,0,4,3,5,30,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,16,0,0,0,0,1,0,0,0,209,277,1,1,167,0,6,347,0,16,0,68,11,3,267,277,0,0,60,3,3,11,76,2,433,135,53,0,2,75,2,43,0,187,1,1,57,7387,120,1,57,137,0,4,134,0,19,136,1,0,183,0,0,6,0,0,0,5,0,2,15,5,65,0,0,5,417,0,0,1367,694,37,49,1261,81,1750,160,1304,60,1247,116,519,15,457,1485,2099,54,86,699,100,0,204,149,10,4,43,97,35,390,108,224,966,680,29,1065,15,30,81,1192,1,415,29,0,7,986,23,117,260,69,0,995,18,15,15,0,3,3,0,18,79,0,3,13,0,0,8,3,10,162,1,0,8
ZOTU924,0,0,5,1,1,9,7,0,0,0,0,0,0,0,0,48,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,17,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,752,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOTU2175,0,0,3,0,0,0,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,215,0,1,0,22,0,1,0,0,0,26,0,18,13,0,0,2,0,0,0,0,0,0,0,0,0,25,16,9,40,318,0,14,7,0,0,19,0,8,0,0,0,20,0,22,0,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,15,0,0,195,0,10,0,58,10,5,0,28,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,11,0,5,192,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ZOTU4729,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,8,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,2,2,1,1,0,174,0,4,0,1,0,0,0,5,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,6,4,8,0,0,8,2,0,1,16,0,1,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,4,6,0,1,1,1,0,7,0,0,4,3,2,0,1,1,0,4,0,0,0,0,3,0,0,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0,0
