#OTU ID,B3G-01,B3G-13,B3N-10,B3T-08,B3T-20,B3T-32,B3PCR-Blk10,B3G-02,B3G-14,B3N-11,B3T-09,B3T-21,B3T-33,B3T-44,B3G-03,B3G-15,B3N-12,B3T-10,B3T-22,B3T-34,B3Blk-14,B3G-04,B3N-01,B3N-13,B3T-11,B3T-23,B3T-35,B3Blk-15,B3G-05,B3N-02,B3N-14,B3T-12,B3T-24,B3T-36,B3Blk-16,B3G-06,B3N-03,B3T-01,B3T-13,B3T-25,B3T-37,B3Blk-17,B3G-07,B3N-04,B3T-02,B3T-14,B3T-26,B3T-38,B3Blk-18,B3G-08,B3N-05,B3T-03,B3T-15,B3T-27,B3T-39,B3Blk-19,B3G-09,B3N-06,B3T-04,B3T-16,B3T-28,B3T-40,B3Blk-20,B3G-10,B3N-07,B3T-05,B3T-17,B3T-29,B3T-41,B3PCR-Blk11,B3G-11,B3N-08,B3T-06,B3T-18,B3T-30,B3T-42,B3dummy5,B3G-12,B3N-09,B3T-07,B3T-19,B3T-31,B3T-43,B3dummy6,B2G-01,B2G-13,B2N-10,B2T-08,B2T-20,B2T-32,B2PCR-Blk8,B1G-01,B1G-13,B1N-10,B1T-08,B1T-20,B1T-32,B1PCR-Blk1,B2G-02,B2G-14,B2N-11,B2T-09,B2T-21,B2T-33,B2T-44,B1G-02,B1G-14,B1N-11,B1T-09,B1T-21,B1T-33,B1T-44,B2G-03,B2G-15,B2N-12,B2T-10,B2T-22,B2T-34,B2Blk-7,B1G-03,B1G-15,B1N-12,B1T-10,B1T-22,B1T-34,B1Blk-1,B2G-04,B2N-01,B2N-13,B2T-11,B2T-23,B2T-35,B2Blk-8,B1G-04,B1N-01,B1N-13,B1T-11,B1T-23,B1T-35,B1Blk-2,B2G-05,B2N-02,B2N-14,B2T-12,B2T-24,B2T-36,B2Blk-9,B1G-05,B1N-02,B1N-14,B1T-12,B1T-24,B1T-36,B1Blk-3,B2PCR-Blk4,B2N-03,B2T-01,B2T-13,B2T-25,B2T-37,B2Blk-10,B1G-06,B1N-03,B1T-01,B1T-13,B1T-25,B1T-37,B1Blk-4,B2G-07,B2N-04,B2T-02,B2T-14,B2T-26,B2T-38,B2Blk-11,B1G-07,B1N-04,B1T-02,B1T-14,B1T-26,B1T-38,B1Blk-5,B2G-08,B2N-05,B2T-03,B2T-15,B2T-27,B2T-39,B2Blk-12,B1G-08,B1N-05,B1T-03,B1T-15,B1T-27,B1T-39,B1Blk-6,B2G-09,B2N-06,B2T-04,B2T-16,B2T-28,B2PCR-Blk6,B2Blk-13,B1G-09,B1N-06,B1T-04,B1T-16,B1T-28,B1T-40,B1PCR-Blk2,B2G-10,B2N-07,B2T-05,B2T-17,B2PCR-Blk5,B2T-41,BPCR-Blk9,B1G-10,B1N-07,B1T-05,B1T-17,B1T-29,B1T-41,B1PCR-Blk3,B2G-11,B2N-08,B2T-06,B2T-18,B2T-30,B2T-42,B2dummy3,B1G-11,B1N-08,B1T-06,B1T-18,B1T-30,B1T-42,B1dummy1,B2G-12,B2N-09,B2T-07,B2T-19,B2T-31,B2PCR-Blk7,B2dummy4,B1G-12,B1N-09,B1T-07,B1T-19,B1T-31,B1T-43,B1dummy2,Consensus Lineage
ZOTU2386,0,11,0,6,0,9,0,1,0,1,18,0,0,0,31,7,27,22,0,3,0,9,0,6,1,0,6,0,4,5,0,0,0,2,0,5,2,1,2,0,0,0,255,1,14,0,0,0,0,0,2,1,6,40,0,0,2,0,3,0,0,0,0,0,0,6,0,0,7,0,5,6,0,0,0,11,0,31,0,0,0,0,0,0,0,0,8,2,15,0,0,1,0,25,8,1,105,1,2,0,0,0,0,0,0,0,0,6,14,59,1,0,0,1,0,480,11,0,0,8,13,0,11,46,11,0,0,0,2,0,0,1,0,24,20,1,7,27,10,0,0,9,0,0,0,1,0,2,11,6,0,17,0,0,0,0,0,0,0,0,0,42,1,1,9,3,1,0,3,0,15,0,0,0,0,11,0,2,4,24,4,0,0,0,0,1,49,17,0,0,9,20,1,5,0,0,0,0,0,2,3,0,0,0,26,7,0,0,0,0,0,0,6,0,0,0,0,5,28,0,6,1,0,0,0,0,0,0,0,0,0,5,3,28,13,0,0,0,0,0,0,0,0,0,0,0,8,0,35,15,2,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU1247,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1841,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5571,0,4,1,0,0,0,0,4,0,0,0,0,19,0,14,6,9,0,0,0,0,14,12,0,2,0,2,0,11,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,71,0,0,0,0,1,0,0,0,1,5,12,11,0,0,0,0,1,0,54,0,1,0,1,0,0,0,0,33,27,20,18,6,24,0,0,0,0,0,0,0,0,0,19,71,4,0,55,0,0,0,0,0,0,0,0,36,3,65,2989,1,2,0,0,0,0,0,0,0,0,106,3,78,18,76,6,0,0,0,0,0,0,0,0,82,18,4,0,0,15,0,0,1,0,0,0,0,0,0,12,1,9,0,0,0,0,0,1,0,0,0,0,20,1,64,13,16,20,0,0,0,1,0,0,0,0,0,2,1,4,32,0,0,6,0,0,0,0,0,0,48,1,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,147,0,0,0,0,0,7,0,0,10,7,17,0,17,37,0,0,0,0,0,0,0,0,0,23,0,3,92,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4763,0,4,10,0,0,0,0,0,0,3,13,0,0,0,0,24,0,19,1,0,0,0,0,0,1,1,1,0,0,0,0,4,42,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,12,4,0,0,6,0,21,0,0,0,0,0,2,88,0,0,0,4,0,0,0,0,0,0,0,0,1,7,0,0,1,50,0,0,0,0,0,0,0,0,6,1,0,0,0,536,1,0,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,0,1,0,0,0,0,0,0,0,10,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Arvicola; s__Arvicola_amphibius
ZOTU2984,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5432,0,1,9,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,18,2,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,6,0,0,0,320,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,47,15,1,9,0,0,0,0,10,91,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,37,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU2718,0,9,0,0,0,0,0,7,0,0,5,0,0,0,7,0,115,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,156,3,0,0,0,0,0,35,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,177,0,0,0,0,0,0,0,0,0,4,19,18,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU2837,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4626,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,14,2,0,1,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,2,1,2,1,2,0,0,0,0,0,83,0,4,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,4,2,0,0,5,1,0,0,0,0,6,0,0,0,0,1,0,3,18,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,12,7,0,0,0,0,0,0,0,0,0,2,1,5,2,1,3,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU636,0,21,123,0,78,0,0,0,0,49,6,0,0,0,1,141,77,0,0,5,0,0,35,30,12,24,5,0,1,134,0,0,22,59,0,0,0,2,126,0,43,0,187,38,2,18,9,14,0,5,19,5,175,0,4,0,2,51,1,0,27,6,0,0,0,0,7,0,16,0,10,25,0,0,0,0,0,93,53,9,1,1,0,0,0,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,29,17,39,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU1298,0,3,4,0,2,0,0,0,0,26,0,4,10,0,0,5,29,4,0,0,0,0,9,24,7,13,4,0,0,24,2,0,7,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,8,0,1,1,0,0,0,0,0,0,0,3,3,0,1,0,0,5,0,0,0,0,0,2,37,0,2,0,0,0,0,0,2,0,6,0,0,2,0,5,0,10,48,1,0,0,0,0,0,0,0,0,0,2,3,64,4,0,0,0,0,125,1,0,0,0,3,11,0,47,1,1,0,0,0,0,0,0,0,5,2,22,133,101,50,0,0,0,0,0,0,0,0,1,5,1,2,21,3,0,0,0,0,1,0,0,0,1,4,5,80,2,8,0,0,0,0,0,0,0,0,0,0,3,26,109,4,1,0,0,0,17,0,4,0,2,0,29,14,41,63,0,0,0,0,8,0,0,1,2,6,3,203,1,13,12,0,0,0,0,0,0,0,12,12,4,14,0,8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,2,11,11,170,15,10,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU2113,0,7,0,0,2,0,0,0,0,0,0,0,0,5,16,2,20,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,20,15,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,135,3,20,0,12,0,0,0,10,0,1,4,0,0,0,0,0,0,0,1,0,5,13,47,0,0,0,0,8,0,12,0,0,2,0,2,0,13,0,0,0,0,1,0,0,0,5,9,0,6,1,1,0,0,0,0,0,0,11,0,0,3,0,0,22,0,0,0,0,0,0,0,1,0,1,0,11,3,14,8,0,0,0,0,0,0,0,0,0,1,1,4,7,0,1,0,0,0,0,0,0,0,1,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,8,0,0,0,4,19,14,14,13,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4563,0,6,0,0,0,0,0,1,1,18,0,0,0,0,0,33,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,21,0,0,4,0,13,0,0,0,0,344,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,1,0,0,0,10,3,14,0,0,0,2,0,0,0,5,0,8,0,1,4,0,0,0,0,11,24,0,0,6,0,6,4,0,1,0,0,0,0,11,0,11,0,0,29,8,1,0,39,23,0,2,0,1,7,2051,10,4,1,11,11,0,2,0,10,0,14,1,1,3,3,0,0,6,7,0,0,1,0,0,0,0,0,2,0,6,0,5,5,0,3,0,0,0,0,3,0,0,12,4,0,29,0,2,1,0,0,0,3,0,0,0,4,12,0,13,3,3,0,0,1,0,0,1,0,0,51,0,0,6,7,2,4,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,7,3,0,0,22,0,3,5,1,1,0,0,0,19,0,0,0,13,21,0,24,0,3,3,0,1,0,0,5,0,0,48,0,0,0,4,1,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4633,0,10,79,16,0,26,1,0,16,18,0,0,0,0,1,295,0,2,0,0,9,42,1,5,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,4,41,0,0,0,0,0,4,3,1,0,0,0,0,1,2,0,0,0,2,0,1,13,0,0,0,0,0,0,32,17,15,0,0,32,0,13,204,0,10,0,1,0,0,20,123,19,0,0,0,4,2,4,162,0,0,2,0,10,0,8,1,0,0,7736,3,0,48,0,0,0,0,829,2,3103874,1,0,67,222,5,3,8251,11,6,18,7,0,0,13,0,0,2,226,3,0,7,0,0,5,0,0,0,2,0,0,8,53,7,0,0,0,0,0,1,0,0,28,0,1,0,17,4,4,8,0,0,1,85,0,19,5,3,0,1,134,4,87,0,0,0,0,0,0,0,9,0,0,2,5,1,2,0,0,0,0,8,0,0,12,0,0,0,2855,0,18,0,0,0,0,0,10,0,10,0,0,0,0,0,22,0,0,0,32,3,0,8,9,0,1,0,40,4,137,3,0,7268,25,0,81,1,13,0,1,0,1,6,24,12,0,16,7, k__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Simuliidae; g__Simulium; s__
ZOTU5267,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2,1,0,0,0,9,0,0,0,0,0,22,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,1,2,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, k__Eukaryota; p__Arthropoda; c__Insecta; o__; f__; g__; s__
ZOTU662,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,199,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,43,7,0,0,108,0,0,0,0,0,0,24,0,0,0,15,83,15,0,0,0,0,0,0,0,0,0,0,0,0,1356,98,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,120,0,0,4,21,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,2,0,0,0,0,0,5,2,0,0,0,0,119,0,1,0,0,0,0,0,1,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5815,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,7,0,4,0,10,0,0,0,0,0,0,12,0,0,0,0,3,4,2,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,1,91,0,3,0,0,3,0,0,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,6,0,0,0,3,11,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,3,5,13,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,65,0,0,2,0,0,1,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU6464,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU6369,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,7,0,36,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,7,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU2455,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,10,2,6,0,2,0,2,0,0,0,0,3,0,0,1,2,1,0,0,0,14,1,3,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,68,1,0,0,0,2,0,1,2,3,0,0,0,0,1,0,3,4,8,14,0,2,3,0,0,0,0,0,10,0,1,0,0,7,2,0,0,0,2,0,0,0,3,1,4,423,2,3,0,5,0,0,0,0,0,0,6,3,2,20,0,0,0,1,1,0,2,0,0,0,0,3,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,3,0,0,0,0,0,0,0,0,0,0,2,2,18,2,0,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,2,0,3,0,4,0,0,4,0,0,0,0,0,0,0,1,3,1,11,0,0,0,2,1,10,0,0,0, k__Eukaryota; p__Arthropoda; c__; o__; f__; g__; s__
ZOTU2278,0,18,10,0,0,42,0,1,0,3,0,0,0,0,0,28,0,0,0,4,0,0,0,0,11,0,1,0,0,1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,11,3,1,0,0,1,0,0,0,0,0,51,3,4,14,0,0,0,0,4,18,0,0,26,0,0,0,1,0,1,3,0,0,2,0,0,4,10,6,0,0,0,0,0,0,0,0,12,1,0,4,10,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,2,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,4,12,0,0,5,4,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,2,6,0,12,0,0,3,3,0,1,1,0,0,0,0,0,6,0,0,0,0,0,12,4,0,0,0,24,6,2,22,0,0,2,2,0,3,2,0,0, k__Eukaryota; p__Arthropoda; c__; o__; f__; g__; s__
