,Kingdom,Phylum,Class,Order,Family,Genus,Species
ZOTU65,Eukaryota,,,,,,
ZOTU173,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,Barbus_barbus
ZOTU16,Eukaryota,,,,,,
ZOTU6518,Eukaryota,,,,,,
ZOTU351,Eukaryota,,,,,,
ZOTU276,Eukaryota,,,,,,
ZOTU94,Eukaryota,Arthropoda,,,,,
ZOTU924,Eukaryota,,,,,,
ZOTU2175,Eukaryota,,,,,,
ZOTU4729,Eukaryota,,,,,,
ZOTU4652,Eukaryota,Arthropoda,,,,,
ZOTU2834,Eukaryota,Annelida,Clitellata,Haplotaxida,Tubificidae,Potamothrix,Potamothrix_bavaricus
ZOTU208,Eukaryota,,,,,,
ZOTU6299,Eukaryota,,,,,,
ZOTU1285,Eukaryota,,,,,,
ZOTU137,Eukaryota,Arthropoda,,,,,
ZOTU2562,Eukaryota,,,,,,
ZOTU6436,Eukaryota,,,,,,
ZOTU251,Eukaryota,,,,,,
ZOTU91,Eukaryota,Arthropoda,Insecta,,,,
ZOTU1101,Eukaryota,,,,,,
ZOTU3233,Eukaryota,,,,,,
ZOTU24,Eukaryota,Arthropoda,Insecta,,,,
ZOTU1387,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gobio,Gobio_gobio
ZOTU3136,Eukaryota,,,,,,
ZOTU431,Eukaryota,,,,,,
ZOTU950,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus_phoxinus
ZOTU22,Eukaryota,,,,,,
ZOTU3696,Eukaryota,Arthropoda,,,,,
ZOTU5027,Eukaryota,,,,,,
ZOTU1432,Eukaryota,Arthropoda,,,,,
ZOTU47,Eukaryota,Arthropoda,,,,,
ZOTU7,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo_trutta
ZOTU3025,Eukaryota,,,,,,
ZOTU2173,Eukaryota,,,,,,
ZOTU1813,Eukaryota,,,,,,
ZOTU4582,Eukaryota,Arthropoda,Insecta,Diptera,,,
ZOTU6350,Eukaryota,,,,,,
ZOTU3178,Eukaryota,,,,,,
ZOTU1500,Eukaryota,,,,,,
ZOTU1116,Eukaryota,,,,,,
ZOTU2372,Eukaryota,,,,,,
ZOTU1143,Eukaryota,,,,,,
ZOTU1589,Eukaryota,,,,,,
ZOTU857,Eukaryota,,,,,,
ZOTU361,Eukaryota,,,,,,
ZOTU4436,Eukaryota,Arthropoda,,,,,
ZOTU1313,Eukaryota,Arthropoda,,,,,
ZOTU3613,Eukaryota,,,,,,
ZOTU1319,Eukaryota,Arthropoda,,,,,
ZOTU887,Eukaryota,,,,,,
ZOTU4682,Eukaryota,,,,,,
ZOTU4535,Eukaryota,,,,,,
ZOTU2396,Eukaryota,Arthropoda,,,,,
ZOTU5424,Eukaryota,Arthropoda,,,,,
ZOTU35,Eukaryota,,,,,,
ZOTU319,Eukaryota,,,,,,
ZOTU1967,Eukaryota,Annelida,Clitellata,Haplotaxida,Tubificidae,Dero,
ZOTU499,Eukaryota,,,,,,
ZOTU209,Eukaryota,,,,,,
ZOTU4251,Eukaryota,,,,,,
ZOTU440,Eukaryota,,,,,,
ZOTU433,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,Hydra_oligactis
ZOTU6168,Eukaryota,,,,,,
ZOTU3870,Eukaryota,,,,,,
ZOTU2281,Eukaryota,,,,,,
ZOTU1221,Eukaryota,Arthropoda,,,,,
ZOTU1381,Eukaryota,,,,,,
ZOTU727,Eukaryota,,,,,,
ZOTU6486,Eukaryota,Arthropoda,Insecta,,,,
ZOTU5538,Eukaryota,,,,,,
ZOTU567,Eukaryota,,,,,,
ZOTU6258,Eukaryota,,,,,,
ZOTU2847,Eukaryota,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis_rhodani
ZOTU101,Eukaryota,Arthropoda,,,,,
ZOTU5827,Eukaryota,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta_sowerbyi
ZOTU610,Eukaryota,,,,,,
ZOTU134,Eukaryota,Arthropoda,,,,,
ZOTU123,Eukaryota,Annelida,Clitellata,Haplotaxida,Tubificidae,,
ZOTU1223,Eukaryota,Arthropoda,,,,,
ZOTU146,Eukaryota,,,,,,
ZOTU2774,Eukaryota,,,,,,
ZOTU3274,Eukaryota,,,,,,
ZOTU40,Eukaryota,Annelida,Clitellata,Haplotaxida,Tubificidae,Nais,Nais_bretscheri
ZOTU352,Eukaryota,Arthropoda,,,,,
ZOTU1136,Eukaryota,,,,,,
ZOTU6107,Eukaryota,,,,,,
ZOTU86,Eukaryota,Arthropoda,,,,,
ZOTU3646,Eukaryota,,,,,,
ZOTU264,Eukaryota,Arthropoda,,,,,
ZOTU2245,Eukaryota,,,,,,
ZOTU6284,Eukaryota,,,,,,
ZOTU3465,Eukaryota,,,,,,
ZOTU5706,Eukaryota,,,,,,
ZOTU470,Eukaryota,,,,,,
ZOTU84,Eukaryota,Arthropoda,,,,,
ZOTU285,Eukaryota,,,,,,
ZOTU1565,Eukaryota,,,,,,
ZOTU6356,Eukaryota,,,,,,
ZOTU675,Eukaryota,Arthropoda,Insecta,,,,
ZOTU5272,Eukaryota,Arthropoda,,,,,
ZOTU2129,Eukaryota,,,,,,
ZOTU3658,Eukaryota,Arthropoda,,,,,
ZOTU2473,Eukaryota,,,,,,
ZOTU1084,Eukaryota,,,,,,
ZOTU339,Eukaryota,Bryozoa,Phylactolaemata,Plumatellidae,Plumatella,Plumatella_fungosa,
ZOTU3942,Eukaryota,,,,,,
ZOTU154,Eukaryota,,,,,,
ZOTU579,Eukaryota,,,,,,
ZOTU4203,Eukaryota,,,,,,
ZOTU548,Eukaryota,,,,,,
ZOTU3962,Eukaryota,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Barbatula,Barbatula_barbatula
ZOTU326,Eukaryota,,,,,,
ZOTU1600,Eukaryota,,,,,,
ZOTU972,Eukaryota,Mollusca,Gastropoda,Hydrobiidae,Potamopyrgus,Potamopyrgus_antipodarum,
ZOTU3395,Eukaryota,Arthropoda,,,,,
ZOTU1274,Eukaryota,,,,,,
ZOTU3621,Eukaryota,,,,,,
ZOTU4860,Eukaryota,Arthropoda,,,,,
ZOTU193,Eukaryota,,,,,,
ZOTU2933,Eukaryota,,,,,,
ZOTU321,Eukaryota,,,,,,
ZOTU4143,Eukaryota,,,,,,
ZOTU2484,Eukaryota,Arthropoda,,,,,
ZOTU6177,Eukaryota,,,,,,
ZOTU1124,Eukaryota,,,,,,
ZOTU5794,Eukaryota,Arthropoda,Insecta,,,,
ZOTU1960,Eukaryota,,,,,,
ZOTU2270,Eukaryota,,,,,,
ZOTU328,Eukaryota,Arthropoda,,,,,
ZOTU2456,Eukaryota,,,,,,
ZOTU4601,Eukaryota,,,,,,
ZOTU4918,Eukaryota,Arthropoda,,,,,
ZOTU145,Eukaryota,,,,,,
ZOTU1722,Eukaryota,,,,,,
ZOTU1676,Eukaryota,,,,,,
ZOTU2475,Eukaryota,,,,,,
ZOTU4228,Eukaryota,,,,,,
ZOTU2363,Eukaryota,,,,,,
ZOTU1637,Eukaryota,Arthropoda,,,,,
ZOTU5546,Eukaryota,,,,,,
ZOTU3758,Eukaryota,,,,,,
ZOTU4619,Eukaryota,,,,,,
ZOTU1171,Eukaryota,,,,,,
ZOTU6044,Eukaryota,,,,,,
ZOTU4460,Eukaryota,Arthropoda,Insecta,Diptera,,,
ZOTU938,Eukaryota,,,,,,
ZOTU34,Eukaryota,Arthropoda,,,,,
ZOTU3685,Eukaryota,,,,,,
