,Lasker18Sc122_3_D0052_UU,Lasker18Sc122_5_D0053_UU,Lasker18Sc122_17_D0057_UU,Lasker18Sc122_19_D0058_UU,Lasker18Sc123_3_D0063_UU,Lasker18Sc123_5_D0064_UU,Lasker18Sc123_17_D0068_UU,Lasker18Sc123_19_D0069_UU,Lasker18Sc124_3_D0073_UU,Lasker18Sc124_5_D0074_UU,Lasker18Sc124_17_D0078_UU,Lasker18Sc124_19_D0079_UU,Lasker18Sc126_3_D0085_UU,Lasker18Sc126_5_D0086_UU,Lasker18Sc126_17_D0090_UU,Lasker18Sc127_3_D0095_UU,Lasker18Sc127_5_D0096_UU,Lasker18Sc127_17_D0100_UU,Lasker18Sc127_19_D0101_UU,Lasker18Sc128_3_D0105_UU,Lasker18Sc128_7_D0107_UU,Lasker18Sc128_16_D0110_UU,Lasker18Sc128_19_D0111_UU,Lasker18Sc129_3_D0116_UU,Lasker18Sc129_5_D0117_UU,Lasker18Sc129_17_D0121_UU,Lasker18Sc129_19_D0122_UU,Lasker18Sc130_3_D0127_UU,Lasker18Sc130_5_D0128_UU,Lasker18Sc130_17_D0132_UU,Lasker18Sc130_19_D0133_UU,Lasker18Sc132_3_D0137_UU,Lasker18Sc132_5_D0138_UU,Lasker18Sc132_17_D0142_UU,Lasker18Sc132_19_D0143_UU,Lasker18Sc133_3_D0147_UU,Lasker18Sc133_5_D0148_UU,Lasker18Sc133_17_D0152_UU,Lasker18Sc133_19_D0153_UU,Lasker18Sc134_3_D0158_UU,Lasker18Sc134_5_D0159_UU,Lasker18Sc134_17_D0163_UU,Lasker18Sc134_19_D0164_UU,Lasker18Sc135_17_D0173_UU,Lasker18Sc135_19_D0174_UU,Lasker18Sc145_3_D0219_UU,Lasker18Sc145_5_D0220_UU,Lasker18Sc145_17_D0224_UU,Lasker18Sc145_19_D0225_UU,Lasker18Sc150_3_D0229_UU,Lasker18Sc150_5_D0230_UU,Lasker18Sc150_17_D0234_UU,Lasker18Sc150_19_D0235_UU,Lasker18Sc151_3_D0240_UU,Lasker18Sc151_5_D0241_UU,Lasker18Sc151_17_D0245_UU,Lasker18Sc151_19_D0246_UU,Lasker18Sc153_3_D0250_UU,Lasker18Sc153_5_D0251_UU,Lasker18Sc153_17_D0255_UU,Lasker18Sc153_19_D0256_UU,Lasker18Sc154_3_D0260_UU,Lasker18Sc154_5_D0261_UU,Lasker18Sc154_17_D0265_UU,Lasker18Sc154_19_D0266_UU,Lasker18Sc158_3_D0270_UU,Lasker18Sc158_5_D0271_UU,Lasker18Sc158_17_D0275_UU,Lasker18Sc158_19_D0276_UU
ASV_25,96,0,2,1,0,0,467,748,1,0,4,3,1,0,1305,0,0,3602,6139,0,3,0,0,0,1,0,429,0,0,107,4,0,0,42,485,0,0,2,1,0,0,95,80,0,0,0,0,12,2,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0
ASV_26,4,4,0,3,1,6,4760,5,0,3,0,0,2,7,0,4,7,0,0,0,0,3,1,10,0,0,1,29,24,1,1,23,15,0,0,1,0,3,4,2,2,0,0,1,8,5,8,1681,0,8,8,2,12,12,8,0,3,7,6,6,2,18,13,1,2,14,14,4681,8261
ASV_27,10,22,7,0,115,106,16,13,2,1,4,1,17,17,9,17,21,11,16,0,4,7,8,1,10,5,8,177,157,54,63,183,140,3520,2676,885,565,23218,34084,3380,2358,3906,4296,160,158,889,370,3309,6247,2649,2348,14346,8493,116,58,1147,1363,597,606,2319,3837,179,149,12594,13883,917,1578,10658,6444
ASV_28,335,594,182,567,351,289,509,10,24,1,1,44,203,108,3,126,156,0,4,1368,760,55,8,250,6028,29,16,5754,5691,12,1,906,899,1,0,1128,173,5,0,46,31,3,10,0,0,169,92,3,0,127,116,431,81,2599,910,5,11,2944,4033,3,2,1554,1721,289,399,534,765,34,14
ASV_29,157,53,383,714,435,285,9,14,154,210,4079,4729,50,85,430,60,68,250,625,106,109,1559,2687,317,321,819,886,250,293,60,35,173,126,45,21,210,183,14,9,177,155,42,46,88,73,121,36,58,50,496,299,78,99,115,56,57,36,419,482,33,37,96,74,58,86,359,556,136,66
ASV_30,60,256,118,38,127,105,58,1494,16,19,12,21,42,89,0,22,229,0,1,177,200,3,4,507,1050,3587,29,9,13,0,0,8,6,0,0,28,5,0,0,0,3,0,0,0,0,8,3,0,1,25,64,6,0,27,11,5,2,51,13,0,0,10,2,11,8,3,2,0,1
ASV_31,0,2,0,72,6,2,42,38,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,10,38,7,0,0,2,73,8,0,50,118,84,10,83,5,7,12,21,76,90,17,11,28,104,4,9,27,2,402,123,22,0,42,58,31,7,38,23,0,1,110,274,0,6,110,121
ASV_32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
ASV_33,0,0,2,0,2,11,8,7,32,16,9,6,2,3,20,0,4,9,70,5,6,25,67,22,59,45,53,14,13,31,7,7,12,38,19,4,1,0,0,13,5,8,6,1,2,1,3,0,0,7,12,8,8,0,0,0,3,7,10,2,4,6,5,8,49,11,21,12,16
ASV_34,8,5,64,64,195,250,4,1,1,2,5,13,0,0,0,0,2,1,0,4,0,1,0,4,1,3,3,267,354,119,186,83,80,653,551,593,461,1089,1947,978,1078,1370,1925,306,271,904,371,3729,5867,1626,1608,1219,649,212,126,900,933,1549,1720,653,1562,150,139,1182,1327,2941,2552,1003,500
