,Lasker18Sc122_3_D0052_UU,Lasker18Sc122_5_D0053_UU,Lasker18Sc122_17_D0057_UU,Lasker18Sc122_19_D0058_UU,Lasker18Sc123_3_D0063_UU,Lasker18Sc123_5_D0064_UU,Lasker18Sc123_17_D0068_UU,Lasker18Sc123_19_D0069_UU,Lasker18Sc124_3_D0073_UU,Lasker18Sc124_5_D0074_UU,Lasker18Sc124_17_D0078_UU,Lasker18Sc124_19_D0079_UU,Lasker18Sc126_3_D0085_UU,Lasker18Sc126_5_D0086_UU,Lasker18Sc126_17_D0090_UU,Lasker18Sc127_3_D0095_UU,Lasker18Sc127_5_D0096_UU,Lasker18Sc127_17_D0100_UU,Lasker18Sc127_19_D0101_UU,Lasker18Sc128_3_D0105_UU,Lasker18Sc128_7_D0107_UU,Lasker18Sc128_16_D0110_UU,Lasker18Sc128_19_D0111_UU,Lasker18Sc129_3_D0116_UU,Lasker18Sc129_5_D0117_UU,Lasker18Sc129_17_D0121_UU,Lasker18Sc129_19_D0122_UU,Lasker18Sc130_3_D0127_UU,Lasker18Sc130_5_D0128_UU,Lasker18Sc130_17_D0132_UU,Lasker18Sc130_19_D0133_UU,Lasker18Sc132_3_D0137_UU,Lasker18Sc132_5_D0138_UU,Lasker18Sc132_17_D0142_UU,Lasker18Sc132_19_D0143_UU,Lasker18Sc133_3_D0147_UU,Lasker18Sc133_5_D0148_UU,Lasker18Sc133_17_D0152_UU,Lasker18Sc133_19_D0153_UU,Lasker18Sc134_3_D0158_UU,Lasker18Sc134_5_D0159_UU,Lasker18Sc134_17_D0163_UU,Lasker18Sc134_19_D0164_UU,Lasker18Sc135_17_D0173_UU,Lasker18Sc135_19_D0174_UU,Lasker18Sc145_3_D0219_UU,Lasker18Sc145_5_D0220_UU,Lasker18Sc145_17_D0224_UU,Lasker18Sc145_19_D0225_UU,Lasker18Sc150_3_D0229_UU,Lasker18Sc150_5_D0230_UU,Lasker18Sc150_17_D0234_UU,Lasker18Sc150_19_D0235_UU,Lasker18Sc151_3_D0240_UU,Lasker18Sc151_5_D0241_UU,Lasker18Sc151_17_D0245_UU,Lasker18Sc151_19_D0246_UU,Lasker18Sc153_3_D0250_UU,Lasker18Sc153_5_D0251_UU,Lasker18Sc153_17_D0255_UU,Lasker18Sc153_19_D0256_UU,Lasker18Sc154_3_D0260_UU,Lasker18Sc154_5_D0261_UU,Lasker18Sc154_17_D0265_UU,Lasker18Sc154_19_D0266_UU,Lasker18Sc158_3_D0270_UU,Lasker18Sc158_5_D0271_UU,Lasker18Sc158_17_D0275_UU,Lasker18Sc158_19_D0276_UU
ASV_714,1,5,44,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,117,168,0,0,1,1,0,1,0,0,2,0,2,2,206,133,0,1,9,18,7,3,583,334,5,3,372,616,1,5,165,129,2,0,248,286,11,25,345,213
ASV_715,0,2,24,17,12,9,0,1,5,2,94,71,9,0,6,1,3,2,5,3,6,33,54,4,4,34,38,0,0,26,9,1,3,38,34,0,0,3,0,2,1,3,3,2,11,2,1,0,0,0,13,292,137,3,3,28,30,3,6,16,0,0,0,91,125,2,19,152,95
ASV_716,11,17,26,21,0,0,0,0,0,1,13,6,3,0,1,1,1,0,0,0,0,5,7,2,0,8,3,10,9,0,0,4,1,3,7,40,31,0,5,106,75,9,8,0,0,22,20,0,0,52,29,0,0,1,0,0,0,12,7,0,2,0,3,2,2,51,43,0,0
ASV_717,16,17,0,0,328,247,1,0,36,58,0,0,39,13,0,18,28,0,1,1,2,0,0,68,74,2,0,85,142,0,0,134,88,2,2,138,83,2,1,62,53,3,0,0,0,277,85,0,0,191,150,3,2,274,93,0,0,116,142,0,0,143,132,0,5,187,135,1,2
ASV_718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,0,0,0,1,0,0,20,1,2
ASV_719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,10,1,20,9,4,14,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0
ASV_721,0,0,0,0,0,0,0,3,0,0,1,0,0,0,16,0,0,10,170,2,0,0,2,0,6,3028,2412,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_722,15,3,1,0,91,85,189,343,2,2,0,0,0,2,6,0,1,2,9,0,0,0,1,8,13,6,20,0,0,0,1,2,1,208,209,8,1,194,346,5,0,434,829,0,0,0,0,0,1,8,0,5,0,0,0,2,0,0,0,0,5,0,0,20,33,0,10,5,5
ASV_724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,2,0,2737,4,0,0,1005,0,222,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,69,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_725,9,2,6,1,5,8,0,2,6,4,3,3,1,5,10,5,9,2,41,0,13,7,23,8,45,90,149,1,0,46,8,0,0,48,34,23,0,0,1,3,0,65,28,1,3,17,1,0,0,3,0,0,0,0,0,0,0,22,48,0,0,0,26,2,16,0,11,0,6
ASV_726,0,0,0,0,5,11,0,0,0,0,0,0,2,2,0,5,5,0,0,0,1,0,0,0,0,0,0,3,16,0,0,9,10,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,5,6,0,0,52,27,0,0,2,16,0,0,12,26,0,0,3,5,0,0
ASV_727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0
ASV_728,0,4,0,1,12,6,0,0,3,6,0,0,2,1,1,2,0,0,0,0,1,2,6,1,1,0,0,5,0,0,0,2,1,4,5,1,4,0,0,16,14,28,9,0,0,4,0,0,0,1,2,1,0,10,0,0,1,3,0,0,0,5,1,2,0,4,0,0,0
ASV_730,26,38,0,0,1687,1824,3,0,8,14,0,0,197,178,1,201,249,0,0,17,32,1,0,29,70,0,0,63,101,0,0,57,75,0,0,63,81,0,0,13,3,0,0,0,0,114,53,0,0,86,64,0,0,91,28,0,0,64,81,1,0,68,57,0,0,55,31,0,0
ASV_732,6,29,0,0,556,559,1,0,0,1,0,0,10,3,0,0,11,0,0,0,0,0,0,30,40,0,0,41,15,0,0,9,10,0,0,31,18,0,0,31,27,0,0,0,0,130,34,0,0,92,65,0,0,30,7,0,0,27,43,0,1,26,28,0,0,115,98,1,0
ASV_733,1,9,2,0,6,7,0,0,0,0,3,1,3,1,1,3,3,0,0,0,2,2,5,3,3,4,2,16,25,1,0,7,5,0,7,8,6,0,0,28,12,2,0,0,0,18,7,0,0,17,29,0,2,12,1,0,3,29,20,0,2,10,5,0,0,33,37,0,0
ASV_735,16,21,0,1,3,5,0,0,65,116,7,44,37,23,0,28,12,0,0,42,34,0,0,4,10,1,5,26,11,2,0,13,17,0,0,10,5,0,0,1,2,0,0,0,0,22,7,0,0,2,8,0,0,0,4,1,0,0,1,0,0,8,23,0,0,5,10,0,0
ASV_736,0,3,0,0,2,0,0,0,56,110,0,0,2,0,0,13,3,0,0,21,34,0,0,111,101,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
ASV_737,0,0,4,0,1,0,0,0,0,1,2,0,0,0,6,0,0,2,10,0,0,0,3,0,0,12,5,0,0,1,0,1,2,36,47,1,2,7,8,23,27,41,10,0,0,0,0,0,0,2,1,3,0,1,0,2,4,0,3,3,5,0,0,1,0,4,28,6,6
ASV_738,2,10,0,4,2,11,0,0,10,7,1,0,39,14,0,23,30,0,0,12,8,3,6,60,20,6,1,13,2,0,0,3,0,0,0,7,6,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0
ASV_739,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,140,0,0,0,0,0,0,1,0,0,0,20,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
ASV_740,7,21,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,131,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0
ASV_741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
ASV_742,11,11,0,0,104,117,1,0,8,19,3,0,62,43,0,36,56,1,0,5,18,0,0,2,5,0,0,167,199,1,0,98,32,0,0,63,59,0,0,13,8,0,0,0,0,133,53,0,0,94,73,0,0,62,32,0,0,84,56,0,0,69,83,0,0,104,62,0,0
ASV_745,1,3,0,1,2,9,3,1,3,8,102,68,7,10,8,30,19,5,9,4,18,36,70,27,46,80,117,17,7,75,46,10,7,60,63,6,4,0,0,41,26,15,22,5,9,8,7,1,1,22,28,1,3,17,4,18,12,52,55,9,1,4,16,6,37,67,76,20,6
ASV_746,22,8,1,0,17,16,0,0,12,7,1,1,6,4,0,1,1,0,0,0,0,0,0,15,17,0,0,87,65,0,0,36,27,0,0,2,8,0,0,13,3,0,0,0,0,19,5,0,0,45,40,0,0,36,27,2,0,48,69,0,0,15,28,0,0,32,22,0,0
ASV_748,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,12,0,0,0,0,0,1,1,0,0,0,0
ASV_749,0,0,0,0,0,0,0,0,0,0,0,2,0,0,63,0,0,0,1,0,0,13,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_750,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_751,1,0,0,1,5,5,0,0,3,11,296,232,0,0,304,0,0,142,369,3,3,170,417,20,6,132,394,2,23,26,2,13,1,3,10,30,62,10,3,1,21,8,14,2,5,21,16,8,10,11,2,0,40,20,2,13,0,23,13,0,4,47,22,2,1,3,30,0,5
ASV_752,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,179,0,1,71,95,13,37,0,0,0,0,0,0,267,243,0,0,33,86,1,13,49,90,0,0,24,167,0,0,68,97,79,1,418,935,79,53,592,241
ASV_753,15,29,10,9,7,5,4,0,1,2,7,9,0,2,2,14,6,0,8,5,5,31,66,16,29,56,36,16,13,45,8,4,7,44,37,6,8,0,0,38,12,2,0,15,16,4,2,0,0,31,26,3,6,10,11,7,33,31,44,10,0,15,8,4,19,48,72,11,5
ASV_754,0,1,18,5,0,7,5,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,17,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_756,6,5,51,70,5,4,0,0,0,0,56,40,0,0,21,0,2,1,1,1,2,17,24,4,9,22,12,3,9,9,5,4,2,29,14,21,6,2,1,50,24,3,2,0,0,13,9,0,0,27,20,4,2,12,6,0,0,19,31,0,3,9,10,6,4,35,48,0,0
ASV_757,6,2,0,2,95,76,0,0,6,11,4,3,5,6,4,2,6,1,0,2,4,5,8,0,0,0,2,6,10,0,0,8,6,0,0,18,8,0,0,2,0,0,0,0,0,6,5,0,0,20,11,6,0,10,4,0,0,6,8,0,0,3,6,2,0,0,2,0,0
ASV_758,0,0,0,0,0,0,4,3,0,0,82,39,0,0,7,0,0,0,9,6,0,42,89,0,3,83,152,0,0,33,8,0,0,73,81,0,4,5,3,20,16,65,101,5,11,28,0,0,0,21,0,70,32,0,7,7,8,0,19,50,2,1,0,23,158,0,58,55,73
ASV_759,43,14,0,0,53,42,0,1,78,203,62,31,65,3,0,31,49,0,1,41,46,9,14,22,59,18,20,53,34,0,0,83,47,0,1,13,52,1,0,6,18,1,0,0,0,78,26,0,0,25,27,0,0,50,32,0,0,62,67,0,0,111,93,1,0,87,99,3,0
ASV_760,0,0,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,4,0,0,0,0,0,0,0,0,0,3,7,0,0,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
ASV_761,0,0,610,534,0,0,0,0,0,0,88,73,0,0,4,0,0,0,2,0,1,29,43,0,0,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_762,1,0,0,1,0,3,0,3,0,1,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,2,0,0,6,0,1,0,6,7,0,0,2,0,5,1,1,0,1,0,0,0,0,0,0,7,10,24,0,0,1,9,7,0,0,3,0,3,3,8,4,5,12,7
ASV_763,4,3,107,105,15,29,2,0,17,11,0,0,14,17,74,9,23,5,39,6,6,5,27,11,20,28,41,13,8,4,0,22,7,9,5,32,33,2,1,37,28,10,4,0,0,73,30,0,2,39,59,1,0,32,11,0,0,27,54,0,4,46,29,2,2,44,43,1,0
ASV_764,0,0,1,9,0,0,0,0,0,0,28,51,0,0,5,0,0,14,10,0,0,12,32,0,13,1,20,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,15,6,0,0,1,0,0,0,0,0,0,0,2,21,0,0,6,9
ASV_765,0,0,8,8,0,2,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,6,1,0,0,78,81,0,0,5,11,16,14,451,168,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,1,1,2,0
ASV_766,0,0,23,38,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,10,9,21,5,2,3,10,0,2,0,13,19,6,0,2,6,48,20,13,2,0,0,8,1,0,0,10,8,3,2,4,0,0,0,15,3,2,1,3,0,5,4,9,23,3,0
ASV_767,163,222,0,1,14,16,0,0,52,70,0,2,157,105,0,160,211,0,0,209,268,1,0,1,0,12,0,2,2,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,5,0,0,2,0,0,0,4,0,2,0,11,2,0,0
ASV_768,0,0,0,0,0,0,0,0,0,0,370,469,0,0,0,0,0,0,15,0,0,24,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_769,7,8,13,61,1,0,0,0,0,0,4,6,1,0,8,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
ASV_770,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,12,0,0,37,53,0,0,0,0,0,0,7,12,0,0,0,0,24,46,3,0,483,626,0,0,58,40,2,0,8,27,0,0,790,1041,42,2,706,535
ASV_773,32,69,7,8,28,12,0,1,20,14,18,3,20,22,0,22,42,0,0,22,21,0,0,1,7,0,0,38,23,1,1,30,17,0,1,32,31,0,0,0,1,0,1,0,0,29,9,0,0,13,2,0,0,13,7,0,0,8,11,0,0,12,39,0,3,13,37,0,0
ASV_774,0,2,94,148,0,0,3,1,2,0,97,85,0,1,0,0,0,0,0,0,0,7,16,1,0,20,16,0,2,4,0,0,0,5,10,1,1,3,1,2,4,15,8,0,0,4,0,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,0
ASV_775,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,5,0,0,1
ASV_777,0,0,17,51,0,0,0,0,0,0,16,21,0,0,5,0,0,0,5,0,0,31,32,0,0,22,16,0,0,17,5,2,0,22,21,0,0,0,0,21,9,10,3,0,0,0,0,0,0,2,0,8,3,0,0,5,0,0,2,2,2,3,0,5,2,5,9,6,3
ASV_778,16,6,6,7,1,11,0,0,8,14,1,6,0,0,0,1,0,0,0,0,0,5,8,4,7,1,3,0,6,0,0,0,2,0,0,4,6,0,2,3,12,2,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0
ASV_779,0,0,0,0,1,14,28,9,0,0,0,0,7,0,10,10,1,0,1,0,0,14,0,13,19,23,40,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_780,0,0,5,2,1,0,0,0,0,1,7,0,2,3,0,0,0,0,1,2,0,8,11,2,7,0,2,7,7,0,0,5,7,0,0,5,4,0,0,0,0,1,0,0,0,7,5,0,0,3,4,0,0,10,2,0,0,15,8,0,0,12,18,0,0,3,5,0,2
ASV_782,4,14,6,9,13,3,0,0,9,37,1,4,8,12,0,6,6,2,0,28,35,8,13,5,6,10,13,23,8,3,0,4,1,6,0,14,22,0,0,18,16,8,4,0,1,17,8,0,0,34,7,0,0,1,9,0,0,8,12,0,0,3,10,0,0,10,3,0,0
ASV_783,1,6,11,12,27,21,0,0,4,2,7,5,3,6,0,6,9,0,0,4,1,4,12,0,0,3,2,27,13,0,0,17,5,0,0,17,9,0,0,3,4,0,0,1,0,93,29,0,0,47,44,0,0,42,32,0,0,20,39,0,0,48,36,0,0,53,54,0,0
ASV_784,0,0,0,0,8,5,0,0,3,7,0,0,4,11,0,2,10,0,0,19,11,0,0,3,0,0,0,8,3,0,0,6,5,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,25,15,0,0,1,1,0,0,19,21,0,0,2,2,0,0
ASV_785,2,0,8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,12,119,54,1,0,92,84,1,0,7,15,182,132,74,107,83,97,0,0,1,7,30,33,78,44,1,0,23,62,19,19,24,5,18,19,32,104,0,21,38,39
ASV_786,14,16,0,0,29,18,0,0,11,5,0,0,19,7,0,14,30,0,0,34,39,0,0,0,0,0,0,27,16,0,0,21,15,0,0,19,11,0,0,2,0,0,0,0,0,41,4,0,0,14,16,0,0,72,19,0,0,21,8,0,0,63,36,0,0,6,13,0,0
ASV_788,23,14,2,6,39,40,0,0,11,12,0,1,50,26,0,26,21,0,0,10,10,0,0,1,5,0,0,40,36,0,0,45,40,0,0,67,80,0,2,29,40,6,1,0,0,90,51,0,0,58,41,0,0,23,32,0,0,39,34,0,0,44,52,0,2,40,21,3,0
ASV_789,0,0,57,69,0,0,0,0,0,1,15,1,0,1,1,0,0,0,0,0,0,12,8,12,3,17,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
ASV_790,0,0,3,6,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,9,8,0,0,1,3,1,0,29,2,0,0,5,10,0,0,0,0,0,2,15,18,0,3,0,0,0,0,2,0,4,1,0,0,0,0,0,1,2,0,0,2,1,2,4,8,5,4
ASV_791,6,7,0,0,4,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,15,1,4,2,1,0,0,2,4,0,0,2,1,0,0,62,26,4,0,0,3,7,0,11,25,5,0,57,119,6,7,135,32,4,4,2,9,1,5,13,7
ASV_792,0,3,0,0,3,4,0,0,6,0,5,0,2,4,0,5,1,0,0,1,0,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_793,7,11,5,8,52,48,0,1,10,3,31,36,16,19,4,6,19,0,0,11,10,6,5,6,9,4,3,58,60,0,0,54,50,0,0,60,36,0,0,0,2,0,0,0,0,54,19,0,0,49,37,0,1,63,22,0,0,45,49,0,0,93,63,0,1,53,22,0,0
ASV_794,0,0,0,35,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,0,0,1,5,6,0,9,7,0,0,47,23,0,0,5,4,7,2,13,25,22,5,0,2,15,8,8,0,92,43,0,0,10,9,3,18,1,2,0,0,96,141,0,35,150,149
ASV_795,3,6,70,89,8,2,8,1,8,10,22,19,5,1,24,2,1,9,4,0,4,13,23,2,10,17,13,7,5,1,1,3,4,6,0,2,1,0,2,9,4,3,2,0,0,2,0,0,2,2,3,5,0,5,2,2,3,14,11,2,3,16,6,3,2,7,8,5,0
ASV_796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,1,4,6,0,5,6,0,0,3,1,26,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
ASV_797,0,4,6,8,25,12,0,0,0,0,0,0,7,0,0,0,4,0,3,5,1,0,0,5,13,4,0,11,9,0,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,0,0,29,9,0,0,0,5,0,0,40,25,0,0,4,3,0,0
ASV_798,2,20,0,0,3,0,5,2,7,29,0,0,22,3,15,0,15,17,17,0,0,15,3,45,42,14,13,4,7,8,3,13,1,9,4,12,29,0,1,6,3,0,8,17,9,2,0,29,40,7,6,4,3,0,2,0,0,2,0,1,0,12,15,5,20,6,0,13,11
ASV_799,2,0,4,12,0,3,2,0,0,0,13,14,0,0,4,1,0,1,4,0,1,16,22,4,0,15,14,1,1,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ASV_800,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,2,0,0,0,2,0,0,0,9,9,0,0,1,1,0,0,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1
ASV_801,0,0,31,46,118,146,1,0,0,1,0,0,7,3,2,2,5,0,5,1,2,1,0,50,40,21,10,41,50,5,5,54,23,40,18,28,23,7,3,68,107,60,29,2,0,73,26,0,0,81,67,8,2,88,33,4,5,54,47,7,4,67,80,6,18,117,131,7,1
ASV_802,44,52,0,0,550,493,4,0,20,31,1,1,330,363,1,257,276,0,0,9,11,0,0,38,41,0,0,34,60,0,0,28,11,0,0,63,61,0,0,3,9,0,0,0,0,49,14,0,0,43,10,0,0,36,24,0,0,28,13,0,0,25,43,0,0,15,15,0,0
ASV_805,83,69,13,23,0,0,0,1,187,298,156,96,6,9,3,347,636,62,55,24,47,0,3,15,4,3,6,0,2,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,9,6,0,0,0,2,0,0
ASV_806,0,1,2,2,1,2,2,10,0,0,4,0,0,0,18,0,3,7,5,0,0,10,25,2,6,8,5,0,0,16,4,0,2,15,31,0,0,0,0,0,0,20,25,11,6,0,0,14,15,0,7,35,25,0,0,72,86,0,0,68,51,0,0,129,154,0,18,309,164
ASV_808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,24,7,0,0,0,0,0,0
ASV_810,0,0,12,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,19,26,2,2,1,6,15,14,41,36,0,0,5,5,0,0,7,3,3,0,0,0,0,1,4,8,0,0,1,3,2,2,7,17,1,3
ASV_811,11,26,0,0,72,72,0,0,32,22,0,0,26,12,0,23,23,0,0,31,39,0,0,0,1,0,1,116,81,0,0,107,43,0,0,116,84,0,0,2,0,0,0,0,0,112,57,0,0,88,93,0,0,154,51,0,0,109,187,0,0,126,96,0,0,155,93,0,0
ASV_812,0,0,10,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,2,59,4,0,0,112,114,1,2,3,0,45,48,114,67,1,3,0,0,0,0,3,2,14,3,5,1,2,2,10,9,8,2,0,2,28,31,7,49,20,12
ASV_813,4,8,4,2,7,6,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,117,94,0,0,49,46,9,0,43,32,1,2,112,63,1,4,0,0,79,28,0,0,98,121,0,0,47,42,0,0,101,97,0,0,16,38,2,4,184,124,5,1
ASV_814,12,34,0,0,30,8,0,0,3,2,0,0,9,1,0,9,0,0,0,39,14,0,0,0,0,0,0,36,27,0,0,7,4,0,0,69,7,0,0,0,0,0,0,0,0,58,13,0,0,0,11,0,0,72,43,0,0,0,1,0,0,77,69,0,0,10,0,0,0
ASV_815,4,0,27,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,1,0,4,0,12,12,0,0,17,9,1,0,0,0,12,5,0,0,16,13,0,0,2,0,0,0,10,15,3,0,2,2,0,2,42,29,0,0
ASV_817,78,94,3,0,9,3,3,0,29,52,0,1,69,41,0,79,117,0,0,122,141,1,2,1,5,0,0,23,27,0,1,54,32,0,0,33,13,0,0,3,0,0,0,0,0,23,3,0,0,25,17,0,0,45,10,0,0,33,23,0,0,56,76,0,0,11,4,0,0
ASV_818,0,0,0,0,11,19,1,0,264,562,0,0,13,0,0,3,0,0,0,125,67,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,56,0,0,0,0,0,0
ASV_819,0,0,0,0,7,0,0,0,12,50,0,0,5,3,0,2,11,1,0,26,13,0,0,6,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
ASV_820,0,0,126,130,0,3,0,0,1,0,0,1,0,0,57,0,0,2,5,2,0,31,75,1,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
