ASV ID	CN19_Buck1_SN_0m_1	CN19_Buck1_SN_0m_2	CN19_Buck2_SN_0m_1	CN19_Buck2_SN_0m_2	CN19_Buck3_SN_0m_1	CN19_Buck3_SN_0m_2	CN19_Buck4_SM_Night_0m_1	CN19_Buck4_SM_Night_0m_2	CN19_Buck5_0m_1	CN19_Buck5_0m_2	CN19_Buck6_Dav_Night_0m_1	CN19_Buck6_Dav_Night_0m_2	CN19_Nisk_Dav_Dawn_100m_1	CN19_Nisk_Dav_Dawn_100m_2	CN19_Nisk_Dav_Dawn_100m_3	CN19_Nisk_Dav_Dawn_27m_1	CN19_Nisk_Dav_Dawn_27m_2	CN19_Nisk_Dav_Dawn_5m_1	CN19_Nisk_Dav_Dawn_5m_2	CN19_Nisk_Dav_Dusk_13m_1	CN19_Nisk_Dav_Dusk_13m_3	CN19_Nisk_Dav_Dusk_5m_1	CN19_Nisk_Dav_Dusk_5m_2	CN19_Nisk_Dav_Dusk_70m_1	CN19_Nisk_Dav_Dusk_70m_2	CN19_Nisk_Dav_Dusk_70m_3	CN19_Nisk_Dav_Predusk_12m_1	CN19_Nisk_Far_13m_1	CN19_Nisk_Far_13m_2	CN19_Nisk_Far_5m_1	CN19_Nisk_Far_5m_2	CN19_Nisk_Far_60m_1	CN19_Nisk_Far_60m_2	CN19_Nisk_Far_60m_3	CN19_Nisk_MO_Dawn_100m_1	CN19_Nisk_MO_Dawn_100m_2	CN19_Nisk_MO_Dawn_100m_3	CN19_Nisk_MO_Dawn_26m_1	CN19_Nisk_MO_Dawn_26m_2	CN19_Nisk_MO_Dawn_5m_1	CN19_Nisk_MO_Dawn_5m_2	CN19_Nisk_MO_Night_100m_1	CN19_Nisk_MO_Night_100m_2	CN19_Nisk_MO_Night_100m_3	CN19_Nisk_MO_Night_5m_1	CN19_Nisk_MO_Night_5m_2	CN19_Nisk_MO_Night_7m_1	CN19_Nisk_MO_Night_7m_2	CN19_Nisk_PB_Dawn_100m_1	CN19_Nisk_PB_Dawn_100m_2	CN19_Nisk_PB_Dawn_100m_3	CN19_Nisk_PB_Dawn_45m_1	CN19_Nisk_PB_Dawn_45m_2	CN19_Nisk_PB_Dawn_5m_1	CN19_Nisk_PB_Dawn_5m_2	CN19_Nisk_PB_Day_100m_1	CN19_Nisk_PB_Day_100m_2	CN19_Nisk_PB_Day_100m_3	CN19_Nisk_PB_Day_28m_1	CN19_Nisk_PB_Day_28m_2	CN19_Nisk_PB_Day_5m_1	CN19_Nisk_PB_Day_5m_2	CN19_Nisk_PB_Dusk_10m_1	CN19_Nisk_PB_Dusk_10m_2	CN19_Nisk_PB_Dusk_5m_1	CN19_Nisk_PB_Dusk_5m_2	CN19_Nisk_PB_Dusk_70m_1	CN19_Nisk_PB_Dusk_70m_2	CN19_Nisk_PB_Dusk_70m_3	CN19_Nisk_PB_Night_100m_2	CN19_Nisk_PB_Night_100m_3	CN19_Nisk_PB_Night_15m_1	CN19_Nisk_PB_Night_15m_2	CN19_Nisk_PB_Night_5m_1	CN19_Nisk_PB_Night_5m_2	CN19_Nisk_PS_Dawn_100m_1	CN19_Nisk_PS_Dawn_100m_2	CN19_Nisk_PS_Dawn_100m_3	CN19_Nisk_PS_Dawn_10m_1	CN19_Nisk_PS_Dawn_10m_2	CN19_Nisk_PS_Dawn_5m_1	CN19_Nisk_PS_Dawn_5m_2	CN19_Nisk_PS_Dusk_10m_1	CN19_Nisk_PS_Dusk_10m_2	CN19_Nisk_PS_Dusk_5m_1	CN19_Nisk_PS_Dusk_5m_2	CN19_Nisk_PS_Dusk_75m_1	CN19_Nisk_PS_Dusk_75m_2	CN19_Nisk_PS_Dusk_75m_3	CN19_Nisk_SM_Dawn_100m_1	CN19_Nisk_SM_Dawn_100m_2	CN19_Nisk_SM_Dawn_100m_3	CN19_Nisk_SM_Dawn_11m_1	CN19_Nisk_SM_Dawn_11m_2	CN19_Nisk_SM_Dawn_5m_1	CN19_Nisk_SM_Day_100m_1	CN19_Nisk_SM_Day_100m_2	CN19_Nisk_SM_Day_100m_3	CN19_Nisk_SM_Day_10m_1	CN19_Nisk_SM_Day_10m_2	CN19_Nisk_SM_Day_5m_1	CN19_Nisk_SM_Day_5m_2	CN19_Nisk_SM_Dusk_100m_1	CN19_Nisk_SM_Dusk_100m_2	CN19_Nisk_SM_Dusk_100m_3	CN19_Nisk_SM_Dusk_50m_1	CN19_Nisk_SM_Dusk_50m_2	CN19_Nisk_SM_Dusk_5m_1	CN19_Nisk_SM_Dusk_5m_2	CN19_Nisk_SM_Night_100m_1	CN19_Nisk_SM_Night_100m_2	CN19_Nisk_SM_Night_100m_3	CN19_Nisk_SM_Night_23m_1	CN19_Nisk_SM_Night_23m_2	CN19_Nisk_SM_Night_5m_1	CN19_Nisk_SM_Night_5m_2
205443683f14e9ce04a3a2daed156a2a	65	60	50	76	53	61	25	24	62	47	0	0	0	11	0	23	0	23	30	9	0	7	14	0	15	5	17	18	18	14	10	22	5	0	0	0	24	24	28	25	34	0	0	0	15	26	21	7	0	0	0	33	23	45	41	0	0	49	24	23	52	32	31	15	7	13	24	13	11	1	6	24	0	10	12	14	14	14	19	21	27	30	11	13	12	10	19	4	28	0	23	22	10	22	37	9	16	0	14	21	12	12	21	5	14	18	20	23	36	26	24	41	54	43	38	43
cab940fb8ba46f73b8a6de93c09f9237	37	31	0	19	18	11	15	0	9	25	16	30	0	0	0	17	24	12	14	26	39	30	0	0	0	0	16	0	53	0	0	0	0	0	0	0	0	20	0	27	10	0	0	0	23	0	0	7	213	0	0	0	0	19	0	0	126	0	14	9	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	30	12	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	25	364	26	81	0	0	0	27	0	0	18	0	0	0	0	22	0	122
e22dba4f52af2c9138ecd9d4399fef23	21	35	28	6	0	14	27	24	0	0	0	0	0	0	0	0	0	105	114	150	0	0	0	0	0	0	0	52	0	0	74	0	0	0	0	0	0	339	233	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	12	31	25	23	20	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	21	37	79	0	0	0	0	0	41	0	18	24	0	0	0	7	7	0	19	0	0	65	4	20	34	24	0	0	0	16	0	19	26
2f8d5df99e8bfc74de556e895d94c9dc	37	21	106	24	21	9	16	0	11	14	11	11	0	0	0	22	17	10	17	30	23	33	0	0	0	0	21	0	52	0	0	0	0	0	0	0	0	30	0	13	10	0	0	0	62	0	0	11	0	0	0	0	0	18	0	0	0	0	15	11	9	11	0	0	0	195	0	0	0	0	0	0	115	173	0	0	0	0	20	0	28	11	0	0	82	163	0	0	0	0	0	0	16	0	0	0	0	0	21	0	21	27	0	0	0	31	0	0	6	0	0	0	77	35	0	0
1557cf3992a51d4f37d20989939c42b6	18	32	20	13	0	27	15	10	0	0	0	0	0	0	0	0	0	155	50	53	0	0	0	0	0	0	0	92	123	0	34	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	172	0	0	0	0	205	0	0	0	0	0	0	0	0	0	222	9	8	21	21	20	0	111	0	0	0	0	7	371	0	0	0	0	0	0	0	58	19	54	20	0	0	0	0	0	30	0	18	11	0	0	0	22	25	0	12	0	0	0	13	12	35	15	0	0	0	23	0	19	20
a5c6ec83d0910789c61cb198707e61d2	23	19	20	39	13	15	35	22	0	0	16	0	0	0	0	13	0	17	25	25	62	13	24	0	16	13	0	15	13	7	24	135	0	0	0	0	0	27	0	16	18	0	0	0	29	33	13	17	0	0	0	0	0	0	0	0	0	0	11	20	0	0	41	42	35	37	37	21	18	16	18	29	19	26	19	0	0	0	17	18	14	14	24	34	26	16	0	38	30	0	0	16	34	35	40	78	8	16	26	27	20	24	0	0	0	20	17	30	31	15	37	26	16	14	16	17
1140839029b3a19d69ccf957a2cfbf4a	38	27	0	26	0	12	43	32	0	0	10	26	0	0	0	0	19	0	0	15	0	12	8	0	0	0	0	22	49	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13	11	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	26	44	24	89	0	0	0	0	22	23	8	10	0	0	0	0	0	46	27	0	58	10	0	0	0	0	0	0	21	11	12	20	0	0	0	38	19	29	16	0	0	0	31	21	14	16	0	0	0	42	22	29	0
bd721d71df4b79e2d5b5796ede42af6e	50	12	65	22	18	16	14	0	14	8	16	28	0	0	0	22	20	5	22	31	29	34	0	0	0	0	16	0	0	0	0	0	0	0	401	0	0	13	0	9	6	0	0	0	43	0	0	10	0	0	0	0	0	33	0	0	0	0	17	17	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	39	11	0	0	65	0	0	0	0	0	0	0	103	0	0	0	0	0	33	55	26	94	0	0	0	41	0	0	21	0	0	0	41	34	0	41
344f2cb03f991dc4bb57e131416e7e62	26	29	9	33	7	19	41	29	0	0	6	0	0	0	0	52	147	15	20	12	0	21	30	88	14	13	0	13	25	7	21	0	0	0	0	0	0	16	0	14	14	0	0	0	29	23	11	17	0	0	0	0	0	0	0	0	0	0	16	21	0	0	41	38	32	41	41	23	17	11	23	39	7	31	22	0	0	0	16	11	8	18	19	34	26	15	0	22	59	0	0	20	29	23	38	0	12	52	20	21	33	23	0	0	0	14	35	23	34	13	36	19	16	9	11	17
35708a0fe011e11667dba196a39d95c0	26	21	12	36	18	20	45	31	0	0	12	0	0	0	0	0	0	13	21	16	0	11	26	9	28	5	0	18	18	15	14	0	41	0	0	0	0	9	20	13	22	0	0	0	20	40	18	26	0	0	0	0	0	0	0	0	0	0	33	33	0	171	40	39	40	32	57	24	25	23	11	31	20	29	28	0	0	0	18	13	10	20	22	37	21	19	33	0	0	0	0	20	33	38	42	0	10	0	18	24	28	27	0	0	0	20	22	22	31	21	19	6	16	17	23	18
ac6addc18165e6f3f766568c4742f0a7	0	17	24	0	31	33	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	237	0	0	73	0	0	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	222	0	0	0	0	0	173	0	0	0	0	0	204	0	0	4	17	12	8	20	0	0	0	0	0	0	0	0	0	0	0	157	0	54	0	0	19	0	0	0	0	0	0	0	28	65	17	18	0	0	0	11	14	0	12	0	0	0	9	19	19	22	0	0	0	24	40	12	19
ff3e4e0c82a0f0248e673548ebe726b3	0	0	0	4	0	58	54	0	0	0	0	0	27	21	30	64	0	0	0	0	0	0	0	0	37	23	0	0	48	0	83	43	21	18	0	17	11	0	0	0	0	6	0	23	0	0	95	0	9	0	70	0	0	0	151	45	15	14	0	0	0	0	31	67	0	9	29	0	0	20	26	0	0	0	0	27	18	41	0	0	0	0	0	0	0	71	11	10	0	29	20	61	0	0	0	20	25	17	0	122	0	0	17	45	13	0	94	0	0	62	17	20	0	0	0	0
4fc67da4199d4ec60b301dd9217fa503	17	0	0	15	33	27	29	19	0	0	24	12	0	0	0	0	17	0	26	17	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	209	10	6	21	41	50	0	0	257	0	7	11	11	17	0	0	0	25	57	24	20	35	0	24	85	0	0	0	0	0	16	6	5	12	0	0	0	28	26	21	33	0	0	0	21	23	17	29	0	0	0	27	18	58	0
30d4e3a18edea015eba09aadcca61295	43	23	27	55	29	36	16	0	38	22	0	0	0	0	0	16	0	8	10	0	0	0	0	0	130	0	36	6	11	37	13	0	0	0	0	0	0	22	14	10	9	0	0	0	0	265	0	0	0	0	0	36	37	32	22	0	0	0	9	15	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	15	5	0	113	0	0	0	0	0	0	0	0	0	70	0	0	0	0	87	11	47	0	0	0	0	0	7	7	16	0	0	0	32	33	27	36
e5b7ae421dcfd6967ae90851feaa288c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	625	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68557f46192aacbfe9313ed9e2b01d53	35	25	22	35	23	28	30	0	54	22	0	0	0	0	0	20	0	5	6	0	0	0	148	0	0	0	21	0	10	11	0	0	0	0	0	0	0	15	13	11	10	0	0	0	0	0	0	0	0	0	0	32	24	17	19	0	0	0	7	15	17	27	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	10	3	0	0	0	0	0	204	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	14	7	14	0	0	0	26	20	20	26
626c38d792aaad8138039c09c1128ff8	30	23	15	30	23	37	18	50	50	29	0	0	0	0	0	14	0	8	14	0	0	0	0	0	0	0	21	22	16	0	20	0	0	0	0	0	0	13	19	15	21	0	0	0	0	0	0	161	0	0	0	37	37	20	37	0	0	0	13	17	17	29	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	16	15	19	8	0	0	92	0	0	0	0	0	0	0	0	0	37	0	0	0	0	41	0	0	0	0	0	0	9	9	13	0	0	0	32	19	23	30
6719765b30a30b6d4372c856b865f4d5	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	65	0	0	0	0	0	0	0	220	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	223	0	117	24	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0
530ce12cdb2f4174908f0fda69046f00	99	0	0	15	75	28	43	79	17	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	13	0	0	0	213	0	37	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	36	42	0	0	0	67	0	0	0	0	0	0	0	0	0	41	72	67	0	0	0	0	0	0	0	33	97	0	0	0	0	0	0	131	0	0	0	0	0	23	0	0	0	0	0	0	38	27	24
