,CN18Sc09_2_eDNA_Z,CN18Sc10_2_eDNA_Z,CN18Sc14_2_eDNA_Z,CN18Sc14_8_eDNA_Z,CN18Sc15_2_eDNA_Z,CN18Sc15_8_eDNA_Z,CN18Sc18_2_eDNA_Z,CN18Sc18_8_eDNA_Z,CN18Sc27_2_eDNA_Z,CN18Sc27_8_eDNA_Z,CN18SESPkoa_SC49_Z,CN18SESPkoa_SC47_Z,CN18SESPkoa_SC45_Z,CN18SESPkoa_SC44_Z,CN18SESPkoa_SC42_Z,CN18SESPkoa_SC41_Z,CN18SESPkoa_SC40_Z,CN18SESPkoa_SC39_Z,CN18SESPkoa_SC37_Z,CN18SESPkoa_SC36_Z,CN18Fc12_8_eDNA_HH,CN18Fc30_4_eDNA_HH,CN18Fc43_5_eDNA_HH,CN18Fc19_5_eDNA_HH,CN18Fc32_4_eDNA_HH,CN18Fc44_8_eDNA_HH,CN18Fc21_6_eDNA_HH,CN18Fc33_5_eDNA_HH,CN18Fc46_8_eDNA_HH,CN18Fc22_6_eDNA_HH,CN18Fc47_6_eDNA_HH,CN18Fc24_6_eDNA_HH,CN18Fc36_6_eDNA_HH,CN18Fc49_6_eDNA_HH,CN18Fc25_5_eDNA_HH,CN18Fc38_5_eDNA_HH,CN18Fc51_5_eDNA_HH,CN18Fc27_4_eDNA_HH,CN18Fc40_6_eDNA_HH,CN18Fc29_6_eDNA_HH,CN18Fc41_6_eDNA_HH,CN18Sc09_2_eDNA_AA,CN18Sc10_2_eDNA_AA,CN18Sc14_2_eDNA_AA,CN18Sc14_8_eDNA_AA,CN18Sc15_2_eDNA_AA,CN18Sc15_8_eDNA_AA,CN18Sc18_2_eDNA_AA,CN18Sc18_8_eDNA_AA,CN18Sc27_2_eDNA_AA,CN18Sc27_8_eDNA_AA,CN18SESPkoa_SC49_AA,CN18SESPkoa_SC47_AA,CN18SESPkoa_SC45_AA,CN18SESPkoa_SC44_AA,CN18SESPkoa_SC42_AA,CN18SESPkoa_SC41_AA,CN18SESPkoa_SC40_AA,CN18SESPkoa_SC39_AA,CN18SESPkoa_SC37_AA,CN18SESPkoa_SC36_AA,CN18FESPkoa_SC58_CC,CN18FESPkoa_SC57_CC,CN18FESPkoa_SC56_CC,CN18FESPkoa_SC55_CC,CN18FESPkoa_SC53_CC,CN18FESPkoa_SC52_CC,CN18FESPkoa_SC49_CC,CN18FESPkoa_SC47_CC,CN18FESPkoa_SC46_CC,CN18FESPkoa_SC44_CC,CN18FESPkoa_SC43_CC,CN18FESPkoa_SC41_CC,CN18FESPkoa_SC40_CC,CN18FESPkoa_SC37_CC,CN18FESPkoa_SC34_CC,CN18FESPkoa_SC32_CC,CN18FESPkoa_SC31_CC,CN18FESPkoa_SC30_CC,CN18FESPkoa_SC29_CC,CN18FESPkoa_SC26_CC,CN18FESPkoa_SC24_CC
ASV_1,0,0,2,2,3,3191,1,0,1,1360,0,0,1,7,0,13,0,23,0,0,70,942,6,4,298,214,6,17,5868,5,9713,675,23758,9228,4,826,1297,11,5,4,1282,2,0,4,0,1,2666,0,1,1,984,0,0,0,10,0,7,0,14,0,3,5,5,0,8,0,3,2,1,1,6,193,10,54,3,1,4,5,4,2,68,78
ASV_2,2,1,4,1,2,0,3,0,1,1,0,0,0,2,0,0,0,1,0,1,0,3,115,9,0,3,4,2749,2,4,7,4,13,4,3,4,3,6,5476,13,5942,0,0,3,1,0,2,1,1,1,0,0,0,1,2,1,0,0,1,0,3,0,0,4,3,4,1,1,3,7,3,5,6,2,3478,2,3,30,4,2,0,37
ASV_3,388,303,428,504,221,874,398,116,320,430,113,141,64,1140,120,562,86,655,42,630,162,257,199,185,92,164,264,134,94,235,33,173,135,58,135,110,106,151,203,233,226,314,229,320,372,161,742,297,100,259,305,108,111,58,865,106,458,62,487,26,513,361,226,214,350,469,145,112,129,260,235,201,244,185,464,208,125,139,132,258,21,393
ASV_4,0,0,0,0,0,1,0,4,0,1,1,0,0,3,0,1,0,8,0,17,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,1,0,2,0,6,0,18,0,1,0,2,5,1,1,0,0,4,1,1,4,12,5,15,2,10,7,16,13
ASV_5,504,411,411,1158,407,1176,759,733,501,279,222,388,181,978,363,875,186,976,64,1852,2895,3169,1997,1787,1246,1513,3277,2061,2532,3606,501,2207,1231,3792,2229,1346,6430,3366,2042,4315,2644,402,330,361,874,331,883,637,480,384,212,170,312,169,742,327,694,142,788,51,1478,5511,3675,3393,2591,4208,2507,2510,1556,3140,2589,3986,2915,1508,2639,1514,1005,1460,1360,2657,932,9712
ASV_6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,19,75,11,1,73,27,685,2,519,38,1041,508,38,218,392,66,405,37,159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,191,66,132,488,684,589,10,71,237,69,346,503,9579,4835,774,307,140,5673,10409,1074,1801
ASV_7,1715,1743,1605,867,1581,165,1150,112,1549,56,640,910,755,590,513,332,769,111,201,207,489,441,668,289,241,220,489,499,155,607,115,454,316,192,509,412,249,407,415,623,448,1411,1373,1283,684,1278,129,902,97,1248,32,516,741,633,460,417,282,616,91,153,157,532,564,507,1154,428,320,234,186,841,417,461,365,291,459,287,661,496,130,118,54,269
ASV_8,0,5,7,6,2,120,5,10,2,15,13,5,3,148,2,62,2,53,2,139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,4,108,1,9,4,14,13,2,5,126,3,62,3,56,1,156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,4
ASV_9,2,1,6,441,1,890,6,726,1,122,0,0,4,9,3,25,459,242,1,110,75,2599,1761,1896,722,1158,4413,600,2062,5440,780,4237,2205,680,1981,2488,3857,828,3698,8463,6144,1,2,3,336,1,733,5,578,0,113,1,0,1,3,0,28,351,161,0,87,8,33,22,962,7,2165,4,8,4,10,280,4,2,6,49,0,278,8,10,4,61
ASV_10,5,3,5,0,1,2501,3,1578,3,1,0,0,1,0,0,0,0,1,0,3,7,19,4,13521,3199,4,3,6,3,2215,1506,23301,1538,1776,16490,3,2751,9,461,5,10,5,1,4,1,3,2091,2,1268,2,1,3,1,0,2,1,0,1,1,0,4,5,3,2,2,5,9,53,2,3035,30,8,9,0,4,3,275,4,2,0,0,4
