,CN18Sc09_2_eDNA_Z,CN18Sc10_2_eDNA_Z,CN18Sc14_2_eDNA_Z,CN18Sc14_8_eDNA_Z,CN18Sc15_2_eDNA_Z,CN18Sc15_8_eDNA_Z,CN18Sc18_2_eDNA_Z,CN18Sc18_8_eDNA_Z,CN18Sc27_2_eDNA_Z,CN18Sc27_8_eDNA_Z,CN18SESPkoa_SC49_Z,CN18SESPkoa_SC47_Z,CN18SESPkoa_SC45_Z,CN18SESPkoa_SC44_Z,CN18SESPkoa_SC42_Z,CN18SESPkoa_SC41_Z,CN18SESPkoa_SC40_Z,CN18SESPkoa_SC39_Z,CN18SESPkoa_SC37_Z,CN18SESPkoa_SC36_Z,CN18Fc12_8_eDNA_HH,CN18Fc30_4_eDNA_HH,CN18Fc43_5_eDNA_HH,CN18Fc19_5_eDNA_HH,CN18Fc32_4_eDNA_HH,CN18Fc44_8_eDNA_HH,CN18Fc21_6_eDNA_HH,CN18Fc33_5_eDNA_HH,CN18Fc46_8_eDNA_HH,CN18Fc22_6_eDNA_HH,CN18Fc47_6_eDNA_HH,CN18Fc24_6_eDNA_HH,CN18Fc36_6_eDNA_HH,CN18Fc49_6_eDNA_HH,CN18Fc25_5_eDNA_HH,CN18Fc38_5_eDNA_HH,CN18Fc51_5_eDNA_HH,CN18Fc27_4_eDNA_HH,CN18Fc40_6_eDNA_HH,CN18Fc29_6_eDNA_HH,CN18Fc41_6_eDNA_HH,CN18Sc09_2_eDNA_AA,CN18Sc10_2_eDNA_AA,CN18Sc14_2_eDNA_AA,CN18Sc14_8_eDNA_AA,CN18Sc15_2_eDNA_AA,CN18Sc15_8_eDNA_AA,CN18Sc18_2_eDNA_AA,CN18Sc18_8_eDNA_AA,CN18Sc27_2_eDNA_AA,CN18Sc27_8_eDNA_AA,CN18SESPkoa_SC49_AA,CN18SESPkoa_SC47_AA,CN18SESPkoa_SC45_AA,CN18SESPkoa_SC44_AA,CN18SESPkoa_SC42_AA,CN18SESPkoa_SC41_AA,CN18SESPkoa_SC40_AA,CN18SESPkoa_SC39_AA,CN18SESPkoa_SC37_AA,CN18SESPkoa_SC36_AA,CN18FESPkoa_SC58_CC,CN18FESPkoa_SC57_CC,CN18FESPkoa_SC56_CC,CN18FESPkoa_SC55_CC,CN18FESPkoa_SC53_CC,CN18FESPkoa_SC52_CC,CN18FESPkoa_SC49_CC,CN18FESPkoa_SC47_CC,CN18FESPkoa_SC46_CC,CN18FESPkoa_SC44_CC,CN18FESPkoa_SC43_CC,CN18FESPkoa_SC41_CC,CN18FESPkoa_SC40_CC,CN18FESPkoa_SC37_CC,CN18FESPkoa_SC34_CC,CN18FESPkoa_SC32_CC,CN18FESPkoa_SC31_CC,CN18FESPkoa_SC30_CC,CN18FESPkoa_SC29_CC,CN18FESPkoa_SC26_CC,CN18FESPkoa_SC24_CC
ASV_11,851,535,1495,356,341,8,1345,4,2366,6,575,700,447,1,498,1,804,1,230,27,0,5,8,3,0,0,2,3,3,3,1,3,5,1,2,5,3,3,5,3,5,727,443,1098,316,264,4,1010,3,1898,3,464,585,346,2,434,1,561,3,203,14,5,6,3,4,7,0,7,5,6,1,10,3,0,4,1,2,3,1,2,0,2
ASV_12,0,0,0,0,0,14,0,0,0,0,0,0,0,66,0,21,0,12,0,0,256,512,979,836,113,245,601,1819,4067,840,439,1289,941,2783,268,1200,3048,2851,2067,936,1318,0,0,0,0,0,14,0,0,0,0,0,0,0,47,0,15,0,16,0,0,2034,2850,2839,4320,10879,4686,8990,5717,5997,5581,9275,7260,5010,8138,8108,6825,2671,12898,17143,8145,15880
ASV_13,64,58,131,102,33,4593,38,177,22,608,27,82,75,2225,64,753,57,3450,9,3695,11,42,22,13,15,24,31,14,60,40,12,23,13,185,34,11,517,37,99,19,67,67,42,109,90,13,3817,26,141,19,452,20,64,46,1833,53,610,32,2707,15,3001,98,180,54,71,114,117,80,46,147,69,171,190,106,165,123,86,109,93,124,115,1220
ASV_14,18,16,76,78,13,1333,21,74,8,53,38,95,117,2695,75,630,80,4243,26,8378,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,0,2,0,0,6,0,15,6,38,60,9,1008,15,40,5,52,24,61,84,1782,47,488,35,2949,14,6090,25,18,20,11,24,17,14,15,18,18,22,6,13,19,7,6,6,5,6,1,10
ASV_15,0,0,1,4,1,2,1,2,0,1,0,0,0,1,0,2,0,4,0,7,7,8,25,30,1,34,28,49,37,21,10,54,17,63,4,15,221,88,51,35,28,0,0,0,3,0,1,0,4,0,2,0,0,0,1,0,1,0,3,0,16,19,20,8,8,34,11,10,12,29,20,26,30,13,15,12,14,24,8,16,13,132
ASV_16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,91,77,715,0,341,284,152,848,25,65,1398,524,2,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6,8,2357,3432,2212,151,245,579,2719,4591,12681,6139,479,680,1997,15637,14245,9379,11259
ASV_17,0,4,3,0,0,10,1,0,0,3,8,12,1,14,7,0,0,55,0,62,0,0,0,3,0,0,0,0,1,2,0,1,0,3,4,0,1,1,1,0,0,3,5,2,2,1,4,0,2,0,3,12,14,4,8,1,5,0,35,0,64,0,0,0,0,5,1,0,1,10,9,8,6,0,4,0,0,1,0,4,0,2
ASV_18,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,31,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_19,8,1,2,1,1,1,7,0,1,1,6,2,6,0,2,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,5,3,5,3,0,1,7,1,1,0,5,4,2,0,1,0,0,0,0,1,10,0,1,2,4,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,2
ASV_20,7,1,6,8,1,5,9,1,6,1,4,6,1,3,3,6,4,2,1,4,1,7,0,0,2,0,3,0,12,0,0,0,0,5,3,0,8,0,1,1,2,7,0,8,9,4,6,7,0,3,2,4,5,2,1,2,1,2,3,2,7,2,17,19,4,5,3,1,4,3,2,0,1,0,5,3,4,1,587,5,7,31
ASV_21,58,31,64,78,24,5260,62,25,74,1095,45,58,45,3562,65,2493,40,125,20,533,0,4,2,2,5,7,2,1,14,0,0,1,3,24,4,4,74,4,2,2,8,53,35,49,61,21,4427,54,16,55,810,42,51,33,2858,47,2113,40,89,9,441,11,12,5,10,12,5,6,4,18,14,13,20,17,9,12,32,14,9,13,26,217
ASV_23,0,0,2,1,0,88,0,13,1,28,0,1,0,57,0,9,0,104,0,131,0,0,4,1,0,1,4,1,4,2,0,4,0,5,2,2,10,6,10,2,3,0,0,4,0,0,70,0,9,0,18,0,0,0,47,0,10,0,84,0,119,3,2,1,5,7,1,0,4,14,0,16,10,2,14,4,2,2,3,4,3,22
ASV_24,0,0,9,6,4,39,3,16,359,5,0,2,2,4,2,2,1,58,1,103,15,14,127,33,2,52,51,56,71,200,45,80,432,372,5,20,193,85,69,125,58,0,0,16,1,7,25,3,8,235,7,0,3,1,4,0,0,0,53,1,64,25,18,22,58,200,87,192,61,101,73,59,64,33,54,50,57,87,199,175,122,139
ASV_25,65,41,42,129,62,38,40,36,61,16,19,18,7,16,18,15,13,16,7,102,151,198,153,90,53,211,255,157,70,237,45,135,120,38,84,96,141,330,276,252,360,62,35,44,125,47,37,27,35,63,9,13,18,12,22,16,13,2,16,2,86,17,15,30,27,22,21,33,19,18,31,65,62,24,48,42,21,38,33,32,12,21
ASV_26,44,33,17,116,32,1909,30,69,8,119,12,18,12,1500,16,481,17,108,4,297,74,120,255,259,29,285,174,278,241,399,65,219,131,377,75,201,1154,519,517,460,301,37,21,24,83,28,1519,26,61,13,65,11,9,10,1223,22,410,10,67,1,253,218,263,251,210,234,108,193,164,319,218,306,325,221,287,342,218,324,156,94,58,659
ASV_27,835,0,0,7,0,0,0,129,385,0,2,5,0,0,0,0,194,0,1,5,0,1326,0,2,0,0,2,0,424,0,107,914,1,1069,938,1092,57,1,1518,2,1,701,0,1,15,0,0,0,122,318,0,1,2,0,0,1,0,176,0,0,6,12,3,0,1,0,3,11,2,3,3,0,1,4,4,1,1,3,2,0,1,0
ASV_28,0,0,9,0,0,65,6,8,0,17,18,33,0,59,2,7,0,60,2,123,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,54,8,6,0,16,14,22,0,37,1,4,0,47,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ASV_29,35,26,39,52,26,1242,28,39,16,238,57,57,24,1389,63,560,36,631,20,777,55,51,35,37,40,20,43,31,20,76,11,23,22,26,45,29,120,34,55,45,89,27,30,37,46,18,1023,24,36,17,174,42,55,35,1142,48,487,28,511,8,624,197,168,138,244,194,133,138,110,242,159,189,199,160,165,137,125,88,62,60,34,272
ASV_30,5,1,3,9,2,31,1,0,5,0,1,0,3,62,3,33,0,70,0,7,2,4,0,1,0,52,5,10,1,7,0,1,0,2,0,0,3,0,2,3,2,1,1,10,5,1,29,1,1,1,0,1,2,1,50,0,28,1,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ASV_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18718,1,500,2,321,3,15,122,3,6417,583,157,176,8,1688,1,774,1109,1400,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,2,2,0,269,0,0,0,4,1,1,0,0,1,0,0,0,0,15
ASV_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,63,58,379,0,198,170,86,572,11,42,893,286,2,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,1191,2046,1270,72,88,291,1661,2496,6997,3641,266,378,1131,8957,7882,4281,6140
ASV_34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV_35,213,127,251,111,105,0,236,0,745,1,108,169,77,0,112,0,113,0,38,0,0,2,0,0,1,1,0,1,0,1,0,0,1,0,0,2,1,1,0,2,1,174,134,224,99,98,1,249,0,613,0,65,131,55,0,94,0,83,0,30,1,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
ASV_36,2,0,1,1,0,56,92,59,0,33,0,0,0,2,0,1,30,1,0,4,39,0,38,1,0,0,1,87,117,0,199,1,12,131,1,15,86,61,99,0,4,0,0,0,0,1,56,54,41,0,30,0,1,0,2,0,1,21,3,0,3,0,8,5,0,4,2,3,0,13,0,0,16,0,34,9,45,2,0,7,3,34
ASV_37,57,68,110,6,38,3,15,6,120,2,55,66,30,1,27,0,121,9,17,7,136,149,61,121,48,56,336,141,7881,216,245,265,53,15,246,58,12,125,69,174,103,47,56,70,4,28,2,11,10,90,0,33,63,34,0,18,0,118,8,17,7,419,401,442,345,490,309,247,174,245,197,153,130,82,104,642,2717,486,100,52,17,88
ASV_38,142,106,116,41,52,959,42,33,39,109,134,152,59,418,97,102,86,270,27,351,8,0,0,3,0,3,0,0,5,0,0,3,0,8,0,0,11,4,6,1,4,122,107,79,29,49,766,34,27,34,64,106,109,45,366,74,79,71,234,23,294,0,4,0,0,19,0,5,8,7,1,11,1,2,2,0,10,0,9,3,3,26
ASV_39,1,1,2,0,0,1,2,1,4,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,2,1,0,2,0,0,1,1,1,1,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,1,0,0,2,0,3
ASV_40,0,0,0,0,2,587,0,32,0,181,0,0,0,2,0,20,3,54,0,384,1,177,1,7524,0,150,2791,622,320,2003,1627,2059,3101,3664,1863,5025,1549,25,4355,1229,3689,0,0,0,1,8,489,0,19,1,136,0,0,0,3,0,18,1,45,0,327,2,13,0,2,0,0,1,0,0,0,36,0,0,39,215,2,0,3,0,0,56
ASV_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,11,0,6,14,7,14,1,2,4,0,3,4,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,10,28,15,19,3,11,10,12,8,9,5,2,10,3,9,13,19,4
ASV_42,30,34,25,31,31,27,31,9,26,19,19,43,15,67,16,32,23,21,10,54,58,79,78,141,16,72,95,58,92,163,33,123,52,97,32,20,163,65,57,106,96,27,16,24,25,28,24,22,6,25,12,16,36,9,53,14,17,19,19,6,43,235,147,148,178,303,180,135,97,212,154,144,135,171,152,97,91,105,256,388,131,300
ASV_43,15,7,14,5,13,1,10,0,3,1,12,8,8,1,5,0,6,1,1,10,429,326,426,381,111,396,501,354,138,679,94,503,372,138,241,334,261,848,691,483,500,8,5,9,5,9,1,6,2,2,0,11,3,6,2,5,0,2,0,1,2,1550,1285,1196,1782,2212,1359,1157,1090,2207,1438,1872,1940,1811,2039,1545,1790,988,606,752,201,904
ASV_44,493,356,426,240,392,1,575,5,386,1,178,255,129,2,283,1,177,2,74,13,2121,2959,2101,640,1803,1477,3606,2244,428,1471,407,1364,1588,392,1899,1622,418,1560,1727,1590,1785,411,315,344,187,326,0,451,5,302,0,155,216,103,1,227,5,126,0,50,13,575,601,555,526,1207,1058,784,724,1421,1142,1220,1509,1133,1443,1361,962,1466,538,330,107,772
ASV_45,15,30,40,20,20,0,12,0,84,0,1,13,16,0,13,0,14,0,3,0,0,1,7,0,0,0,0,13,1,0,1,0,1,0,1,0,0,0,2,1,8,11,28,27,11,12,0,11,0,67,1,4,7,5,0,11,0,20,0,6,0,0,0,0,0,7,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2
ASV_48,20,8,13,7,11,6,15,2,16,2,32,40,25,23,25,12,46,11,11,24,2,3,1,5,0,3,7,7,24,9,11,12,14,12,2,3,17,8,5,2,3,13,7,6,14,7,2,6,0,12,3,26,27,22,13,11,4,35,11,4,19,17,12,10,7,6,9,13,11,5,2,10,25,62,32,3,5,6,33,30,10,30
ASV_49,147,36,548,797,113,6,55,45,92,14,79,110,36,1,90,0,269,9,17,104,6,23,14,77,16,5,5,2,0,29,375,15,10,4,14,7,1,21,7,73,9,132,30,410,619,85,3,51,27,85,13,68,121,22,3,55,8,221,8,12,79,29,93,137,126,21,14,8,6,25,11,33,11,10,13,10,10,7,2,3,1,3
ASV_50,2,0,0,0,0,0,3,1,7,0,2,0,0,1,0,0,0,0,0,3,3,0,0,0,3,0,0,0,24,2,3,11,9,21,0,4,30,10,2,2,1,0,0,1,0,0,1,2,0,3,0,0,0,1,1,0,0,0,1,0,3,0,0,7,0,18,0,4,2,4,1,1,4,7,6,2,27,0,9,29,4,31
ASV_52,29,14,74,2,9,0,140,0,532,1,17,28,10,2,117,0,79,2,97,2,2,1,0,0,0,11,23,0,0,6,0,5,1,0,0,0,0,0,0,3,0,17,12,52,2,9,0,110,2,418,0,13,24,12,2,94,2,51,2,86,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV_53,11,5,14,118,6,163,40,173,6,169,9,2,3,208,9,104,1,250,2,1597,39,246,348,388,64,234,271,279,61,515,53,230,214,91,158,228,153,424,387,379,428,7,10,7,75,7,137,37,146,10,138,1,6,4,136,10,69,2,195,2,1348,1567,1151,930,1593,1122,651,685,539,1352,895,1110,1305,1201,1309,1065,1255,702,384,414,101,484
ASV_54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,16,0,6,0,0,1,1,1,1,0,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ASV_55,0,1,1,26,0,62,2,6,2,6,0,0,0,59,2,37,0,8,1,38,5,18,23,21,3,45,40,31,33,44,17,47,15,92,25,23,324,64,52,38,34,0,0,4,17,1,46,6,4,2,4,0,0,0,57,2,22,0,7,0,24,13,36,26,23,42,19,18,22,20,20,34,32,28,40,33,13,37,18,13,16,180
ASV_56,9,7,18,22,4,395,6,64,7,169,0,4,2,54,1,37,1,38,0,292,80,100,275,65,3,267,100,290,59,159,53,143,200,51,16,217,43,221,329,245,251,8,6,12,13,2,331,8,65,8,123,0,0,2,28,1,26,0,35,3,240,46,51,37,44,159,67,96,78,128,175,134,200,164,183,190,102,146,64,19,23,63
ASV_57,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,7,0,0,0,22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,1,0,0,0,22,0,0,0,0,225,0,0,1,0,0,0,0,0,50,0,0,0,0,5,0,0
ASV_58,116,26,70,5,19,109,51,6,76,52,18,34,7,562,21,115,6,134,11,255,24,16,34,10,1,28,24,16,19,12,3,4,14,21,16,6,13,18,23,9,66,90,24,72,13,15,99,33,10,58,56,16,36,3,466,10,65,6,91,13,204,100,18,31,108,13,29,12,7,66,17,60,36,95,145,29,130,12,21,88,23,388
ASV_59,59,53,79,137,38,355,42,145,10,84,62,120,33,301,45,79,41,892,10,1094,1,6,10,13,3,7,6,2,2,9,1,9,3,0,5,3,7,20,15,13,14,41,33,55,91,38,232,31,71,5,56,35,79,26,215,25,50,17,593,3,769,39,26,19,24,20,4,13,7,13,9,34,16,10,17,14,9,11,5,2,1,6
ASV_60,0,0,0,20,1,21,2,5,2,4,0,1,0,26,0,17,0,3,0,37,39,58,148,58,6,126,102,93,43,175,25,84,53,83,36,58,233,200,168,138,123,0,1,3,15,1,16,3,1,1,2,0,1,0,17,0,15,0,9,0,21,51,65,57,50,115,34,39,37,98,80,86,68,53,67,71,40,81,47,17,8,125
ASV_61,2,5,5,7,0,85,3,71,1,27,0,2,0,31,1,15,1,83,0,193,0,2,0,3,0,0,3,1,0,0,3,2,2,7,1,1,3,4,1,0,3,5,0,3,5,1,45,2,50,0,13,0,0,1,22,0,18,4,77,0,176,2,2,0,3,0,1,1,0,1,1,3,2,0,0,1,2,1,0,1,1,0
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_63,60,65,48,30,82,3,113,1,50,1,30,51,24,6,39,2,41,4,9,6,40,51,45,42,27,26,31,35,88,64,8,31,21,88,34,26,61,76,41,39,45,46,52,39,21,45,2,62,1,23,0,28,49,15,7,29,1,35,5,9,8,116,100,71,79,181,77,79,48,181,56,95,185,188,132,84,76,61,382,943,191,433
ASV_64,6,1,4,6,3,380,22,23,7,97,3,2,0,27,2,14,1,8,0,17,12,5,9,0,3,7,6,1,8,11,0,14,10,11,4,5,49,14,16,14,2,3,4,2,1,2,263,13,18,4,59,1,0,3,25,3,14,0,1,1,15,2,5,2,1,8,0,1,5,7,2,1,5,6,1,2,3,3,1,0,0,7
ASV_65,0,0,0,0,0,5,1,22,0,1,1,0,0,8,0,6,14,32,4,29,26,37,154,34,6,323,92,36,1919,56,248,106,53,897,14,118,2031,167,534,70,422,0,1,0,0,1,4,1,20,1,4,0,0,0,13,1,3,12,27,3,30,36,54,30,52,91,43,49,36,106,45,108,113,286,679,294,309,545,201,4432,330,1021
ASV_66,21,7,25,410,11,6,167,7,18,7,4,30,3,6,10,1,4,2,4,14,127,149,83,42,44,52,184,66,104,98,43,103,92,95,103,68,82,42,15,165,112,19,15,20,342,10,4,136,7,14,3,6,19,7,5,7,0,2,2,2,13,50,53,27,24,91,43,33,17,57,59,42,42,40,45,38,13,54,119,116,26,67
