hash,Domain,Phylum,Class,Order,Family,Genus,Species
12d4e3b9d567770c02cbc973b3f92053,d__Bacteria, p__NB1-j, c__NB1-j, o__NB1-j, f__NB1-j, g__NB1-j, s__uncultured_marine
134aa1bbf11b65b9cc661280d72c1d15,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,
13eea987393ec9079bd9805404f0d4b3,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,
14244a5ca23d163c729d468f01ccc474,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,
155887d600fc88a24f01cd62da008cb3,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__uncultured_bacterium
1566261e025b1f3a974a069744d51cf4,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Legionellaceae, g__Legionella, s__uncultured_organism
15943ae3106dbf6a56b0831d8b360d18,d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),
15d31bfb3aac3ec7edd60faee70e9c4b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,
1662ecd0aba8959b6c409f39de40623d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__Rhodobacteraceae_bacterium
19c5b2430eea160c5c18029ba03304e4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group, s__marine_metagenome
19d4543916f91161150487b1198750d2,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__uncultured, g__uncultured, s__uncultured_Sphingobacteriia
1a8414191a32e2e535dc8be4f2b1cd4f,d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II, s__uncultured_archaeon
1ac4b71c8262bddc28ceba53696c5819,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__DEV007, g__DEV007,
1b34a0ed457c927fee4820ec58a943c6,d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),
1c6cbc1b4216d27782cc61677634e29d,d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),
1cad9cfa9fb2654b329cae4cad547148,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__MWH-UniP1_aquatic_group, g__MWH-UniP1_aquatic_group, s__marine_metagenome
1ce16cc4be8bd62c84b2fed5fd745bb1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__uncultured, g__uncultured, s__uncultured_Sphingobacteriia
1ce3b5c6d85ce967f8677e23e3e9b0be,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,
1ee7643238d7e68bd1b3e9dddbe7ebf6,d__Bacteria, p__Proteobacteria,,,,,
1f72abcb65043997d3aa9a6b09e35cbc,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade, s__uncultured_Haliea
1f9d01738122532e78ae5f292e28f0aa,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Saprospiraceae, g__uncultured,
20a0d2f150b3312772f5c00e54fd7baf,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS2b_marine_group, s__uncultured_marine
227fa982293b983c58644504bdf68c9b,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__OM27_clade,
2310861d16912a476848c8293e4cba00,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina, s__uncultured_SAR432
232ebf2823e7ec4ad1a8c62473840b5d,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__OM182_clade, f__OM182_clade, g__OM182_clade, s__uncultured_gamma
25b1587f9d2ce6a2f046e92cd496599d,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__Pirellula, s__uncultured_planctomycete
26b516b9c624e29db70b6f00680208ec,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__uncultured_bacterium
26beccec978ee96b9c0fa589a5bd096e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
281c419d5c32e036d9a3909fe8db7046,d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II, s__Marine_group
29808558f20a5459a28bf60ddf886cd5,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
2997f1920aefbb91632b549f2538b73b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,
2aa9a3c6f6965c9b78a271efe8096b99,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Piscirickettsiales, f__Piscirickettsiaceae, g__Candidatus_Endoecteinascidia, s__uncultured_marine
2b2b8fff9e9606590f4c7147561062b1,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__metagenome
2b41829c253ece7b43654ad554790922,d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade), s__uncultured_marine
2bf21a994e432b92b05ce32121d28e5e,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group, s__uncultured_Verrucomicrobiales
2d8ede4c9117da023e8ab79f62856516,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
2e51fa0db8d2cf6cabac348e5d568521,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast, s__Emiliania_huxleyi
2f40337e415f2ac5ace3b30657a80109,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
