,Kingdom,Phylum,Class,Order,Family,Genus,Species
ZOTU3,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,Barbus_barbus
ZOTU63,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gobio,Gobio_gobio
ZOTU1,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos_taurus
ZOTU21,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus_phoxinus
ZOTU10,Eukaryota,Chordata,Actinopteri,Cypriniformes,,,
ZOTU8,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
ZOTU22,Eukaryota,Chordata,Mammalia,Artiodactyla,,,
ZOTU2,Eukaryota,Chordata,Actinopteri,,,,
ZOTU69,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
ZOTU7,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,
ZOTU244,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
ZOTU168,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pan,Pan_troglodytes
ZOTU204,Eukaryota,Chordata,Mammalia,Rodentia,Castoridae,Castor,Castor_fiber
ZOTU67,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,
ZOTU229,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
ZOTU164,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
ZOTU252,Eukaryota,Chordata,Mammalia,,,,
ZOTU246,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
ZOTU160,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
ZOTU40,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pelecus,
ZOTU138,Eukaryota,Chordata,,,,,
ZOTU214,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
ZOTU245,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
ZOTU208,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,
ZOTU151,Eukaryota,Chordata,,,,,
ZOTU23,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,
ZOTU133,Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Terricola,Terricola_subterraneus
ZOTU24,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pseudochondrostoma,Pseudochondrostoma_polylepis
ZOTU131,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
