,Lasker18Sc122_1_D0051_MM,Lasker18Sc122_3_D0052_TT,Lasker18Sc122_5_D0053_TT,Lasker18Sc122_15_D0056_MM,Lasker18Sc122_17_D0057_TT,Lasker18Sc122_19_D0058_TT,Lasker18Sc123_1_D0062_MM,Lasker18Sc123_3_D0063_TT,Lasker18Sc123_5_D0064_TT,Lasker18Sc123_15_D0067_MM,Lasker18Sc123_17_D0068_TT,Lasker18Sc123_19_D0069_TT,Lasker18Sc124_1_D0072_MM,Lasker18Sc124_3_D0073_TT,Lasker18Sc124_5_D0074_TT,Lasker18Sc124_15_D0077_MM,Lasker18Sc124_17_D0078_TT,Lasker18Sc124_19_D0079_TT,Lasker18Sc126_1_D0084_MM,Lasker18Sc126_3_D0085_TT,Lasker18Sc126_5_D0086_TT,Lasker18Sc126_15_D0089_MM,Lasker18Sc126_17_D0090_TT,Lasker18Sc127_1_D0094_MM,Lasker18Sc127_3_D0095_TT,Lasker18Sc127_5_D0096_TT,Lasker18Sc127_15_D0099_MM,Lasker18Sc127_17_D0100_TT,Lasker18Sc127_19_D0101_TT,Lasker18Sc128_1_D0104_MM,Lasker18Sc128_3_D0105_TT,Lasker18Sc128_7_D0107_TT,Lasker18Sc128_15_D0109_MM,Lasker18Sc128_16_D0110_TT,Lasker18Sc128_19_D0111_TT,Lasker18Sc129_1_D0115_MM,Lasker18Sc129_3_D0116_TT,Lasker18Sc129_5_D0117_TT,Lasker18Sc129_15_D0120_MM,Lasker18Sc129_17_D0121_TT,Lasker18Sc129_19_D0122_TT,Lasker18Sc130_1_D0126_MM,Lasker18Sc130_3_D0127_TT,Lasker18Sc130_5_D0128_TT,Lasker18Sc130_15_D0131_MM,Lasker18Sc130_17_D0132_TT,Lasker18Sc130_19_D0133_TT,Lasker18Sc132_1_D0136_MM,Lasker18Sc132_3_D0137_TT,Lasker18Sc132_5_D0138_TT,Lasker18Sc132_15_D0141_MM,Lasker18Sc132_17_D0142_TT,Lasker18Sc132_19_D0143_TT,Lasker18Sc133_1_D0146_MM,Lasker18Sc133_3_D0147_TT,Lasker18Sc133_5_D0148_TT,Lasker18Sc133_15_D0151_MM,Lasker18Sc133_17_D0152_TT,Lasker18Sc133_19_D0153_TT,Lasker18Sc134_1_D0157_MM,Lasker18Sc134_3_D0158_TT,Lasker18Sc134_5_D0159_TT,Lasker18Sc134_15_D0162_MM,Lasker18Sc134_17_D0163_TT,Lasker18Sc134_19_D0164_TT,Lasker18Sc135_1_D0167_MM,Lasker18Sc135_15_D0172_MM,Lasker18Sc135_17_D0173_TT,Lasker18Sc135_19_D0174_TT,Lasker18Sc138_1_D0177_MM,Lasker18Sc138_15_D0182_MM,Lasker18Sc140_1_D0187_MM,Lasker18Sc140_15_D0192_MM,Lasker18Sc142_1_D0198_MM,Lasker18Sc142_15_D0203_MM,Lasker18Sc143_1_D0208_MM,Lasker18Sc143_15_D0213_MM,Lasker18Sc145_1_D0218_MM,Lasker18Sc145_3_D0219_TT,Lasker18Sc145_5_D0220_TT,Lasker18Sc145_15_D0223_MM,Lasker18Sc145_17_D0224_TT,Lasker18Sc145_19_D0225_TT,Lasker18Sc150_1_D0228_MM,Lasker18Sc150_3_D0229_TT,Lasker18Sc150_5_D0230_TT,Lasker18Sc150_15_D0233_MM,Lasker18Sc150_17_D0234_TT,Lasker18Sc150_19_D0235_TT,Lasker18Sc151_1_D0239_MM,Lasker18Sc151_3_D0240_TT,Lasker18Sc151_5_D0241_TT,Lasker18Sc151_15_D0244_MM,Lasker18Sc151_17_D0245_TT,Lasker18Sc151_19_D0246_TT,Lasker18Sc153_1_D0249_MM,Lasker18Sc153_3_D0250_TT,Lasker18Sc153_5_D0251_TT,Lasker18Sc153_15_D0254_MM,Lasker18Sc153_17_D0255_TT,Lasker18Sc153_19_D0256_TT,Lasker18Sc154_1_D0259_MM,Lasker18Sc154_3_D0260_TT,Lasker18Sc154_5_D0261_TT,Lasker18Sc154_15_D0264_MM,Lasker18Sc154_17_D0265_TT,Lasker18Sc154_19_D0266_TT,Lasker18Sc158_1_D0269_MM,Lasker18Sc158_3_D0270_TT,Lasker18Sc158_5_D0271_TT,Lasker18Sc158_15_D0274_MM,Lasker18Sc158_17_D0275_TT,Lasker18Sc158_19_D0276_TT,Lasker18Sc126_15_D1030_MM
ASV_39,0,2311,30,0,0,3,3,8155,1219,1,0,0,0,4,0,1018,7924,5336,3,8,1,0,0,0,0,1,0,0,3,0,6,2,1,4,8,2794,850,2296,1,2,923,6249,11,3831,2,5,0,0,0,0,0,0,3,21,38960,6187,0,3,0,3,12,4,3,2,57,2,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,1,2,0,1,0,0,1,0,0,1181,4,5,0,0,0,20,0,0,0,4,0,2397,2,8,0,1,0,2
ASV_43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,2080,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1431,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3338,756,739,0,0,0,0,0,0,2,0,0,4913,0,1038,0,0,0,0
ASV_44,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,8,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1764,2143,3,0,1,2
ASV_45,1,0,0,0,0,0,0,0,0,16,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV_50,0,0,1,0,1600,0,1,0,0,3,0,0,1187,0,0,951,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,98,0,21,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,793,0,0,0,3,0,0,0,0,0,0,0,1,0
ASV_57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_58,0,0,0,0,0,1,0,1602,1,2,0,0,0,0,0,0,0,0,2313,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,129,0,0
ASV_66,0,0,0,2,0,0,0,1,2,9,1,0,9,5,5,6,4,11,8,6,1,8,4,10,6,394,6,7,7,1643,5,1,11,4,154,2,715,6,6,2,4,27,0,3,29,0,1,6,0,0,3,1,0,10,0,0,4,0,0,2,0,0,2,1,2,0,14,3,6,1,1,19,19,5553,4,17,8,0,0,0,2044,1,7,6,3,1,13,2,0,0,5,0,0,0,0,0,2,0,0,0,0,5,0,1,1,0,0,16,8,7,3,7,0,2
ASV_68,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
