,Lasker18Sc122_3_D0052_VV,Lasker18Sc122_5_D0053_VV,Lasker18Sc122_17_D0057_VV,Lasker18Sc122_19_D0058_VV,Lasker18Sc123_3_D0063_VV,Lasker18Sc123_5_D0064_VV,Lasker18Sc123_17_D0068_VV,Lasker18Sc123_19_D0069_VV,Lasker18Sc124_3_D0073_VV,Lasker18Sc124_5_D0074_VV,Lasker18Sc124_17_D0078_VV,Lasker18Sc124_19_D0079_VV,Lasker18Sc126_3_D0085_VV,Lasker18Sc126_5_D0086_VV,Lasker18Sc126_17_D0090_VV,Lasker18Sc127_3_D0095_VV,Lasker18Sc127_5_D0096_VV,Lasker18Sc127_17_D0100_VV,Lasker18Sc127_19_D0101_VV,Lasker18Sc128_3_D0105_VV,Lasker18Sc128_7_D0107_VV,Lasker18Sc128_16_D0110_VV,Lasker18Sc128_19_D0111_VV,Lasker18Sc129_3_D0116_VV,Lasker18Sc129_5_D0117_VV,Lasker18Sc129_17_D0121_VV,Lasker18Sc129_19_D0122_VV,Lasker18Sc130_3_D0127_VV,Lasker18Sc130_5_D0128_VV,Lasker18Sc130_17_D0132_VV,Lasker18Sc130_19_D0133_VV,Lasker18Sc132_3_D0137_VV,Lasker18Sc132_5_D0138_VV,Lasker18Sc132_17_D0142_VV,Lasker18Sc132_19_D0143_VV,Lasker18Sc133_3_D0147_VV,Lasker18Sc133_5_D0148_VV,Lasker18Sc133_17_D0152_VV,Lasker18Sc133_19_D0153_VV,Lasker18Sc134_3_D0158_VV,Lasker18Sc134_5_D0159_VV,Lasker18Sc134_17_D0163_VV,Lasker18Sc134_19_D0164_VV,Lasker18Sc135_17_D0173_VV,Lasker18Sc135_19_D0174_VV,Lasker18Sc145_3_D0219_VV,Lasker18Sc145_5_D0220_VV,Lasker18Sc145_17_D0224_VV,Lasker18Sc145_19_D0225_VV,Lasker18Sc150_3_D0229_VV,Lasker18Sc150_5_D0230_VV,Lasker18Sc150_17_D0234_VV,Lasker18Sc150_19_D0235_VV,Lasker18Sc151_3_D0240_VV,Lasker18Sc151_5_D0241_VV,Lasker18Sc151_17_D0245_VV,Lasker18Sc151_19_D0246_VV,Lasker18Sc153_3_D0250_VV,Lasker18Sc153_5_D0251_VV,Lasker18Sc153_17_D0255_VV,Lasker18Sc153_19_D0256_VV,Lasker18Sc154_3_D0260_VV,Lasker18Sc154_5_D0261_VV,Lasker18Sc154_17_D0265_VV,Lasker18Sc154_19_D0266_VV,Lasker18Sc158_3_D0270_VV,Lasker18Sc158_5_D0271_VV,Lasker18Sc158_17_D0275_VV,Lasker18Sc158_19_D0276_VV
ASV_2594,20,14,0,0,21,23,4,0,16,15,0,0,46,0,0,13,0,0,0,0,0,0,0,9,22,0,0,4,13,0,0,0,16,0,0,13,14,0,0,0,4,0,0,0,0,12,31,0,0,6,52,13,0,0,0,0,0,0,16,0,0,42,0,0,0,0,12,0,0
ASV_2595,0,0,8,22,0,0,0,0,0,0,17,26,0,0,0,0,0,0,0,0,0,5,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2597,14,14,0,0,3,15,0,0,4,27,0,0,13,19,0,22,19,0,0,1,10,0,0,0,0,0,0,2,10,0,0,11,4,0,0,5,4,0,0,1,2,0,0,0,0,8,6,0,0,9,7,0,0,21,27,0,1,10,5,0,0,0,11,3,8,5,2,0,0
ASV_2599,2,2,0,0,4,12,0,0,3,10,0,0,5,15,0,7,13,0,0,1,11,0,0,0,3,0,0,6,3,0,0,9,6,0,0,6,8,0,0,0,1,0,0,0,0,6,3,0,0,1,4,0,0,0,5,0,0,2,2,0,0,4,3,3,0,0,3,0,3
ASV_2600,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,1,3,0,0,0,17,11,0,0,18,51,3,1,133,128,0,0,144,150,1,1,117,240,0,0,147,63,4,1,83,54
ASV_2602,0,0,0,0,66,243,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,23,11,0,0,7,17,0,0,0,3,0,0,0,0,11,12,0,0,2,18,0,0,50,90,0,0,6,4,0,0,41,23,0,0,12,5,0,0
ASV_2605,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,5,6,0,0,0,1,0,0,1,2,0,0,0,0,0,0
ASV_2606,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,2,5,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0
ASV_2607,2,9,0,0,1,9,0,0,2,2,0,0,0,5,0,2,20,0,0,1,2,0,0,0,0,0,0,4,4,0,0,6,6,0,0,6,2,0,0,0,4,0,0,0,0,3,5,0,0,12,7,0,0,10,15,3,0,2,1,0,0,3,5,2,0,2,5,0,0
ASV_2611,0,0,17,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV_2613,3,0,0,0,0,3,0,0,1,7,0,0,0,2,0,2,4,0,0,2,1,0,0,0,0,0,0,1,5,0,0,5,3,0,0,7,4,0,0,1,6,0,0,0,0,5,1,0,0,3,3,0,0,4,9,0,0,0,3,0,0,0,2,1,0,2,1,0,0
ASV_2614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,410,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0
ASV_2615,0,5,0,0,1,0,0,0,0,0,0,0,5,9,0,0,9,0,0,0,2,0,0,0,1,0,0,12,7,0,0,2,3,0,0,9,3,0,0,0,1,0,0,0,0,2,9,0,0,0,1,0,0,27,9,0,0,0,2,0,0,3,5,1,0,0,0,0,0
ASV_2620,0,8,0,0,3,3,0,0,3,0,0,0,13,5,0,8,19,0,0,8,8,0,0,2,1,0,0,3,5,0,0,3,4,0,0,4,5,0,0,1,0,0,0,0,0,3,9,0,0,5,7,0,0,14,4,0,0,1,0,0,0,5,4,0,0,3,0,0,0
ASV_2621,2,2,0,0,4,7,0,0,3,1,0,0,12,0,0,2,3,0,0,2,6,0,0,2,1,0,0,5,5,0,0,10,3,0,0,2,1,0,0,0,0,0,0,0,0,3,6,0,0,3,2,0,0,10,0,0,0,2,1,0,0,8,6,0,0,2,0,0,0
ASV_2624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV_2625,11,15,0,0,0,9,0,0,1,0,0,0,4,6,0,1,12,0,0,3,0,0,0,0,0,0,0,3,3,0,0,5,13,0,0,3,6,0,0,1,1,0,0,0,0,3,0,0,0,13,2,0,0,8,7,0,0,1,0,0,0,2,3,0,0,7,1,0,0
ASV_2629,0,2,0,0,0,5,0,0,0,0,0,0,2,2,0,3,3,0,0,1,2,0,0,0,0,0,0,7,4,0,0,2,4,0,0,3,4,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,7,4,0,0,4,0,0,0,0,3,0,0,1,0,0,0
ASV_2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
ASV_2632,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,5,15,0,0,2,0,2,4,4,6,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2637,4,32,0,0,9,14,0,0,1,11,0,2,6,15,0,7,15,0,0,2,7,0,0,0,0,0,0,11,10,0,0,2,8,0,0,15,10,0,0,2,3,0,0,0,0,3,8,0,0,15,14,3,0,9,11,0,0,6,4,0,0,7,8,2,0,0,0,0,0
ASV_2640,2,9,0,0,1,14,0,0,7,2,0,0,5,7,0,5,20,0,0,0,8,0,0,0,0,0,0,1,6,0,0,10,8,0,0,5,0,0,0,0,1,0,0,0,0,12,7,0,0,3,18,6,1,1,2,0,0,4,0,0,0,4,0,0,0,9,0,0,0
ASV_2641,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,3,0,1,7,0,0,0,10,3,0,0,0,1,4,0,0,6,0,1,8,6
ASV_2649,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,11,2,0,0,7,16,3,4,7,10,0,4,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,3,3
ASV_2650,0,4,0,0,3,7,0,0,0,11,0,0,14,5,0,0,8,0,0,2,19,0,0,0,1,0,0,6,2,0,0,5,2,0,0,12,2,0,0,0,0,0,0,0,0,5,0,0,0,2,6,1,0,9,0,0,0,0,0,0,0,7,4,0,0,2,0,0,0
ASV_2657,2,9,0,0,2,8,2,0,4,2,0,0,4,3,0,0,9,0,0,0,0,0,0,0,4,0,0,15,5,0,0,5,13,0,0,10,10,0,0,2,5,0,0,0,0,8,5,0,0,6,16,0,2,24,6,0,0,5,4,0,0,1,2,0,2,8,2,0,0
ASV_2658,7,8,0,0,0,1,0,0,10,3,0,0,0,32,0,12,20,0,0,6,0,0,0,1,4,0,0,12,6,0,0,12,12,0,0,20,19,0,0,0,3,0,0,0,0,3,4,0,0,14,28,0,0,120,0,0,0,0,17,0,0,0,23,0,0,1,1,0,0
ASV_2660,1,3,0,0,5,6,0,0,0,5,0,0,5,8,0,8,24,0,0,4,4,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,1,3,0,0,1,5,0,0,0,4,0,0,1,3,0,0,8,1,0,0,7,0,0,0
ASV_2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,2,4,3,0,1,8,1,0,0,0,20,0,0,0,0,0,8,0,0,17,17,9,5,0,0,42,0,9,1,2,7,11,29,5,4,12,4,7,6
ASV_2669,6,0,0,0,4,6,0,0,0,2,0,0,5,4,0,7,9,0,0,1,8,0,0,0,1,0,0,4,6,0,0,1,2,0,0,2,1,0,0,0,3,0,0,0,0,3,1,0,0,2,6,0,0,5,6,0,0,3,5,0,0,8,8,0,0,2,0,0,0
ASV_2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,4,3,0,0,1,0,0,0,11,6,0,0,0,0,0,1,0,1,4,11,4,9,2,12,3,5,10,2,0,0,3,0,5,0,2,1,1,1
ASV_2671,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,0,9,2,0,0,7,19,0,0,0,27,0,0,0,2,0,0,0,12,0,0,0,0,0,0
ASV_2672,0,0,3,0,0,10,1,2,0,0,0,0,4,0,0,1,2,0,1,0,0,2,0,0,0,1,1,3,1,2,1,2,0,0,0,0,4,8,1,3,0,1,0,7,5,2,0,5,4,1,1,17,6,0,0,20,23,1,3,9,7,0,1,14,7,0,0,2,1
ASV_2674,1,2,0,0,0,9,0,0,3,12,0,0,8,7,0,7,33,0,0,0,10,0,0,0,1,0,0,6,5,0,0,12,2,0,0,2,3,0,0,1,2,0,0,0,0,4,9,0,0,1,13,1,0,10,6,0,0,4,3,0,0,3,6,0,0,1,0,0,0
ASV_2675,0,3,0,0,1,2,0,0,1,0,0,0,10,7,0,5,23,0,0,0,3,0,0,0,0,0,0,6,13,0,0,11,8,0,0,5,8,0,0,1,0,0,0,0,0,9,7,0,0,14,5,2,0,11,7,0,0,6,1,0,0,2,10,4,0,0,0,0,0
ASV_2676,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,5,6,5,2,7,24,13,43,43,9,3,0,0,1,0,0,5,11,4,18,4,25,1,0,0,14,12,0,2,0,0,23,21,14,6,14,6
ASV_2678,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2681,0,0,0,0,2,4,0,0,2,8,0,0,8,19,0,0,45,0,0,0,8,0,0,0,0,0,0,7,5,0,0,2,5,0,0,4,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,45,0,0,0,3,0,0,11,0,2,0,9,0,0,0
ASV_2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV_2684,0,0,0,0,0,5,0,0,0,2,0,0,2,0,0,2,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,1,0,0,2,0,0,0,9,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0
ASV_2685,0,0,0,2,0,0,0,0,0,0,43,18,0,0,2,0,0,6,2,0,0,28,18,0,0,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2689,8,16,0,0,2,10,0,0,4,14,0,0,4,10,0,3,17,0,0,3,7,0,0,0,14,0,0,9,27,0,0,1,0,0,0,7,0,0,0,5,0,0,0,0,0,5,2,0,0,16,12,0,0,0,3,0,0,6,0,0,0,3,0,0,0,4,0,0,0
ASV_2690,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,5,0,3,13,5,0,2,7,2,7,0,9,2,0,0,16,0,2,0,0,0,19,22,11,5,5,12,3,10,9,4,0,0,0,0,0,0,10,0,0,1
ASV_2694,13,24,0,0,4,9,0,0,12,7,0,0,3,2,0,10,13,0,0,0,10,0,0,5,2,0,0,3,6,0,0,4,5,0,0,7,8,0,0,0,3,0,0,0,0,9,4,0,0,4,8,0,0,1,0,0,0,1,2,3,0,0,4,0,5,7,2,0,0
ASV_2696,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,12,15,0,0,11,5,0,0,15,1,0,0,6,0,16,14,0,0,3,37,0,0,26,7,0,0,26,8,2,0,17,4,0,5,4,1,0,1
ASV_2700,0,0,8,17,0,0,0,2,0,0,1,7,0,0,5,0,0,2,6,0,0,41,12,8,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2709,0,1,0,0,3,3,0,0,0,0,0,0,3,2,0,3,3,0,0,1,1,0,0,1,0,0,0,3,2,0,0,3,0,0,0,2,8,0,0,0,0,0,0,0,0,8,3,0,0,1,13,3,0,13,6,0,0,0,2,0,0,5,5,1,0,1,0,0,0
ASV_2710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,10,5,3,40,18,0,1,0,0,5,6,2,2,6,21,17,8,2,0,0,0,0,0,0,8,2,0,20,13,64,19,1,0
ASV_2712,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASV_2718,19,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2719,2,3,0,0,11,18,0,0,0,11,0,0,9,8,0,10,27,0,0,2,22,0,0,0,2,0,0,1,9,0,0,8,6,0,0,2,11,0,0,3,0,0,0,0,0,0,5,0,0,6,5,0,0,16,6,0,0,8,2,0,0,2,3,0,0,0,0,0,0
ASV_2721,6,1,0,0,0,4,0,0,7,2,0,0,3,1,0,2,3,0,0,0,3,0,0,0,2,0,0,2,11,0,0,1,4,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,14,6,0,0,4,4,0,0,1,0,0,0,0,6,0,0,1,0,0,0
ASV_2722,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2723,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,0,0,3,1,0,0,7,0,0,0,0,0,0,3,0,0,16,9,0,0,0,3,0,3,3,2,0,0,1,0,0,0,4,1,0,0
ASV_2726,8,27,0,0,0,8,0,0,8,45,0,0,11,17,0,17,58,0,0,4,29,0,0,0,1,0,0,6,23,0,0,9,14,0,0,8,12,0,0,2,3,0,0,0,0,1,5,0,0,5,6,0,0,19,6,0,0,7,7,0,0,5,0,3,0,3,1,0,0
ASV_2728,0,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,0,0,0,23,0,0,0,10,13,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2729,1,4,0,0,2,4,0,0,1,2,0,0,8,2,0,4,9,0,0,5,3,0,0,0,0,0,0,3,2,0,0,5,6,0,0,3,5,0,0,0,2,0,0,0,0,0,1,0,0,4,4,0,0,19,15,0,0,0,3,0,0,4,2,0,0,1,1,0,0
ASV_2730,0,1,18,43,0,0,0,0,0,0,2,0,0,0,3,0,11,3,2,0,0,48,22,0,0,58,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
ASV_2733,3,12,0,0,1,5,0,0,1,5,0,0,6,10,0,4,25,0,0,2,2,0,0,0,2,0,0,11,12,0,0,3,7,0,0,12,7,0,0,6,2,0,0,0,0,4,2,0,0,13,16,0,0,34,11,0,0,15,5,0,0,12,4,0,0,2,1,0,0
ASV_2740,5,14,0,0,3,10,0,0,1,16,0,0,14,9,0,8,13,0,0,1,3,0,0,4,1,0,0,3,16,0,0,6,6,0,0,8,2,0,0,0,0,0,0,0,0,4,1,0,0,10,5,0,0,10,2,0,1,1,0,0,0,1,1,0,0,6,3,0,0
ASV_2743,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,2,3,1,1,1,0,0
ASV_2745,3,2,0,0,0,3,0,0,1,2,0,0,18,10,0,11,54,0,0,0,5,0,0,0,0,0,0,5,5,0,0,7,17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,9,0,0,21,16,0,0,1,1,0,0,9,2,0,0,2,0,0,0
ASV_2748,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
ASV_2750,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,4,0,0,0,7,9,3,0,6,0,0,3,3,2,0,0,0,3,4,0,3,3,0,3
ASV_2753,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2755,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,12,0,0,0,1,77,40,0,2,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2759,0,1,0,0,2,8,0,0,8,5,0,0,13,20,0,6,33,0,0,3,18,0,0,0,0,0,0,4,6,0,0,3,6,0,0,3,6,0,0,2,5,0,0,0,0,5,3,0,0,1,4,0,0,6,14,0,0,6,1,0,0,2,11,0,0,0,1,0,0
ASV_2762,4,7,0,0,0,0,0,0,2,0,0,0,17,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2764,0,0,5,0,0,0,0,0,0,0,78,70,0,0,0,0,0,0,0,0,0,5,3,0,0,2,1,0,0,0,0,0,0,0,1,1,3,0,0,5,12,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_2766,0,0,0,0,0,0,0,0,0,0,30,29,0,0,19,0,0,23,1,0,0,56,28,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2767,1,11,0,0,0,6,0,0,4,6,0,0,2,2,0,2,16,0,0,2,0,0,0,0,8,0,0,5,8,0,0,4,3,0,0,4,6,0,0,1,1,0,0,0,0,5,13,0,0,6,6,0,0,11,5,1,0,0,0,0,0,8,0,0,0,0,0,0,0
ASV_2773,2,8,0,0,3,2,0,0,0,10,0,0,19,8,0,8,12,0,0,4,10,0,0,0,1,0,0,9,14,0,0,5,2,0,1,15,4,0,0,0,6,0,0,0,0,2,5,0,0,11,8,0,0,26,22,0,1,2,5,0,0,5,6,0,5,2,3,0,0
ASV_2774,1,2,0,0,1,1,0,0,3,3,0,0,12,8,0,1,3,0,0,0,6,0,0,0,1,0,0,3,3,0,0,5,8,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,0,5,5,0,0,7,0,0,0,7,0,0,0,2,1,0,3,1,0,0,0
ASV_2779,0,0,0,1,0,0,0,0,0,0,412,217,0,0,0,0,0,0,0,0,0,43,54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2780,3,4,0,0,2,16,0,0,4,4,0,0,4,9,0,3,12,0,0,0,3,0,0,2,2,0,0,9,17,0,0,7,0,0,0,10,7,0,0,0,4,0,0,0,0,7,0,0,0,2,9,0,0,2,6,0,0,5,12,0,0,3,3,0,1,6,3,0,0
ASV_2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,1,0,1,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3
ASV_2784,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,2,0,0,10,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0
ASV_2785,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,6,2,0,0,12,16,0,4,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2786,3,15,0,0,1,0,0,0,9,8,0,2,0,4,0,1,3,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,0,18,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0
ASV_2787,10,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2789,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5052,0,0,0,0,0,0,1,0,0,0,4,0,0,4,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2793,2,22,0,0,0,0,0,0,0,6,0,0,4,0,0,3,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_2799,9,5,0,0,6,19,0,0,9,16,0,0,20,16,0,12,61,0,0,1,14,0,0,0,2,0,0,2,14,0,0,9,3,0,0,2,6,0,0,2,4,0,0,0,0,7,2,0,0,9,5,0,0,7,7,0,0,4,6,0,0,9,8,2,0,4,4,1,0
ASV_2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375
