,Lasker18Sc122_3_D0052_VV,Lasker18Sc122_5_D0053_VV,Lasker18Sc122_17_D0057_VV,Lasker18Sc122_19_D0058_VV,Lasker18Sc123_3_D0063_VV,Lasker18Sc123_5_D0064_VV,Lasker18Sc123_17_D0068_VV,Lasker18Sc123_19_D0069_VV,Lasker18Sc124_3_D0073_VV,Lasker18Sc124_5_D0074_VV,Lasker18Sc124_17_D0078_VV,Lasker18Sc124_19_D0079_VV,Lasker18Sc126_3_D0085_VV,Lasker18Sc126_5_D0086_VV,Lasker18Sc126_17_D0090_VV,Lasker18Sc127_3_D0095_VV,Lasker18Sc127_5_D0096_VV,Lasker18Sc127_17_D0100_VV,Lasker18Sc127_19_D0101_VV,Lasker18Sc128_3_D0105_VV,Lasker18Sc128_7_D0107_VV,Lasker18Sc128_16_D0110_VV,Lasker18Sc128_19_D0111_VV,Lasker18Sc129_3_D0116_VV,Lasker18Sc129_5_D0117_VV,Lasker18Sc129_17_D0121_VV,Lasker18Sc129_19_D0122_VV,Lasker18Sc130_3_D0127_VV,Lasker18Sc130_5_D0128_VV,Lasker18Sc130_17_D0132_VV,Lasker18Sc130_19_D0133_VV,Lasker18Sc132_3_D0137_VV,Lasker18Sc132_5_D0138_VV,Lasker18Sc132_17_D0142_VV,Lasker18Sc132_19_D0143_VV,Lasker18Sc133_3_D0147_VV,Lasker18Sc133_5_D0148_VV,Lasker18Sc133_17_D0152_VV,Lasker18Sc133_19_D0153_VV,Lasker18Sc134_3_D0158_VV,Lasker18Sc134_5_D0159_VV,Lasker18Sc134_17_D0163_VV,Lasker18Sc134_19_D0164_VV,Lasker18Sc135_17_D0173_VV,Lasker18Sc135_19_D0174_VV,Lasker18Sc145_3_D0219_VV,Lasker18Sc145_5_D0220_VV,Lasker18Sc145_17_D0224_VV,Lasker18Sc145_19_D0225_VV,Lasker18Sc150_3_D0229_VV,Lasker18Sc150_5_D0230_VV,Lasker18Sc150_17_D0234_VV,Lasker18Sc150_19_D0235_VV,Lasker18Sc151_3_D0240_VV,Lasker18Sc151_5_D0241_VV,Lasker18Sc151_17_D0245_VV,Lasker18Sc151_19_D0246_VV,Lasker18Sc153_3_D0250_VV,Lasker18Sc153_5_D0251_VV,Lasker18Sc153_17_D0255_VV,Lasker18Sc153_19_D0256_VV,Lasker18Sc154_3_D0260_VV,Lasker18Sc154_5_D0261_VV,Lasker18Sc154_17_D0265_VV,Lasker18Sc154_19_D0266_VV,Lasker18Sc158_3_D0270_VV,Lasker18Sc158_5_D0271_VV,Lasker18Sc158_17_D0275_VV,Lasker18Sc158_19_D0276_VV
ASV_11,771,1082,1164,924,1721,3325,938,372,29,72,2,0,181,98,51,116,305,59,32,2,7,53,24,739,1149,172,136,1572,1698,187,149,417,716,985,862,807,702,2241,1587,3277,5254,2013,1430,156,197,681,462,7,60,1677,1743,684,682,713,761,76,231,1317,1713,59,60,268,268,2322,1622,700,1240,1004,575
ASV_12,4985,8914,450,222,8044,15090,2970,1228,97,241,0,0,776,538,89,608,987,67,92,14,26,41,15,3420,6149,301,240,184,281,55,16,100,161,2042,1581,973,614,7134,4849,4714,6780,5696,6416,46,74,295,177,23,81,972,1434,515,457,58,301,116,61,177,276,34,28,58,40,1629,1416,148,408,683,569
ASV_13,20,20,4,3,25,33,1,5,54,204,51,19,66,49,51,131,310,37,38,20,64,65,28,17,40,309,1266,37,22,847,757,12,38,68,35,16,40,6,153,327,262,85,10,120,43,29,24,62,44,297,316,433,358,59,57,271,376,51,133,74,60,3,9,127,193,263,1204,235,131
ASV_14,655,1535,6,27,56,296,3,0,385,854,0,0,540,686,0,470,1484,0,0,375,809,4,0,84,182,0,3,378,660,0,1,525,358,7,3,597,632,3,0,424,329,2,1,0,0,495,251,0,0,350,264,8,7,337,477,1,0,571,325,1,0,185,53,45,44,238,145,2,0
ASV_15,2,0,0,1,258,1,0,2,1,3,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1226,790,0,0,15,1984,0,1,47,1313,0,1,0,0,0,1,0,0,19,13,3,0,2264,5190,8654,1,6402,1321,1,3,5048,2568,1,0,523,541,1,0,4,0,0,0
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,232,0,0,0,8,0,0,0,0,0,0,0,3,63,442,0,0,0,2527,0,0,159,914,0,0,1338,877,0,0,2084,0,0,0,0,416,0,0,0,929
ASV_17,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,29,0,5162,1269,3,13127,5,0,0,0,0,5251,0,0,0,1,0,0,0,0,102,0,0,0,207,0,0,0,28,0,1416,1,0,0,2,3,3,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0
ASV_18,578,1086,87,76,1693,3944,62,50,356,990,75,117,1361,660,33,750,1724,25,30,114,323,356,233,933,1584,156,144,1490,2043,44,37,1060,862,26,16,1521,1616,85,50,451,607,10,0,10,24,1993,1230,0,1,1058,1246,258,204,2489,1732,30,32,948,1058,32,68,2414,2058,226,94,1758,1323,108,73
ASV_20,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,23,3,347,30,0,0,0,7,0,9,9,21,0,4,0,5,1,0,3,1,0,0,5,7,9,192,0,0,0,1,0,0,11,3,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,5,1,11,11,0,0,0,7,0,3,0,0,0,0,8,2,0,0,0,1
