ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18SKOA_ESP36	CN18SKOA_ESP37	CN18SKOA_ESP39	CN18SKOA_ESP40	CN18SKOA_ESP41	CN18SKOA_ESP42	CN18SKOA_ESP44	CN18SKOA_ESP45	CN18SKOA_ESP47	CN18SKOA_ESP49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_11	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	1170	0	0	0	1	0	3	0	3	1	0	1	1	2	8	0	3	1	1	4	1	0	2	2
ASV_13	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	542	0	0	1	0	798	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	1	16	6973	0	0	0	1	0	0	0	7	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1
ASV_18	1	0	0	0	1227	0	0	0	0	0	0	0	522	0	0	0	0	2	0	1	0	1	0	0	548	1	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	6	2	8439	10	5	9031	59	0	6	0	2	38	2	10	5397	1	3
ASV_19	1022	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	10043	0	1	3	3017	2	2	31	6021	4361	2	16	1429	0	24	4064	4	572	0
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1772	0	0	0	0	0	0	1548	0	0	1	0	0	0	0	0	0	0	4337	4	0	0
ASV_22	0	1	0	0	0	0	1	0	0	4	0	0	0	0	5	0	519	0	0	3	1	0	0	0	0	2	0	0	702	1	0	0	2	6	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4449	0	0	3	2343	0	0	0	1	6774	0	265	977	0	52	2755	5	1719	0
ASV_24	11	20	41	63	7	1440	29	19	34	14	884	2538	14	16	426	519	24	29	24	14	4	6	8	5	41	8	37	1140	6	214	21	1448	24	19	22	29	26	20	1991	7	2	568	0	0	0	2	7	13	0	0	0	6	3	0	6	0	5	2	5
ASV_25	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	4	0	0	0	6	4	2	4	14	4	11	1	6	5	23	3	1	6	7	1	3	26	11	6
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	3	0	1	2	4	2	2	0	1	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	709	0	0	0	3	4593	0
ASV_28	0	0	0	0	0	0	0	0	0	19	29	28	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	17	4	0	20	2	0	0	0	1	12	0	65	1	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	5001	3	0	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_34	3230	17	51	666	14	39	21	23	656	108	1669	24	277	16	23	217	671	1371	2119	9	8	11	168	19	25	33	292	15	624	460	88	1072	381	20	10	12	6	22	14	6	0	414	0	0	1	1022	0	2	0	0	0	2	2	1	10	0	1	2	4
ASV_35	71	1036	652	33	52	55	126	225	95	103	121	130	78	115	469	163	297	131	121	75	58	42	17	100	124	25	175	69	57	424	988	140	117	761	118	1426	55	91	801	35	9	8	1	3	0	4	20	21	0	3	0	10	6	0	24	0	12	3	5
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	9	0	1	0	10	11	15	0	12	0	9	9	0	2097	0	9	0	11
ASV_41	12	33	19	11	18	21	33	31	51	19	439	121	38	619	36	291	89	44	18	15	13	10	5	52	568	7	32	28	319	15	20	20	37	12	40	13	26	32	19	16	0	9	0	0	0	7	5	8	0	1	0	5	61	0	15	0	4	2	3
ASV_42	29	29	66	17	30	27	65	36	48	51	37	58	37	42	55	72	69	69	43	34	20	10	19	30	51	8	50	38	25	25	29	27	34	24	47	19	9	33	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	83	56	184	68	100	119	160	121	146	86	100	164	337	111	124	253	215	191	228	156	44	32	51	115	132	37	158	103	71	66	63	164	163	72	144	193	69	115	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	79	57	173	58	116	97	132	166	127	150	102	196	106	133	146	192	171	114	209	70	55	46	43	97	204	156	207	128	78	63	103	132	113	52	134	59	57	157	88	43	4	22	0	8	0	20	15	28	0	4	0	14	9	0	50	0	21	4	16
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	16319	0	168	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	6	0	2	1	1	7	4	1	1	5	0	0	1	2	4	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_50	27	22	1058	502	944	12	23	71	19	40	32	25	22	14	22	38	64	33	25	5	5	5	101	13	35	4	20	14	10	6	11	7	14	592	149	9	30	16	12	3	0	1	0	0	0	4	0	8	0	1	0	6	0	0	7	0	2	0	2
ASV_51	36	27	111	24	29	203	39	65	73	77	39	79	62	38	49	132	47	69	101	22	20	22	14	41	62	33	78	32	37	30	38	49	62	23	45	18	42	79	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	22	0	12	0	57	8	0	5	6	7	503	1	3	14	0	953	0
