ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_807	7	1	3	2	2	3	3	6	1	5	6	8	4	2	3	1	11	2	4	1	1	8	0	0	0	0	0	4	0	0	0	1	0	1	1	10	1	2	8	1	1	1	3	27	0	13	0	31	0	37	0	0	0	0	0	0	0	0	22	0	3	0	5
ASV_808	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	0	0	2	0	0	0	0	6	0	4	3	2
ASV_809	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	5	0	2	1	6	1	0	0	1	0	0	0	0	5	0	3	0	0
ASV_810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	6	0	3	17	3	6	4	12	4	3	0	16	0	12	0
ASV_811	9	7	38	2	16	0	0	5	0	44	1	0	14	3	1	0	2	0	0	0	2	0	0	0	0	9	14	0	0	0	0	0	0	0	9	15	0	0	0	20	21	22	0	1	0	7	0	2	0	0	0	3	0	0	0	0	26	0	2	0	0	0	1
ASV_812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	6	10	8	11	1	3	0	9	0	12	0
ASV_813	1	2	0	0	6	6	9	11	5	7	2	6	6	4	2	1	11	6	10	5	10	4	11	4	8	4	0	10	21	7	0	11	0	5	19	6	9	6	6	2	2	0	0	22	0	5	0	1	0	2	1	0	0	4	2	2	0	3	3	0	3	0	6
ASV_814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	4	2	21	21	15	0	30	0	34	0	0	0
ASV_815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	4	6	5	18	12	8	2	17	0	14	0	9	0
ASV_816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	0	2	6	0	1	0	1	0	1	0	4	3	0	0	1	0	0	0	1	0	2	0	8	0	3	12	2	11	7	8	5	3	0	8	0	8	0
ASV_817	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	3	0	2	0	5	0	7	0	0	0	0	0	0	0	0	1	0	3	0	1
ASV_818	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	13	13	0	0	0	0	0	11	0	2	0	3
ASV_819	9	1	0	4	14	13	10	21	17	24	15	14	16	12	22	11	18	13	20	27	19	45	11	37	36	23	22	13	36	29	12	11	16	19	10	23	20	14	22	5	15	10	15	26	0	5	1	1	0	4	1	0	1	0	3	3	3	0	3	1	3	1	1
ASV_820	2	0	0	1	3	1	1	1	0	1	2	0	1	1	1	0	3	0	0	0	2	0	2	0	2	2	0	7	0	0	0	1	0	0	3	3	0	1	0	1	0	1	0	12	0	1	1	0	1	1	0	1	0	2	2	0	2	0	3	0	1	0	2
ASV_821	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	1	3	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0
ASV_822	1	0	2	0	2	2	6	4	2	7	2	3	0	1	2	1	5	6	5	5	3	1	6	3	2	10	3	12	5	4	1	4	1	1	3	2	6	4	2	4	0	0	3	9	0	1	0	9	0	21	0	0	0	0	0	0	0	0	25	0	2	0	2
