	PC1	PC2
CN18Fc12_8_eDNA	-0.01868552995300285	-0.02752196977111399
CN18Fc19_5_eDNA	-0.1333942252249193	-0.027902198063212386
CN18Fc21_6_eDNA	-0.03145986557230906	-0.01969597256359905
CN18Fc22_6_eDNA	-0.042921415711231786	-0.023416230820533995
CN18Fc24_6_eDNA	-0.15113527517009145	-0.03678289019549561
CN18Fc25_5_eDNA	-0.15622058187174823	-0.048782524520498985
CN18Fc27_4_eDNA	0.009134742630354213	-0.016102376986530033
CN18Fc29_6_eDNA	-0.03302283658905955	-0.016584058749515775
CN18Fc30_4_eDNA	-0.059117662132399953	0.04608193789432543
CN18Fc32_4_eDNA	-0.07757705325264874	-0.029579016172723925
CN18Fc33_5_eDNA	-0.0036425915626170364	-0.02117808446022901
CN18Fc36_6_eDNA	-0.11932943769769759	0.3023706246543646
CN18Fc38_5_eDNA	-0.037755891053570446	0.013657631383105554
CN18Fc40_6_eDNA	-0.02479997927587979	-0.012551739799679388
CN18Fc41_6_eDNA	-0.03528747012673552	0.0015031059357767755
CN18Fc43_5_eDNA	-0.015348384331068445	-0.025210189314933018
CN18Fc44_8_eDNA	-0.024542644976623153	-0.02020824165415843
CN18Fc46_8_eDNA	0.00822271088646139	0.11440078466460238
CN18Fc47_6_eDNA	-0.10919406137586705	0.2278424293282679
CN18Fc49_6_eDNA	-0.04510766980734575	0.15190947922368353
CN18Fc51_5_eDNA	-0.008419379780325755	0.00709787850979271
CN18FESPkoa_SC24	0.14045767737559017	0.022799209981144406
CN18FESPkoa_SC26	0.18318734480911497	0.038134184985901834
CN18FESPkoa_SC29	0.19514985288879916	0.04564212409585439
CN18FESPkoa_SC30	0.18888511207652453	0.04086358976983252
CN18FESPkoa_SC31	0.03230027820749193	-0.012325872966994646
CN18FESPkoa_SC32	0.06751975339762346	-0.0014304625384025358
CN18FESPkoa_SC34	0.06614348488896504	-0.003150077247551705
CN18FESPkoa_SC37	0.08859784366192781	0.00628372021546955
CN18FESPkoa_SC40	0.1188200377224491	0.02044964086840953
CN18FESPkoa_SC41	0.08064613087213128	0.0011147221401640803
CN18FESPkoa_SC43	0.08622684187781345	0.00517894308395911
CN18FESPkoa_SC44	0.053130181695968975	-0.00876162071240047
CN18FESPkoa_SC46	0.021853868132956266	-0.01693955797792359
CN18FESPkoa_SC47	0.07427359177443142	-0.0024556133651044898
CN18FESPkoa_SC49	0.11477924229908525	0.011821724340168482
CN18FESPkoa_SC52	0.07767769490640648	0.004125098922594954
CN18FESPkoa_SC53	0.08908561511774687	0.0028058087137270357
CN18FESPkoa_SC55	0.0353922773120221	-0.013923356303522394
CN18FESPkoa_SC56	0.024163464297835148	-0.017606056584744303
CN18FESPkoa_SC57	0.019504483546811266	-0.01906870408799086
CN18FESPkoa_SC58	0.011261712252160891	-0.021964840159858334
CN18Sc09_2_eDNA	-0.02885588136933627	-0.037129798073751004
CN18Sc10_2_eDNA	-0.02826217212512549	-0.0376241849853921
CN18Sc14_2_eDNA	-0.02890881765957032	-0.038088565220971524
CN18Sc14_8_eDNA	-0.028624249232149346	-0.03609604972431741
CN18Sc15_2_eDNA	-0.027888834254947936	-0.036831477438262504
CN18Sc15_8_eDNA	-0.06611967915788357	0.01075649766900799
CN18Sc18_2_eDNA	-0.02758606089511207	-0.03670800139932278
CN18Sc18_8_eDNA	-0.065143249405	-0.0363404929509263
CN18Sc27_2_eDNA	-0.028626944744616634	-0.037918229332633106
CN18Sc27_8_eDNA	-0.044486196525242515	0.025072693985466087
CN18SESPkoa_SC36	-0.029824507625430707	-0.03845716344081337
CN18SESPkoa_SC37	-0.02603697813228668	-0.032882177718227636
CN18SESPkoa_SC39	-0.030408787317241264	-0.03842606456964853
CN18SESPkoa_SC40	-0.030132330088212957	-0.03504699371715598
CN18SESPkoa_SC41	-0.029508806549290837	-0.035460250386448795
CN18SESPkoa_SC42	-0.026949443956709136	-0.034856034266044736
CN18SESPkoa_SC44	-0.029892448367668262	-0.03749846155859498
CN18SESPkoa_SC45	-0.027412551730696906	-0.03593628113399701
CN18SESPkoa_SC47	-0.027499933472374706	-0.03612114087365954
CN18SESPkoa_SC49	-0.02728411455663451	-0.035348808558735
