"","SampleID","PC1","PC2","PC3","FilterID","year","Dataset","project"
"1","CN18FESPkoa_SC58_FF",-0.0603977358492532,-0.132925886185453,-0.00141496734638821,"CN18FESPkoa_SC58",2018,"Merged2018","CN18F"
"2","CN18FESPkoa_SC57_FF",-0.0671387957881884,-0.135161766604086,0.00057675276452621,"CN18FESPkoa_SC57",2018,"Merged2018","CN18F"
"3","CN18FESPkoa_SC56_FF",-0.0615408466750581,-0.142675728283561,-0.0401888759353692,"CN18FESPkoa_SC56",2018,"Merged2018","CN18F"
"4","CN18FESPkoa_SC55_FF",-0.0515875879570382,-0.118894639432231,-0.075527257454855,"CN18FESPkoa_SC55",2018,"Merged2018","CN18F"
"5","CN18FESPkoa_SC53_FF",-0.061612148231835,-0.133688920991902,0.0335914891291115,"CN18FESPkoa_SC53",2018,"Merged2018","CN18F"
"6","CN18FESPkoa_SC52_FF",-0.028512244811948,-0.128017688733622,-0.0237507455303847,"CN18FESPkoa_SC52",2018,"Merged2018","CN18F"
"7","CN18FESPkoa_SC49_FF",-0.0508420448124725,-0.111602765372693,-0.0101925342430618,"CN18FESPkoa_SC49",2018,"Merged2018","CN18F"
"8","CN18FESPkoa_SC47_FF",-0.0506388118074143,-0.12583900670559,-0.0223704778425473,"CN18FESPkoa_SC47",2018,"Merged2018","CN18F"
"9","CN18FESPkoa_SC46_FF",-0.0468035762475837,-0.118783913830333,-0.017929580247235,"CN18FESPkoa_SC46",2018,"Merged2018","CN18F"
"10","CN18FESPkoa_SC44_FF",-0.0490554468332676,-0.138119893876723,-0.00420814374545793,"CN18FESPkoa_SC44",2018,"Merged2018","CN18F"
"11","CN18FESPkoa_SC43_FF",-0.0545800396900844,-0.125368437859118,0.0157647918610371,"CN18FESPkoa_SC43",2018,"Merged2018","CN18F"
"12","CN18FESPkoa_SC41_FF",-0.055053613455949,-0.115971046102286,-0.0146188016841345,"CN18FESPkoa_SC41",2018,"Merged2018","CN18F"
"13","CN18FESPkoa_SC40_FF",-0.039942921022768,-0.121954905928684,-0.038713501295057,"CN18FESPkoa_SC40",2018,"Merged2018","CN18F"
"14","CN18FESPkoa_SC37_FF",-0.0647161409419629,-0.121247863698667,-0.0130118552453115,"CN18FESPkoa_SC37",2018,"Merged2018","CN18F"
"15","CN18FESPkoa_SC34_FF",-0.0637493849024301,-0.137366698901704,-0.0130566056359902,"CN18FESPkoa_SC34",2018,"Merged2018","CN18F"
"16","CN18FESPkoa_SC32_FF",-0.057410784010162,-0.139808601367568,-0.00481111504560518,"CN18FESPkoa_SC32",2018,"Merged2018","CN18F"
"17","CN18FESPkoa_SC31_FF",-0.0568982837593384,-0.122362280625322,-0.0134024473460283,"CN18FESPkoa_SC31",2018,"Merged2018","CN18F"
"18","CN18FESPkoa_SC30_FF",-0.077956336248958,-0.120786015580907,0.0264309987393982,"CN18FESPkoa_SC30",2018,"Merged2018","CN18F"
"19","CN18FESPkoa_SC29_FF",-0.0655500791619251,-0.116281660296155,0.0611965111355404,"CN18FESPkoa_SC29",2018,"Merged2018","CN18F"
"20","CN18FESPkoa_SC26_FF",-0.0679549242840626,-0.0986443541765282,0.0980078858733111,"CN18FESPkoa_SC26",2018,"Merged2018","CN18F"
"21","CN18FESPkoa_SC24_FF",-0.0525190028575138,-0.0950350624276932,0.0693810656317406,"CN18FESPkoa_SC24",2018,"Merged2018","CN18F"
"22","CN18Fc12_8_eDNA_GG",-0.0282909447528808,-0.101933224948347,-0.079312873947804,"CN18Fc12_8_eDNA",2018,"Merged2018","CN18F"
"23","CN18Fc19_5_eDNA_GG",-0.070397495661496,-0.0902372990993398,-0.0231858522084583,"CN18Fc19_5_eDNA",2018,"Merged2018","CN18F"
"24","CN18Fc21_6_eDNA_GG",-0.0251410952662572,-0.118119250221183,-0.0488814341014436,"CN18Fc21_6_eDNA",2018,"Merged2018","CN18F"
"25","CN18Fc22_6_eDNA_GG",-0.0492056261556311,-0.0980984188506019,-0.0486298278474323,"CN18Fc22_6_eDNA",2018,"Merged2018","CN18F"
"26","CN18Fc24_6_eDNA_GG",-0.0489832542396025,-0.0939392037395933,-0.000485866512123067,"CN18Fc24_6_eDNA",2018,"Merged2018","CN18F"
"27","CN18Fc25_5_eDNA_GG",-0.00424182184264101,-0.117927557383779,-0.0298916772754367,"CN18Fc25_5_eDNA",2018,"Merged2018","CN18F"
