#SampleID	Dataset
Lasker18Sc132_3_D0137	Merged2018
Lasker18Sc132_5_D0138	Merged2018
Lasker18Sc132_17_D0142	Merged2018
Lasker18Sc132_19_D0143	Merged2018
Lasker18Sc133_3_D0147	Merged2018
Lasker18Sc133_5_D0148	Merged2018
Lasker18Sc133_17_D0152	Merged2018
Lasker18Sc133_19_D0153	Merged2018
Lasker18Sc134_3_D0158	Merged2018
Lasker18Sc134_5_D0159	Merged2018
Lasker18Sc134_17_D0163	Merged2018
Lasker18Sc134_19_D0164	Merged2018
Lasker18Sc135_17_D0173	Merged2018
Lasker18Sc135_19_D0174	Merged2018
Lasker18Sc145_3_D0219	Merged2018
Lasker18Sc145_5_D0220	Merged2018
Lasker18Sc145_17_D0224	Merged2018
Lasker18Sc145_19_D0225	Merged2018
Lasker18Sc150_3_D0229	Merged2018
Lasker18Sc150_5_D0230	Merged2018
Lasker18Sc150_17_D0234	Merged2018
Lasker18Sc150_19_D0235	Merged2018
Lasker18Sc151_3_D0240	Merged2018
Lasker18Sc151_5_D0241	Merged2018
Lasker18Sc151_17_D0245	Merged2018
Lasker18Sc151_19_D0246	Merged2018
Lasker18Sc153_3_D0250	Merged2018
Lasker18Sc153_5_D0251	Merged2018
Lasker18Sc153_17_D0255	Merged2018
Lasker18Sc153_19_D0256	Merged2018
Lasker18Sc154_3_D0260	Merged2018
Lasker18Sc154_5_D0261	Merged2018
Lasker18Sc154_17_D0265	Merged2018
Lasker18Sc154_19_D0266	Merged2018
Lasker18Sc158_3_D0270	Merged2018
Lasker18Sc158_5_D0271	Merged2018
Lasker18Sc158_17_D0275	Merged2018
Lasker18Sc158_19_D0276	Merged2018
