#SampleID	Dataset
CN18FESPkoa_SC58_FF	Merged2018
CN18FESPkoa_SC57_FF	Merged2018
CN18FESPkoa_SC56_FF	Merged2018
CN18FESPkoa_SC55_FF	Merged2018
CN18FESPkoa_SC53_FF	Merged2018
CN18FESPkoa_SC52_FF	Merged2018
CN18FESPkoa_SC49_FF	Merged2018
CN18FESPkoa_SC47_FF	Merged2018
CN18FESPkoa_SC46_FF	Merged2018
CN18FESPkoa_SC44_FF	Merged2018
CN18FESPkoa_SC43_FF	Merged2018
CN18FESPkoa_SC41_FF	Merged2018
CN18FESPkoa_SC40_FF	Merged2018
CN18FESPkoa_SC37_FF	Merged2018
CN18FESPkoa_SC34_FF	Merged2018
CN18FESPkoa_SC32_FF	Merged2018
CN18FESPkoa_SC31_FF	Merged2018
CN18FESPkoa_SC30_FF	Merged2018
CN18FESPkoa_SC29_FF	Merged2018
CN18FESPkoa_SC26_FF	Merged2018
CN18FESPkoa_SC24_FF	Merged2018
CN18Fc12_8_eDNA_GG	Merged2018
CN18Fc19_5_eDNA_GG	Merged2018
CN18Fc21_6_eDNA_GG	Merged2018
CN18Fc22_6_eDNA_GG	Merged2018
CN18Fc24_6_eDNA_GG	Merged2018
CN18Fc25_5_eDNA_GG	Merged2018
CN18Fc27_4_eDNA_GG	Merged2018
CN18Fc29_6_eDNA_GG	Merged2018
CN18Fc30_4_eDNA_GG	Merged2018
CN18Fc32_4_eDNA_GG	Merged2018
CN18Fc33_5_eDNA_GG	Merged2018
CN18Fc36_6_eDNA_GG	Merged2018
CN18Fc38_5_eDNA_GG	Merged2018
CN18Fc40_6_eDNA_GG	Merged2018
CN18Fc41_6_eDNA_GG	Merged2018
CN18Fc43_5_eDNA_GG	Merged2018
CN18Fc44_8_eDNA_GG	Merged2018
CN18Fc46_8_eDNA_GG	Merged2018
CN18Fc47_6_eDNA_GG	Merged2018
CN18Fc49_6_eDNA_GG	Merged2018
CN18Fc51_5_eDNA_GG	Merged2018
CN18Sc09_2_eDNA_Y	Merged2018
CN18Sc10_2_eDNA_Y	Merged2018
CN18Sc14_2_eDNA_Y	Merged2018
CN18Sc14_8_eDNA_Y	Merged2018
CN18Sc15_2_eDNA_Y	Merged2018
CN18Sc15_8_eDNA_Y	Merged2018
CN18Sc18_2_eDNA_Y	Merged2018
CN18Sc18_8_eDNA_Y	Merged2018
CN18Sc27_2_eDNA_Y	Merged2018
CN18Sc27_8_eDNA_Y	Merged2018
CN18SESPkoa_SC49_Y	Merged2018
CN18SESPkoa_SC47_Y	Merged2018
CN18SESPkoa_SC45_Y	Merged2018
CN18SESPkoa_SC44_Y	Merged2018
CN18SESPkoa_SC42_Y	Merged2018
CN18SESPkoa_SC41_Y	Merged2018
CN18SESPkoa_SC40_Y	Merged2018
CN18SESPkoa_SC39_Y	Merged2018
CN18SESPkoa_SC37_Y	Merged2018
CN18SESPkoa_SC36_Y	Merged2018
Lasker18Sc122_3_D0052	Merged2018
Lasker18Sc122_5_D0053	Merged2018
Lasker18Sc122_17_D0057	Merged2018
Lasker18Sc122_19_D0058	Merged2018
Lasker18Sc123_3_D0063	Merged2018
Lasker18Sc123_5_D0064	Merged2018
Lasker18Sc123_17_D0068	Merged2018
Lasker18Sc123_19_D0069	Merged2018
Lasker18Sc124_3_D0073	Merged2018
Lasker18Sc124_5_D0074	Merged2018
Lasker18Sc124_17_D0078	Merged2018
Lasker18Sc124_19_D0079	Merged2018
Lasker18Sc126_3_D0085	Merged2018
Lasker18Sc126_5_D0086	Merged2018
Lasker18Sc126_17_D0090	Merged2018
Lasker18Sc127_3_D0095	Merged2018
Lasker18Sc127_5_D0096	Merged2018
Lasker18Sc127_17_D0100	Merged2018
Lasker18Sc127_19_D0101	Merged2018
Lasker18Sc128_3_D0105	Merged2018
Lasker18Sc128_7_D0107	Merged2018
Lasker18Sc128_16_D0110	Merged2018
Lasker18Sc128_19_D0111	Merged2018
Lasker18Sc129_3_D0116	Merged2018
Lasker18Sc129_5_D0117	Merged2018
Lasker18Sc129_17_D0121	Merged2018
Lasker18Sc129_19_D0122	Merged2018
Lasker18Sc130_3_D0127	Merged2018
Lasker18Sc130_5_D0128	Merged2018
Lasker18Sc130_17_D0132	Merged2018
Lasker18Sc130_19_D0133	Merged2018
