"","SampleID","PC1","PC2","PC3","FilterID","year","Dataset","project"
"32","CN18Fc24_6_eDNA_HH",0.0780735330997058,-0.122291053187475,0.0131890152884186,"CN18Fc24_6_eDNA",2018,"Merged2018","CN18F"
"33","CN18Fc36_6_eDNA_HH",0.0675634951307666,-0.0945383480494659,-0.0174102529988225,"CN18Fc36_6_eDNA",2018,"Merged2018","CN18F"
"34","CN18Fc49_6_eDNA_HH",0.0826574967595513,-0.0375216428068074,-0.0266499586121486,"CN18Fc49_6_eDNA",2018,"Merged2018","CN18F"
"35","CN18Fc25_5_eDNA_HH",0.0251534353839356,-0.0681232918445427,-0.0586211496140185,"CN18Fc25_5_eDNA",2018,"Merged2018","CN18F"
"36","CN18Fc38_5_eDNA_HH",0.0723515221873077,-0.104108717001207,-0.0242435601037633,"CN18Fc38_5_eDNA",2018,"Merged2018","CN18F"
"37","CN18Fc51_5_eDNA_HH",0.0915049617930026,-0.0408099652375421,0.0055006133383417,"CN18Fc51_5_eDNA",2018,"Merged2018","CN18F"
"38","CN18Fc27_4_eDNA_HH",0.0960183136036182,-0.11189840183008,0.0264812127421005,"CN18Fc27_4_eDNA",2018,"Merged2018","CN18F"
"39","CN18Fc40_6_eDNA_HH",0.0959159975834958,-0.111319181000571,0.0304567816147624,"CN18Fc40_6_eDNA",2018,"Merged2018","CN18F"
"40","CN18Fc29_6_eDNA_HH",0.0753365033861179,-0.135746565787884,0.0104554331963057,"CN18Fc29_6_eDNA",2018,"Merged2018","CN18F"
"41","CN18Fc41_6_eDNA_HH",0.0736526125789983,-0.126493478393314,0.0431015566046723,"CN18Fc41_6_eDNA",2018,"Merged2018","CN18F"
"42","CN18Sc09_2_eDNA_AA",-0.128845594000134,-0.0235025638240724,-0.0398931534344302,"CN18Sc09_2_eDNA",2018,"Merged2018","CN18S"
"43","CN18Sc10_2_eDNA_AA",-0.114387394622149,-0.0163903677070945,-0.0744337628284971,"CN18Sc10_2_eDNA",2018,"Merged2018","CN18S"
"44","CN18Sc14_2_eDNA_AA",-0.115442857057235,-0.00710667924895217,-0.0374774251561728,"CN18Sc14_2_eDNA",2018,"Merged2018","CN18S"
"45","CN18Sc14_8_eDNA_AA",-0.0760028268856421,0.000954408480125073,-0.0219421528545375,"CN18Sc14_8_eDNA",2018,"Merged2018","CN18S"
"46","CN18Sc15_2_eDNA_AA",-0.112489291467093,-0.0215161061321903,-0.0837863826987017,"CN18Sc15_2_eDNA",2018,"Merged2018","CN18S"
"47","CN18Sc15_8_eDNA_AA",0.0264355391070098,0.106241482093121,0.0833632594204481,"CN18Sc15_8_eDNA",2018,"Merged2018","CN18S"
"48","CN18Sc18_2_eDNA_AA",-0.123107144465276,-0.0208201119395879,-0.0324768267556989,"CN18Sc18_2_eDNA",2018,"Merged2018","CN18S"
"49","CN18Sc18_8_eDNA_AA",0.0115511293711155,0.048713494866512,-0.0759258468364987,"CN18Sc18_8_eDNA",2018,"Merged2018","CN18S"
"50","CN18Sc27_2_eDNA_AA",-0.110417173836617,-0.0148974167851655,-0.0996120051048829,"CN18Sc27_2_eDNA",2018,"Merged2018","CN18S"
