#SampleID	Dataset
Lasker18Sc145_17	Merged2018
Lasker18Sc145_19	Merged2018
Lasker18Sc150_3	Merged2018
Lasker18Sc150_5	Merged2018
Lasker18Sc150_17	Merged2018
Lasker18Sc150_19	Merged2018
Lasker18Sc151_3	Merged2018
Lasker18Sc151_5	Merged2018
Lasker18Sc151_17	Merged2018
Lasker18Sc151_19	Merged2018
Lasker18Sc153_3	Merged2018
Lasker18Sc153_5	Merged2018
Lasker18Sc153_17	Merged2018
Lasker18Sc153_19	Merged2018
Lasker18Sc154_3	Merged2018
Lasker18Sc154_5	Merged2018
Lasker18Sc154_17	Merged2018
Lasker18Sc154_19	Merged2018
Lasker18Sc158_3	Merged2018
Lasker18Sc158_5	Merged2018
Lasker18Sc158_17	Merged2018
Lasker18Sc158_19	Merged2018
CN18FESPkoa_SC1	Merged2018
CN18FESPkoa_SC59	Merged2018
CN18Fc35_5_eDNA	Merged2018
CN18S_koa3G_BN1post	Merged2018
CN18S_koa3G_BN1pre	Merged2018
CN18S_koa3G_BN2post	Merged2018
CN18S_koa3G_BN2pre	Merged2018
CN18S_koa3G_BN3post	Merged2018
CN18S_koa3G_BN3pre	Merged2018
CN18S_koa3G_SC29	Merged2018
CN18S_koa3G_SC30	Merged2018
CN18S_koa3G_SC31	Merged2018
CN18S_koa3G_SC57	Merged2018
CN18S_koa3G_SC58	Merged2018
CN18S_koa3G_SC59	Merged2018
Flyer18Fc03_10_1	Merged2018
Flyer18Fc03_3_1	Merged2018
Flyer18Fc09_10_1	Merged2018
Flyer18Fc09_4_1	Merged2018
Flyer18Fc13_10_1	Merged2018
Flyer18Fc13_3_1	Merged2018
Lasker18Sc126_15	Merged2018
Lasker18Sc126_15_turt	Merged2018
Lasker18Sc126_17_turt	Merged2018
Lasker18Sc135_1	Merged2018
Lasker18Sc138_1	Merged2018
Lasker18Sc138_15	Merged2018
Lasker18Sc140_1	Merged2018
Lasker18Sc140_15	Merged2018
Lasker18Sc142_1	Merged2018
Lasker18Sc142_15	Merged2018
Lasker18Sc143_1	Merged2018
Lasker18Sc143_15	Merged2018
