"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.0955811489529659,0.188361290814594,-0.226112716873032,"ASV_1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",NA
"2","ASV_2",0.212503879025939,0.0102348244111646,-0.038455358375738,"ASV_2","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus","uncultured_euryarchaeote"
"3","ASV_3",0.0511641203455845,-0.0116975529401508,-0.234290088991893,"ASV_3","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA
"4","ASV_4",-0.106994990465535,-0.107180145106636,-0.222288006608824,"ASV_4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"5","ASV_5",-0.0209319766987635,-0.15930487680833,-0.191662827515342,"ASV_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"6","ASV_6",0.0195189819777775,-0.0518109016555368,-0.214287012488954,"ASV_6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"7","ASV_7",-0.0355155247393154,-0.145118778879725,-0.171643930714269,"ASV_7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina",NA
"8","ASV_8",0.0310714011168464,0.00750581228141373,-0.191915007869752,"ASV_8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA
"9","ASV_9",0.156943587947203,-0.0900344319432153,-0.00746990530905545,"ASV_9","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina",NA
"10","ASV_10",0.055199338353319,-0.0618748887476825,-0.151240650135884,"ASV_10","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade",NA
"11","ASV_11",0.130454369605286,-0.0736194025346226,-0.0516221143355874,"ASV_11","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA
"12","ASV_12",-0.0816033199519306,-0.117455059948313,-0.130314772484838,"ASV_12","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Formosa",NA
