,CN18FESPkoa_SC24,CN18Fc21_6_eDNA,CN18Fc22_6_eDNA,CN18Fc24_6_eDNA,CN18Fc25_5_eDNA,CN18Fc27_4_eDNA,CN18Fc29_6_eDNA,CN18Fc30_4_eDNA,CN18Fc33_5_eDNA,CN18Fc19_5_eDNA,CN18Fc36_6_eDNA,CN18Fc40_6_eDNA,CN18Fc41_6_eDNA,CN18Fc43_5_eDNA,CN18Fc44_8_eDNA,CN18Fc46_8_eDNA,CN18Fc47_6_eDNA,CN18Fc49_6_eDNA,CN18Fc51_5_eDNA,CN18Fc38_5_eDNA,CN18Fc12_8_eDNA,CN18Fc32_4_eDNA,CN18FESPkoa_SC57,CN18FESPkoa_SC58,CN18FESPkoa_SC29,CN18FESPkoa_SC30,CN18FESPkoa_SC31,CN18FESPkoa_SC32,CN18FESPkoa_SC34,CN18FESPkoa_SC37,CN18FESPkoa_SC40,CN18FESPkoa_SC41,CN18FESPkoa_SC26,CN18FESPkoa_SC44,CN18FESPkoa_SC43,CN18FESPkoa_SC55,CN18FESPkoa_SC53,CN18FESPkoa_SC52,CN18FESPkoa_SC56,CN18FESPkoa_SC47,CN18FESPkoa_SC46,CN18FESPkoa_SC49,CN18Sc15_2_eDNA,CN18Sc10_2_eDNA,CN18Sc14_2_eDNA,CN18Sc14_8_eDNA,CN18Sc18_8_eDNA,CN18Sc15_8_eDNA,CN18Sc18_2_eDNA,CN18Sc27_2_eDNA,CN18Sc27_8_eDNA,CN18Sc09_2_eDNA,CN18SESPkoa_SC49,CN18SESPkoa_SC36,CN18SESPkoa_SC37,CN18SESPkoa_SC39,CN18SESPkoa_SC40,CN18SESPkoa_SC41,CN18SESPkoa_SC42,CN18SESPkoa_SC44,CN18SESPkoa_SC45,CN18SESPkoa_SC47,Lasker18Sc145_5,Lasker18Sc145_3,Lasker18Sc145_19,Lasker18Sc145_17,Lasker18Sc135_19,Lasker18Sc135_17,Lasker18Sc134_17,Lasker18Sc134_3,Lasker18Sc134_19,Lasker18Sc133_5,Lasker18Sc133_3,Lasker18Sc150_17,Lasker18Sc133_19,Lasker18Sc134_5,Lasker18Sc150_19,Lasker18Sc153_3,Lasker18Sc150_5,Lasker18Sc158_19,Lasker18Sc158_17,Lasker18Sc154_5,Lasker18Sc154_3,Lasker18Sc154_19,Lasker18Sc154_17,Lasker18Sc150_3,Lasker18Sc153_5,Lasker18Sc153_19,Lasker18Sc153_17,Lasker18Sc151_5,Lasker18Sc151_3,Lasker18Sc151_19,Lasker18Sc151_17,Lasker18Sc133_17,Lasker18Sc132_5,Lasker18Sc129_19,Lasker18Sc132_19,Lasker18Sc126_17,Lasker18Sc124_5,Lasker18Sc124_3,Lasker18Sc124_19,Lasker18Sc124_17,Lasker18Sc123_5,Lasker18Sc126_3,Lasker18Sc123_3,Lasker18Sc123_17,Lasker18Sc122_5,Lasker18Sc122_3,Lasker18Sc122_19,Lasker18Sc122_17,Lasker18Sc158_3,Lasker18Sc123_19,Lasker18Sc132_3,Lasker18Sc126_5,Lasker18Sc127_19,Lasker18Sc132_17,Lasker18Sc130_5,Lasker18Sc130_3,Lasker18Sc130_19,Lasker18Sc130_17,Lasker18Sc129_5,Lasker18Sc127_17,Lasker18Sc129_3,Lasker18Sc128_7,Lasker18Sc128_3,Lasker18Sc128_19,Lasker18Sc128_16,Lasker18Sc127_5,Lasker18Sc127_3,Lasker18Sc129_17,Lasker18Sc158_5
ASV_1,37.0,4.0,4.0,4.0,3.0,6.0,13.0,3.0,2749.0,9.0,13.0,5476.0,5942.0,115.0,3.0,2.0,7.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,30.0,3.0,2.0,3478.0,2.0,6.0,0.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,7.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,42.0,79.0,28655.0,24027.0,12265.0,40437.0,7409.0,32.0,33.0,55.0,42.0,27.0,21465.0,23.0,31115.0,69.0,18.0,56.0,9617.0,32.0,38.0,33.0,88.0,589.0,43.0,12263.0,38704.0,19.0,34.0,23.0,23.0,66.0,30.0,47.0,8325.0,3386.0,27.0,69.0,6095.0,28.0,56.0,20.0,55.0,33942.0,10.0,9.0,47.0,22.0,14.0,66375.0,60.0,50.0,10869.0,18.0,31.0,39.0,26088.0,19984.0,67.0,17065.0,37106.0,31.0,19.0,69.0,68.0,13.0,19.0,45.0,10.0
ASV_2,4.0,3.0,2215.0,23301.0,16490.0,9.0,5.0,19.0,6.0,13521.0,1538.0,461.0,10.0,4.0,4.0,3.0,1506.0,1776.0,2751.0,3.0,7.0,3199.0,3.0,5.0,0.0,2.0,4.0,275.0,3.0,4.0,0.0,9.0,0.0,30.0,8.0,2.0,5.0,9.0,2.0,2.0,3035.0,53.0,3.0,3.0,4.0,1.0,1578.0,2501.0,2.0,2.0,1.0,5.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,26023.0,47.0,10.0,2344.0,10934.0,13882.0,13.0,61.0,19.0,51782.0,27.0,23.0,5.0,11905.0,93.0,1.0,25.0,13.0,7.0,64.0,1.0,0.0,3.0,49.0,8.0,14.0,22.0,53106.0,64.0,9.0,42.0,16289.0,19.0,0.0,17.0,40.0,5.0,476.0,28.0,16.0,42.0,26205.0,14111.0,26.0,6.0,47.0,4.0,3.0,182.0,7.0,23.0,24438.0,1.0,1.0,38.0,4.0,2.0,24.0,2.0,8.0,2226.0,18.0,13.0,6.0,21.0,25.0,20921.0,3.0,40.0
ASV_3,78.0,6.0,5.0,675.0,4.0,11.0,4.0,942.0,17.0,4.0,23758.0,5.0,1282.0,6.0,214.0,5868.0,9713.0,9228.0,1297.0,826.0,70.0,298.0,5.0,5.0,2.0,4.0,5.0,4.0,1.0,3.0,54.0,10.0,68.0,6.0,193.0,8.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,3191.0,0.0,1.0,984.0,0.0,0.0,3.0,0.0,14.0,0.0,7.0,0.0,10.0,0.0,0.0,207.0,280.0,2996.0,2297.0,8797.0,10220.0,274.0,161.0,2574.0,202.0,73.0,5174.0,4519.0,86.0,541.0,163.0,47.0,5538.0,2114.0,70.0,142.0,2881.0,2569.0,90.0,109.0,1311.0,5751.0,211.0,90.0,3999.0,4622.0,4544.0,46.0,20831.0,4854.0,24351.0,48.0,151.0,5706.0,15490.0,89.0,167.0,207.0,3091.0,37.0,86.0,5373.0,264.0,154.0,5536.0,68.0,156.0,19957.0,15113.0,65.0,66.0,7164.0,9458.0,82.0,5779.0,324.0,109.0,104.0,36378.0,7581.0,52.0,139.0,18004.0,98.0
ASV_4,393.0,264.0,235.0,173.0,135.0,151.0,233.0,257.0,134.0,185.0,135.0,203.0,226.0,199.0,164.0,94.0,33.0,58.0,106.0,110.0,162.0,92.0,226.0,361.0,258.0,132.0,139.0,125.0,208.0,464.0,185.0,244.0,21.0,235.0,201.0,350.0,469.0,145.0,214.0,129.0,260.0,112.0,161.0,303.0,320.0,372.0,116.0,874.0,297.0,259.0,305.0,388.0,108.0,513.0,42.0,487.0,62.0,458.0,106.0,865.0,58.0,111.0,340.0,661.0,29893.0,14205.0,7993.0,11337.0,9694.0,900.0,13547.0,1186.0,1200.0,9352.0,13893.0,1198.0,8759.0,1290.0,827.0,6361.0,12076.0,791.0,676.0,8836.0,10199.0,889.0,1177.0,5577.0,4081.0,269.0,681.0,6518.0,5954.0,8506.0,835.0,2541.0,14592.0,2206.0,476.0,454.0,1743.0,1772.0,889.0,583.0,1110.0,4023.0,1333.0,1505.0,736.0,805.0,852.0,9818.0,1326.0,557.0,4435.0,19574.0,1460.0,1095.0,5158.0,3301.0,746.0,3004.0,664.0,484.0,410.0,1807.0,1040.0,1165.0,750.0,2062.0,1402.0
ASV_5,9712.0,3277.0,3606.0,2207.0,2229.0,3366.0,4315.0,3169.0,2061.0,1787.0,1231.0,2042.0,2644.0,1997.0,1513.0,2532.0,501.0,3792.0,6430.0,1346.0,2895.0,1246.0,3675.0,5511.0,2657.0,1360.0,1460.0,1005.0,1514.0,2639.0,1508.0,2915.0,932.0,2589.0,3986.0,2591.0,4208.0,2507.0,3393.0,1556.0,3140.0,2510.0,331.0,411.0,361.0,874.0,733.0,1176.0,637.0,384.0,212.0,504.0,170.0,1478.0,64.0,788.0,142.0,694.0,327.0,742.0,169.0,312.0,500.0,1085.0,118.0,56.0,88.0,153.0,842.0,1513.0,536.0,1695.0,1929.0,689.0,101.0,1523.0,482.0,3160.0,1610.0,837.0,1402.0,1612.0,1794.0,495.0,412.0,1588.0,2916.0,124.0,325.0,475.0,814.0,648.0,246.0,94.0,2053.0,1734.0,705.0,679.0,2738.0,2718.0,1425.0,1371.0,2096.0,658.0,2369.0,64.0,1663.0,2196.0,981.0,830.0,2954.0,102.0,2786.0,438.0,762.0,677.0,3216.0,3212.0,266.0,596.0,1982.0,722.0,1267.0,758.0,516.0,1574.0,851.0,595.0,392.0,1250.0,4062.0
ASV_6,217.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,8.0,2.0,7.0,14.0,0.0,24.0,74.0,4.0,0.0,5.0,12.0,11.0,13.0,9.0,14.0,32.0,12.0,9.0,17.0,20.0,26.0,14.0,13.0,10.0,12.0,5.0,5.0,4.0,18.0,6.0,21.0,31.0,49.0,61.0,25.0,5260.0,54.0,55.0,810.0,58.0,42.0,441.0,20.0,89.0,40.0,2113.0,47.0,2858.0,33.0,51.0,370.0,889.0,6247.0,3309.0,158.0,160.0,3906.0,3380.0,4296.0,565.0,885.0,14346.0,34084.0,2358.0,8493.0,597.0,2348.0,6444.0,10658.0,149.0,179.0,13883.0,12594.0,2649.0,606.0,3837.0,2319.0,58.0,116.0,1363.0,1147.0,23218.0,140.0,8.0,2676.0,9.0,1.0,2.0,1.0,4.0,106.0,17.0,115.0,16.0,22.0,10.0,0.0,7.0,917.0,13.0,183.0,17.0,16.0,3520.0,157.0,177.0,63.0,54.0,10.0,11.0,1.0,4.0,0.0,8.0,7.0,21.0,17.0,5.0,1578.0
ASV_7,269.0,489.0,607.0,454.0,509.0,407.0,623.0,441.0,499.0,289.0,316.0,415.0,448.0,668.0,220.0,155.0,115.0,192.0,249.0,412.0,489.0,241.0,564.0,532.0,118.0,130.0,496.0,661.0,287.0,459.0,291.0,365.0,54.0,417.0,461.0,1154.0,428.0,320.0,507.0,186.0,841.0,234.0,1278.0,1743.0,1283.0,684.0,112.0,165.0,902.0,1248.0,32.0,1715.0,516.0,157.0,201.0,91.0,616.0,282.0,417.0,460.0,633.0,741.0,796.0,1846.0,273.0,87.0,114.0,134.0,2696.0,958.0,2212.0,1073.0,1292.0,138.0,367.0,436.0,109.0,1562.0,1441.0,220.0,350.0,4572.0,4453.0,634.0,330.0,1178.0,1345.0,98.0,77.0,986.0,2178.0,55.0,86.0,123.0,2063.0,5892.0,1415.0,40382.0,848.0,849.0,1297.0,1395.0,465.0,745.0,703.0,54.0,314.0,299.0,476.0,389.0,1721.0,110.0,2779.0,1168.0,17218.0,1544.0,984.0,1041.0,3592.0,7800.0,3282.0,9450.0,2379.0,758.0,513.0,2456.0,1424.0,546.0,453.0,3082.0,2300.0
ASV_8,61.0,4413.0,5440.0,4237.0,1981.0,828.0,8463.0,2599.0,600.0,1896.0,2205.0,3698.0,6144.0,1761.0,1158.0,2062.0,780.0,680.0,3857.0,2488.0,75.0,722.0,33.0,8.0,10.0,8.0,278.0,0.0,49.0,6.0,2.0,4.0,4.0,10.0,280.0,962.0,7.0,2165.0,22.0,8.0,4.0,4.0,1.0,1.0,3.0,336.0,726.0,890.0,5.0,0.0,113.0,2.0,1.0,87.0,1.0,161.0,351.0,28.0,0.0,3.0,1.0,0.0,7.0,5.0,690.0,225.0,1798.0,3106.0,494.0,4747.0,450.0,648.0,32.0,1817.0,3411.0,850.0,2660.0,7.0,7.0,3687.0,9724.0,1129.0,11.0,8801.0,625.0,18.0,1905.0,5045.0,7246.0,3.0,7.0,8904.0,438.0,210.0,1696.0,809.0,1220.0,597.0,1.0,4.0,109.0,208.0,7.0,6.0,1.0,87.0,15.0,9012.0,13199.0,18600.0,23.0,35.0,9.0,10.0,905.0,477.0,24.0,19.0,2247.0,4319.0,1046.0,3650.0,197.0,2.0,2.0,88.0,247.0,4.0,1129.0,1167.0,26.0
ASV_9,15880.0,601.0,840.0,1289.0,268.0,2851.0,936.0,512.0,1819.0,836.0,941.0,2067.0,1318.0,979.0,245.0,4067.0,439.0,2783.0,3048.0,1200.0,256.0,113.0,2850.0,2034.0,17143.0,12898.0,2671.0,6825.0,8108.0,8138.0,5010.0,7260.0,8145.0,5581.0,9275.0,4320.0,10879.0,4686.0,2839.0,5717.0,5997.0,8990.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,47.0,0.0,0.0,1.0,18.0,1.0,4.0,531.0,221.0,27.0,2.0,29.0,0.0,7.0,0.0,28.0,0.0,0.0,5.0,2.0,73.0,262.0,2.0,5.0,2.0,151.0,2.0,6.0,1.0,4.0,4.0,11.0,1.0,2.0,2.0,1.0,263.0,315.0,240.0,2.0,100.0,596.0,478.0,0.0,0.0,3.0,1.0,0.0,11.0,2.0,5.0,5.0,3.0,4.0,5.0,159.0,460.0,0.0,2.0,531.0,477.0,0.0,113.0,0.0,1.0,6.0,275.0,84.0,1.0,3.0,151.0,4.0
ASV_10,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,8.0,0.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,0.0,3.0,0.0,1.0,10.0,4.0,7.0,0.0,3.0,5.0,6.0,7.0,264.0,535.0,1098.0,316.0,4.0,8.0,1010.0,1898.0,3.0,851.0,464.0,14.0,230.0,3.0,561.0,1.0,434.0,2.0,346.0,585.0,491.0,1387.0,0.0,5.0,15.0,5.0,7.0,100.0,3.0,2061.0,2232.0,270.0,8.0,94.0,53.0,1518.0,1143.0,27.0,48.0,5489.0,4878.0,268.0,184.0,1468.0,1430.0,7.0,16.0,1078.0,2407.0,15.0,23.0,9.0,2607.0,15.0,9.0,11.0,5383.0,3234.0,10.0,10.0,1100.0,9286.0,1209.0,17.0,17659.0,12609.0,230.0,1321.0,584.0,5.0,3311.0,6421.0,16.0,17.0,1625.0,1236.0,11.0,12.0,494.0,6.0,329.0,21976.0,14085.0,21.0,20.0,9545.0,7287.0,12.0,518.0
