#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_95	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_96	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_97	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_98	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_99	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	Aureococcus anophagefferens
ASV_100	Eukaryota	Bacillariophyta	Fragilariophyceae	Thalassionemales	Thalassionemataceae	g_	s_
ASV_101	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	g_	s_
ASV_102	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_103	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_104	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_105	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_106	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	unassigned	g_	s_
ASV_107	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	g_	s_
ASV_108	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_109	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_110	Eukaryota	Haptista	Haptophyta	unassigned	unassigned	g_	s_
ASV_111	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_112	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_113	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	g_	s_
ASV_114	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	s_
ASV_115	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_116	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_117	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_118	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_119	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_120	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_121	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_122	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus californicus
ASV_123	Eukaryota	Ascomycota	Dothideomycetes	unassigned	unassigned	g_	s_
ASV_124	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_125	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_126	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_127	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_128	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_129	Eukaryota	Bacillariophyta	Fragilariophyceae	Thalassionemales	Thalassionemataceae	g_	s_
ASV_130	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_131	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_132	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_133	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	g_	s_
ASV_134	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_135	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_136	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_137	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_138	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_139	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_140	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_141	Eukaryota	unknown	Raphidophyceae	unknown	unknown	g_	s_
ASV_142	Eukaryota	unknown	Oomycota	Peronosporales	Peronosporaceae	g_	s_
ASV_143	Eukaryota	unknown	unknown	unknown	unknown	g_	s_
ASV_144	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_145	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_146	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_147	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_148	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_149	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_150	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Lafoeidae	g_	s_
ASV_151	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	g_	s_
ASV_152	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	unassigned	g_	s_
ASV_153	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_154	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	g_	s_
ASV_155	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_156	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_157	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	g_	s_
ASV_158	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Pleuromamma	Pleuromamma borealis
ASV_159	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_160	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_161	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_162	Eukaryota	Arthropoda	Hexanauplia	unassigned	unassigned	g_	s_
ASV_163	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_164	Eukaryota	Rotifera	Monogononta	Ploima	Euchlanidae	g_	s_
ASV_165	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_166	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_167	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	g_	s_
ASV_168	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_169	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_170	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_171	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_172	Eukaryota	unknown	Synurophyceae	Ochromonadales	Ochromonadaceae	g_	s_
ASV_173	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_174	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_175	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_176	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_177	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_178	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	g_	s_
ASV_179	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_180	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_181	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_182	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_183	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	g_	s_
ASV_184	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_185	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_186	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_188	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	g_	s_
ASV_187	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	unassigned
ASV_189	Eukaryota	Porifera	Demospongiae	Suberitida	Halichondriidae	g_	s_
ASV_190	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_191	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	g_	s_
ASV_192	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Cyclopidae	g_	s_
ASV_193	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_194	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	unassigned
ASV_195	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	g_	s_
ASV_196	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_197	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_198	Eukaryota	unknown	Oomycetes	unknown	unknown	g_	s_
ASV_199	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_200	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_201	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_202	Eukaryota	unknown	Choanoflagellata	Craspedida	Salpingoecidae	g_	s_
ASV_203	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_204	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_205	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_206	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_207	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_208	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_209	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	g_	s_
ASV_210	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_211	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_212	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_213	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_214	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_215	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_216	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Microcionidae	g_	s_
ASV_217	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	g_	s_
ASV_218	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_219	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_220	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_221	Eukaryota	Rotifera	Monogononta	Ploima	unassigned	g_	s_
ASV_222	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_223	Eukaryota	unknown	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_224	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_225	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	g_	s_
ASV_226	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_227	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_228	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_229	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_230	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia californiensis
ASV_231	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_232	Eukaryota	unknown	Phaeophyceae	Sphacelariales	Choristocarpaceae	g_	s_
ASV_233	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_234	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_235	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera
ASV_236	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_237	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_238	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_239	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_240	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_241	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_242	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	g_	s_
ASV_243	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_244	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_245	Eukaryota	unknown	Oomycota	Peronosporales	Peronosporaceae	g_	s_
ASV_246	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_247	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_248	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_249	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_250	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_251	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_252	Eukaryota	unknown	Oomycota	unassigned	unassigned	g_	s_
ASV_253	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_254	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	s_
ASV_255	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_256	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_257	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_258	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_259	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_260	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	g_	s_
ASV_261	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_262	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_263	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Cyclopidae	g_	s_
ASV_264	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_265	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Cyclopidae	g_	s_
ASV_266	Eukaryota	unknown	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_267	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_268	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_269	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_270	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_271	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_272	Eukaryota	Arthropoda	Malacostraca	Decapoda	Sergestidae	Sergestes	Sergestes similis
ASV_273	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_274	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_275	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_276	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_277	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_278	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	g_	s_
ASV_279	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_280	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_281	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus arcuicornis
ASV_282	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_283	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_284	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_285	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_286	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_287	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_288	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_289	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_290	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_291	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
