#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_2	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_3	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_4	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_5	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_6	Eukaryota	unknown	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_7	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_8	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_9	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_10	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_11	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_12	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_13	Eukaryota	Haptista	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_14	Eukaryota	unknown	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_15	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_16	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_17	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_18	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_19	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_20	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_21	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_22	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_23	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_24	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_25	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_26	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_27	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Sphaeronectidae	Sphaeronectes	Sphaeronectes gracilis
ASV_28	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_29	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_30	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_31	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_32	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_33	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_34	Eukaryota	unknown	Bolidophyceae	Parmales	Triparmaceae	g_	s_
ASV_35	Eukaryota	Imbricatea	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_36	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	g_	s_
ASV_37	Eukaryota	unknown	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_38	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_39	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_40	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_41	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_42	Eukaryota	Ascomycota	Dothideomycetes	unassigned	unassigned	g_	s_
ASV_43	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Corambe	Corambe steinbergae
ASV_44	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_45	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	s_
ASV_47	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia californiensis
ASV_48	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_49	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_50	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Lucicutiidae	Lucicutia	Lucicutia flavicornis
ASV_51	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_52	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	Aureococcus anophagefferens
ASV_53	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_54	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	g_	s_
ASV_55	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_56	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_57	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_58	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	unassigned
ASV_59	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_60	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_61	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	s_
ASV_62	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_63	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_64	Eukaryota	Imbricatea	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_65	Eukaryota	unknown	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_66	Eukaryota	unknown	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_67	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_68	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_69	Eukaryota	unknown	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_70	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_71	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_72	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	Calocalanus tenuis
ASV_73	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_74	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_75	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_76	Eukaryota	unknown	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_77	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_78	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_79	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_80	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	Praya	Praya reticulata
ASV_81	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Pontellidae	g_	s_
ASV_82	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_83	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_84	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_85	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_86	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_87	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_88	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	g_	s_
ASV_89	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	unassigned	unassigned
ASV_90	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_91	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	g_	s_
ASV_92	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_93	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_94	Eukaryota	Cercozoa	unknown	Euglyphida	Paulinellidae	g_	s_
