,CN18FESPkoa_SC58_FF,CN18FESPkoa_SC57_FF,CN18FESPkoa_SC56_FF,CN18FESPkoa_SC55_FF,CN18FESPkoa_SC53_FF,CN18FESPkoa_SC52_FF,CN18FESPkoa_SC49_FF,CN18FESPkoa_SC47_FF,CN18FESPkoa_SC46_FF,CN18FESPkoa_SC44_FF,CN18FESPkoa_SC43_FF,CN18FESPkoa_SC41_FF,CN18FESPkoa_SC40_FF,CN18FESPkoa_SC37_FF,CN18FESPkoa_SC34_FF,CN18FESPkoa_SC32_FF,CN18FESPkoa_SC31_FF,CN18FESPkoa_SC30_FF,CN18FESPkoa_SC29_FF,CN18FESPkoa_SC26_FF,CN18FESPkoa_SC24_FF,CN18Fc12_8_eDNA_GG,CN18Fc19_5_eDNA_GG,CN18Fc21_6_eDNA_GG,CN18Fc22_6_eDNA_GG,CN18Fc24_6_eDNA_GG,CN18Fc25_5_eDNA_GG,CN18Fc27_4_eDNA_GG,CN18Fc29_6_eDNA_GG,CN18Fc30_4_eDNA_GG,CN18Fc32_4_eDNA_GG,CN18Fc33_5_eDNA_GG,CN18Fc36_6_eDNA_GG,CN18Fc38_5_eDNA_GG,CN18Fc40_6_eDNA_GG,CN18Fc41_6_eDNA_GG,CN18Fc43_5_eDNA_GG,CN18Fc44_8_eDNA_GG,CN18Fc46_8_eDNA_GG,CN18Fc47_6_eDNA_GG,CN18Fc49_6_eDNA_GG,CN18Fc51_5_eDNA_GG,CN18Sc09_2_eDNA_Y,CN18Sc10_2_eDNA_Y,CN18Sc14_2_eDNA_Y,CN18Sc14_8_eDNA_Y,CN18Sc15_2_eDNA_Y,CN18Sc15_8_eDNA_Y,CN18Sc18_2_eDNA_Y,CN18Sc18_8_eDNA_Y,CN18Sc27_2_eDNA_Y,CN18Sc27_8_eDNA_Y,CN18SESPkoa_SC49_Y,CN18SESPkoa_SC47_Y,CN18SESPkoa_SC45_Y,CN18SESPkoa_SC44_Y,CN18SESPkoa_SC42_Y,CN18SESPkoa_SC41_Y,CN18SESPkoa_SC40_Y,CN18SESPkoa_SC39_Y,CN18SESPkoa_SC37_Y,CN18SESPkoa_SC36_Y
ASV_11,1395,1547,1584,594,1786,532,987,1401,1080,1573,1300,1532,896,1623,2672,1631,1907,3578,2793,4874,4745,113,826,355,913,695,387,1966,1267,135,690,1513,1073,743,1734,1655,1276,1976,3670,516,4168,8125,551,376,294,891,327,2399,222,1862,47,507,172,476,186,2369,340,3304,180,787,113,1901
ASV_12,280,386,427,160,400,184,242,195,165,245,246,333,145,287,536,453,363,853,463,811,760,111,171,147,165,230,145,356,171,52,571,218,280,176,404,281,324,480,895,122,626,1213,175,196,90,100,142,6001,116,281,28,729,125,171,57,4464,400,5633,136,249,114,1048
ASV_13,195,243,207,57,1061,185,316,130,164,144,1778,506,214,180,518,116,73,1384,1049,311,400,4,4,1,0,69,21,22,50,4,1,194,261,21,144,44,48,82,75,2,49,226,24,81,354,8,3,189,65,509,1,97,1044,1526,1405,4426,156,3838,839,11798,517,6630
ASV_14,5100,4842,6190,3480,4916,3627,3202,3807,3663,4845,4314,3709,3405,4699,4851,4472,3266,3999,3694,4217,2070,1382,1908,2299,1754,1412,2984,1526,1731,709,4214,2597,2169,1173,1903,1977,2532,2790,1473,585,668,1140,1210,1374,1696,687,457,54,492,262,491,166,785,913,610,38,1134,40,376,85,1041,419
ASV_15,3,379,10183,4743,6304,1110,27,22,91,4548,466,2,1,378,9461,9,8367,607,4,9313,162,3389,1072,1786,1489,63,3966,3572,53,1034,3895,7911,6305,254,5712,5476,584,104,1418,428,39,2681,1,0,0,0,0,1,0,17,0,0,0,2,0,0,12,1,0,0,0,1
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_17,0,4,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,1,0,12120,3,0,0,4460,0,0,1,1,374,0,1,1,0,0,3751,0,0,0,0,0,0,0,0,4009,6793,7,0,0,0,0,0,2,4,2,0,0
ASV_18,2177,1460,1857,1011,1700,2062,1503,1356,1439,2420,1506,1377,884,1884,1965,1375,1165,1499,1817,1941,1276,982,1088,1570,1074,912,1698,1041,1186,369,2474,1290,992,499,767,1005,1010,1904,692,300,569,1045,1632,2645,2092,1154,2363,175,880,206,587,53,2461,3910,2180,92,2838,192,1410,59,2287,404
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,328,660,973,542,1538,760,663,1195,429,1020,226,267,189,183,5891,17879,8858,1074,1990,202,180,51,114,228,187,334,557,279,171,27,243,436,54,45,74,340,216,187,63,49,17,37,1,1,0,15,61,14,4,90,7,3,2,244,216,8,0,2,97,58,180,14
