#SampleID	Dataset
CN18Sc14_8_eDNA_AA	Merged2018
CN18Sc15_2_eDNA_Z	Merged2018
CN18Sc15_2_eDNA_AA	Merged2018
CN18Sc15_8_eDNA_Z	Merged2018
CN18Sc15_8_eDNA_AA	Merged2018
CN18Sc18_2_eDNA_Z	Merged2018
CN18Sc18_2_eDNA_AA	Merged2018
CN18Sc18_8_eDNA_Z	Merged2018
CN18Sc18_8_eDNA_AA	Merged2018
CN18Sc27_2_eDNA_Z	Merged2018
CN18Sc27_2_eDNA_AA	Merged2018
CN18Sc27_8_eDNA_Z	Merged2018
CN18Sc27_8_eDNA_AA	Merged2018
Lasker18Sc122_17_D0057_UU	Merged2018
Lasker18Sc122_19_D0058_UU	Merged2018
Lasker18Sc122_3_D0052_UU	Merged2018
Lasker18Sc122_5_D0053_UU	Merged2018
Lasker18Sc123_17_D0068_UU	Merged2018
Lasker18Sc123_19_D0069_UU	Merged2018
Lasker18Sc123_3_D0063_UU	Merged2018
Lasker18Sc123_5_D0064_UU	Merged2018
Lasker18Sc124_17_D0078_UU	Merged2018
Lasker18Sc124_19_D0079_UU	Merged2018
Lasker18Sc124_3_D0073_UU	Merged2018
Lasker18Sc124_5_D0074_UU	Merged2018
Lasker18Sc126_17_D0090_UU	Merged2018
Lasker18Sc126_3_D0085_UU	Merged2018
Lasker18Sc126_5_D0086_UU	Merged2018
Lasker18Sc127_17_D0100_UU	Merged2018
Lasker18Sc127_19_D0101_UU	Merged2018
Lasker18Sc127_3_D0095_UU	Merged2018
Lasker18Sc127_5_D0096_UU	Merged2018
Lasker18Sc128_16_D0110_UU	Merged2018
Lasker18Sc128_19_D0111_UU	Merged2018
Lasker18Sc128_3_D0105_UU	Merged2018
Lasker18Sc128_7_D0107_UU	Merged2018
Lasker18Sc129_17_D0121_UU	Merged2018
Lasker18Sc129_19_D0122_UU	Merged2018
Lasker18Sc129_3_D0116_UU	Merged2018
Lasker18Sc129_5_D0117_UU	Merged2018
Lasker18Sc130_17_D0132_UU	Merged2018
Lasker18Sc130_19_D0133_UU	Merged2018
Lasker18Sc130_3_D0127_UU	Merged2018
Lasker18Sc130_5_D0128_UU	Merged2018
Lasker18Sc132_17_D0142_UU	Merged2018
Lasker18Sc132_19_D0143_UU	Merged2018
Lasker18Sc132_3_D0137_UU	Merged2018
Lasker18Sc132_5_D0138_UU	Merged2018
Lasker18Sc133_17_D0152_UU	Merged2018
Lasker18Sc133_19_D0153_UU	Merged2018
Lasker18Sc133_3_D0147_UU	Merged2018
Lasker18Sc133_5_D0148_UU	Merged2018
Lasker18Sc134_17_D0163_UU	Merged2018
Lasker18Sc134_19_D0164_UU	Merged2018
Lasker18Sc134_3_D0158_UU	Merged2018
Lasker18Sc134_5_D0159_UU	Merged2018
Lasker18Sc135_17_D0173_UU	Merged2018
Lasker18Sc135_19_D0174_UU	Merged2018
Lasker18Sc145_17_D0224_UU	Merged2018
Lasker18Sc145_19_D0225_UU	Merged2018
Lasker18Sc145_3_D0219_UU	Merged2018
Lasker18Sc145_5_D0220_UU	Merged2018
Lasker18Sc150_17_D0234_UU	Merged2018
Lasker18Sc150_19_D0235_UU	Merged2018
Lasker18Sc150_3_D0229_UU	Merged2018
Lasker18Sc150_5_D0230_UU	Merged2018
Lasker18Sc151_17_D0245_UU	Merged2018
Lasker18Sc151_19_D0246_UU	Merged2018
Lasker18Sc151_3_D0240_UU	Merged2018
Lasker18Sc151_5_D0241_UU	Merged2018
Lasker18Sc153_17_D0255_UU	Merged2018
Lasker18Sc153_19_D0256_UU	Merged2018
Lasker18Sc153_3_D0250_UU	Merged2018
Lasker18Sc153_5_D0251_UU	Merged2018
Lasker18Sc154_17_D0265_UU	Merged2018
Lasker18Sc154_19_D0266_UU	Merged2018
Lasker18Sc154_3_D0260_UU	Merged2018
Lasker18Sc154_5_D0261_UU	Merged2018
Lasker18Sc158_17_D0275_UU	Merged2018
Lasker18Sc158_19_D0276_UU	Merged2018
Lasker18Sc158_3_D0270_UU	Merged2018
Lasker18Sc158_5_D0271_UU	Merged2018
