#SampleID	Dataset
CN18FESPkoa_SC24_CC	Merged2018
CN18FESPkoa_SC26_CC	Merged2018
CN18FESPkoa_SC29_CC	Merged2018
CN18FESPkoa_SC30_CC	Merged2018
CN18FESPkoa_SC31_CC	Merged2018
CN18FESPkoa_SC32_CC	Merged2018
CN18FESPkoa_SC34_CC	Merged2018
CN18FESPkoa_SC37_CC	Merged2018
CN18FESPkoa_SC40_CC	Merged2018
CN18FESPkoa_SC41_CC	Merged2018
CN18FESPkoa_SC43_CC	Merged2018
CN18FESPkoa_SC44_CC	Merged2018
CN18FESPkoa_SC46_CC	Merged2018
CN18FESPkoa_SC47_CC	Merged2018
CN18FESPkoa_SC49_CC	Merged2018
CN18FESPkoa_SC52_CC	Merged2018
CN18FESPkoa_SC53_CC	Merged2018
CN18FESPkoa_SC55_CC	Merged2018
CN18FESPkoa_SC56_CC	Merged2018
CN18FESPkoa_SC57_CC	Merged2018
CN18FESPkoa_SC58_CC	Merged2018
CN18Fc12_8_eDNA_HH	Merged2018
CN18Fc19_5_eDNA_HH	Merged2018
CN18Fc21_6_eDNA_HH	Merged2018
CN18Fc22_6_eDNA_HH	Merged2018
CN18Fc24_6_eDNA_HH	Merged2018
CN18Fc25_5_eDNA_HH	Merged2018
CN18Fc27_4_eDNA_HH	Merged2018
CN18Fc29_6_eDNA_HH	Merged2018
CN18Fc30_4_eDNA_HH	Merged2018
CN18Fc32_4_eDNA_HH	Merged2018
CN18Fc33_5_eDNA_HH	Merged2018
CN18Fc36_6_eDNA_HH	Merged2018
CN18Fc38_5_eDNA_HH	Merged2018
CN18Fc40_6_eDNA_HH	Merged2018
CN18Fc41_6_eDNA_HH	Merged2018
CN18Fc43_5_eDNA_HH	Merged2018
CN18Fc44_8_eDNA_HH	Merged2018
CN18Fc46_8_eDNA_HH	Merged2018
CN18Fc47_6_eDNA_HH	Merged2018
CN18Fc49_6_eDNA_HH	Merged2018
CN18Fc51_5_eDNA_HH	Merged2018
CN18SESPkoa_SC36_Z	Merged2018
CN18SESPkoa_SC36_AA	Merged2018
CN18SESPkoa_SC37_Z	Merged2018
CN18SESPkoa_SC37_AA	Merged2018
CN18SESPkoa_SC39_Z	Merged2018
CN18SESPkoa_SC39_AA	Merged2018
CN18SESPkoa_SC40_Z	Merged2018
CN18SESPkoa_SC40_AA	Merged2018
CN18SESPkoa_SC41_Z	Merged2018
CN18SESPkoa_SC41_AA	Merged2018
CN18SESPkoa_SC42_Z	Merged2018
CN18SESPkoa_SC42_AA	Merged2018
CN18SESPkoa_SC44_Z	Merged2018
CN18SESPkoa_SC44_AA	Merged2018
CN18SESPkoa_SC45_Z	Merged2018
CN18SESPkoa_SC45_AA	Merged2018
CN18SESPkoa_SC47_Z	Merged2018
CN18SESPkoa_SC47_AA	Merged2018
CN18SESPkoa_SC49_Z	Merged2018
CN18SESPkoa_SC49_AA	Merged2018
CN18Sc09_2_eDNA_Z	Merged2018
CN18Sc09_2_eDNA_AA	Merged2018
CN18Sc10_2_eDNA_Z	Merged2018
CN18Sc10_2_eDNA_AA	Merged2018
CN18Sc14_2_eDNA_Z	Merged2018
CN18Sc14_2_eDNA_AA	Merged2018
CN18Sc14_8_eDNA_Z	Merged2018
